,what,is,an,example,of,a,controlled,substance,?
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.2840180993080139,0.23127788305282593,0.1826142966747284
particular,0.4548671245574951,0.3500361442565918,0.34505125880241394,0.5105355978012085,0.3490585684776306,0.439316987991333,0.21420995891094208,0.3614407479763031,0.2741454839706421
concern,0.3580206632614136,0.2359357625246048,0.1768726408481598,0.2878945469856262,0.23287762701511383,0.23163463175296783,0.1540241688489914,0.2682410478591919,0.3455961048603058
with,0.2464839518070221,0.3250955045223236,0.2730048894882202,0.3082926869392395,0.41827285289764404,0.3783375024795532,0.2416837215423584,0.2434128224849701,0.2433311939239502
internet,0.1770392656326294,0.19803281128406525,0.20609398186206818,0.17849135398864746,0.16397756338119507,0.2250564843416214,0.1706157922744751,0.11611437797546387,0.23314887285232544
pharmacies,0.21324466168880463,0.1820123940706253,0.1326616257429123,0.2718517482280731,0.21392159163951874,0.22259847819805145,0.29108384251594543,0.3541966378688812,0.13542459905147552
is,0.28837618231773376,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.658733606338501,0.20672085881233215,0.307191401720047,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.3320712745189667,0.27041906118392944,0.22068053483963013
ease,0.2721507251262665,0.17015692591667175,0.15799656510353088,0.32450544834136963,0.18102195858955383,0.20622482895851135,0.13869696855545044,0.2261681854724884,0.23475857079029083
with,0.2464839518070221,0.3250955045223236,0.2730048894882202,0.3082926869392395,0.41827285289764404,0.3783375024795532,0.2416837215423584,0.2434128224849701,0.2433311939239502
which,0.5261979103088379,0.4457404911518097,0.3611921966075897,0.45943138003349304,0.5011631846427917,0.56894451379776,0.3308013081550598,0.38156720995903015,0.25814583897590637
people,0.32444337010383606,0.34254953265190125,0.16753636300563812,0.30246272683143616,0.3251037895679474,0.3483705520629883,0.21387459337711334,0.19620220363140106,0.23739641904830933
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.20886175334453583,0.21864232420921326,0.31091248989105225
youth,0.1100270077586174,0.15418380498886108,0.17241622507572174,0.1412527710199356,0.2297523021697998,0.20697152614593506,0.14947693049907684,0.08694349229335785,0.18005552887916565
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.539380669593811,0.2597082853317261,0.23259401321411133,0.20430970191955566
particular,0.4548671245574951,0.3500361442565918,0.34505125880241394,0.5105355978012085,0.3490585684776306,0.439316987991333,0.21420995891094208,0.3614407479763031,0.2741454839706421
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.20886175334453583,0.21864232420921326,0.31091248989105225
can,0.34502777457237244,0.44256699085235596,0.23671309649944305,0.5023694038391113,0.2603091299533844,0.3915780484676361,0.19048389792442322,0.3758808970451355,0.3226337134838104
obtain,0.18337780237197876,0.18897517025470734,0.13956351578235626,0.24921169877052307,0.22279390692710876,0.20963381230831146,0.18741317093372345,0.2780188322067261,0.15655191242694855
controlled,0.24713590741157532,0.20672085881233215,0.1940964162349701,0.18454210460186005,0.2840180993080139,0.22610771656036377,1.0,0.2575414478778839,0.1105743944644928
substances,0.2663726210594177,0.25203269720077515,0.1865035444498062,0.33617740869522095,0.2613070607185364,0.2703094184398651,0.31864213943481445,0.8942489624023438,0.19339443743228912
(,0.2411840260028839,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.3206180930137634,0.172588512301445,0.1947399377822876,0.40561532974243164
e.g.,0.04733210429549217,0.11002284288406372,0.0371510274708271,0.02680668793618679,-0.0030048114713281393,0.00869368202984333,0.024433722719550133,-0.07066094130277634,0.018727071583271027
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.20886175334453583,0.21864232420921326,0.31091248989105225
vicodin,0.2787590026855469,0.3130640685558319,0.2572228014469147,0.3343152701854706,0.32658255100250244,0.3104027211666107,0.2479097694158554,0.2302270531654358,0.33109164237976074
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.20886175334453583,0.21864232420921326,0.31091248989105225
generically,0.2632104754447937,0.35298898816108704,0.2369542270898819,0.35719189047813416,0.24405013024806976,0.3103739023208618,0.33188846707344055,0.33122017979621887,0.163223534822464
known,0.20381177961826324,0.41921812295913696,0.3156754970550537,0.29706430435180664,0.35814476013183594,0.30882248282432556,0.1862240880727768,0.15527167916297913,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.39550232887268066,0.18047308921813965,0.2623814642429352,0.27043893933296204
hydrocodone,0.18807236850261688,0.21885043382644653,0.18935652077198029,0.3325280547142029,0.17386700212955475,0.2233673334121704,0.2519068717956543,0.5159540176391602,0.20192618668079376
),0.26259949803352356,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.3640355169773102,0.15831932425498962,0.1912393718957901,0.42300865054130554
via,0.16736915707588196,0.18325740098953247,0.1728127896785736,0.14788776636123657,0.1293322592973709,0.15732350945472717,0.2201749086380005,0.16318832337856293,0.19443516433238983
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.3320712745189667,0.27041906118392944,0.22068053483963013
internet,0.1770392656326294,0.19803281128406525,0.20609398186206818,0.17849135398864746,0.16397756338119507,0.2250564843416214,0.1706157922744751,0.11611437797546387,0.23314887285232544
without,0.3181614279747009,0.22869740426540375,0.20276303589344025,0.36860889196395874,0.3081340193748474,0.2797018885612488,0.1892397403717041,0.25873199105262756,0.2928665280342102
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,1.0,0.22610771656036377,0.3087996542453766,0.23916715383529663
prescription,0.2773992717266083,0.1873171031475067,0.204946368932724,0.35683348774909973,0.22264151275157928,0.2770058512687683,0.2344895899295807,0.4286312758922577,0.1977909505367279
issued,0.18988175690174103,0.13596922159194946,0.0836237221956253,0.09604302048683167,0.2873246371746063,0.2503507733345032,0.1942964345216751,0.10525533556938171,0.169851616024971
by,0.2455483376979828,0.3899846076965332,0.2719563841819763,0.29030951857566833,0.3646814823150635,0.32094135880470276,0.2983320951461792,0.20192691683769226,0.17966607213020325
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,1.0,0.22610771656036377,0.3087996542453766,0.23916715383529663
doctor/practitioner,0.27608880400657654,0.18532027304172516,0.20777015388011932,0.2217595875263214,0.19248533248901367,0.2773841321468353,0.224573016166687,0.314738929271698,0.1913248747587204
who,0.40942975878715515,0.24293622374534607,0.2848317325115204,0.27006375789642334,0.2827862501144409,0.36608949303627014,0.2364613562822342,0.1844039112329483,0.26220351457595825
has,0.20338068902492523,0.5668748617172241,0.2991473078727722,0.28235751390457153,0.3909035325050354,0.4670248031616211,0.20549681782722473,0.23297809064388275,0.15994466841220856
an,0.2821882665157318,0.4654068350791931,1.0,0.3076696991920471,0.32280945777893066,0.44552403688430786,0.1940964162349701,0.22637102007865906,0.19793890416622162
established,0.14869536459445953,0.1754443645477295,0.1547301560640335,0.11154820770025253,0.2735237777233124,0.23500119149684906,0.25437331199645996,0.1762375831604004,0.15917523205280304
doctor-patient,0.299934059381485,0.20049402117729187,0.23267409205436707,0.17867116630077362,0.1829027533531189,0.23752181231975555,0.14308135211467743,0.31960421800613403,0.25453922152519226
relationship,0.24358563125133514,0.22806847095489502,0.16991819441318512,0.2544240355491638,0.22000651061534882,0.25691166520118713,0.14680762588977814,0.2245127558708191,0.11361731588840485
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.21779799461364746,0.26752230525016785,0.4130953550338745
