,when,was,the,ottoman,caliphate,abolished,?
ht,0.13682790100574493,0.10353267192840576,0.17889079451560974,0.13434305787086487,0.1342819780111313,0.16967730224132538,0.28602924942970276
sees,0.3768094480037689,0.13515126705169678,0.2951999604701996,0.16328218579292297,0.10492990911006927,0.10033644735813141,0.1436735838651657
islam,0.14404281973838806,0.15794138610363007,0.2207694798707962,0.40693143010139465,0.551555871963501,0.2337515950202942,0.18358638882637024
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,-0.03386450186371803,0.010465400293469429,-0.037313155829906464,-0.023395681753754616
pivotal,0.2799854576587677,0.3064550459384918,0.4188881814479828,0.18400484323501587,0.2733260989189148,0.2753623127937317,0.21733060479164124
turning,0.3669416904449463,0.19385327398777008,0.3650859296321869,0.2107640504837036,0.17881853878498077,0.1650754064321518,0.1670563519001007
point,0.2634613811969757,0.17757032811641693,0.3084787130355835,0.08863145858049393,0.11567496508359909,0.1369037628173828,0.19189560413360596
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.2189406156539917,0.2183961719274521,0.21803916990756989,0.27043893933296204
occurring,0.2675609886646271,0.11710157245397568,0.3030725419521332,0.09689674526453018,0.17290353775024414,0.1493230015039444,0.1781778186559677
not,0.4799930453300476,0.2888734042644501,0.4310511648654938,0.16376176476478577,0.21016483008861542,0.2635442018508911,0.41942933201789856
with,0.5075214505195618,0.27411898970603943,0.4223487675189972,0.13219141960144043,0.17283791303634644,0.12221159040927887,0.2433311939239502
the,0.5091903209686279,0.48711544275283813,1.0,0.2623080313205719,0.25527113676071167,0.3050917983055115,0.22068053483963013
death,0.21254116296768188,0.28516459465026855,0.21438048779964447,0.12379927933216095,0.23286935687065125,0.24671512842178345,0.21149799227714539
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.239910289645195,0.26091882586479187,0.3066045939922333,0.1826142966747284
ali,0.17012666165828705,0.2125740945339203,0.21759866178035736,0.4365566372871399,0.46198248863220215,0.15303252637386322,0.12320320308208466
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.22751282155513763,0.1737840473651886,0.2612350583076477,0.31091248989105225
or,0.417120099067688,0.2330796718597412,0.4174870550632477,0.19204580783843994,0.1513003408908844,0.18099340796470642,0.32389625906944275
one,0.38307374715805054,0.3752199709415436,0.5514441132545471,0.1539372056722641,0.16768354177474976,0.1498262733221054,0.2673267424106598
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.239910289645195,0.26091882586479187,0.3066045939922333,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2623080313205719,0.25527113676071167,0.3050917983055115,0.22068053483963013
other,0.34102705121040344,0.14651623368263245,0.44152235984802246,0.15552595257759094,0.14520452916622162,0.1432616114616394,0.24682199954986572
four,0.2677527964115143,0.2866098880767822,0.40344667434692383,0.08939025551080704,0.15652835369110107,0.13556259870529175,0.14532537758350372
rightly,0.26954013109207153,0.1963845044374466,0.24466533958911896,0.19394928216934204,0.2671813666820526,0.20101676881313324,0.2548271715641022
guided,0.16111306846141815,0.24527186155319214,0.2760855555534363,0.14825016260147095,0.21722158789634705,0.14874227344989777,0.11538667976856232
caliphs,0.1954045593738556,0.22245465219020844,0.26271897554397583,0.5388663411140442,0.874973714351654,0.3591267764568329,0.19276054203510284
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.17080391943454742,0.15227052569389343,0.2503407597541809,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.2623080313205719,0.25527113676071167,0.3050917983055115,0.22068053483963013
7th,0.18496879935264587,0.23112575709819794,0.20414361357688904,0.038272373378276825,0.04698837548494339,0.07730576395988464,0.12025631219148636
century,0.22992412745952606,0.3521432876586914,0.3617299497127533,0.35807204246520996,0.3252713680267334,0.2973640263080597,0.1026201918721199
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.22751282155513763,0.1737840473651886,0.2612350583076477,0.31091248989105225
but,0.5599016547203064,0.36023372411727905,0.4859698414802551,0.2168722003698349,0.21516357362270355,0.2241460233926773,0.27921953797340393
with,0.5075214505195618,0.27411898970603943,0.4223487675189972,0.13219141960144043,0.17283791303634644,0.12221159040927887,0.2433311939239502
the,0.5091903209686279,0.48711544275283813,1.0,0.2623080313205719,0.25527113676071167,0.3050917983055115,0.22068053483963013
abolition,0.19237783551216125,0.2615470886230469,0.2524787187576294,0.26686838269233704,0.363832950592041,0.6809509992599487,0.11602208763360977
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.239910289645195,0.26091882586479187,0.3066045939922333,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2623080313205719,0.25527113676071167,0.3050917983055115,0.22068053483963013
ottoman,0.15557228028774261,0.21196036040782928,0.2623080313205719,0.9999999403953552,0.5515084266662598,0.280412882566452,0.14455440640449524
caliphate,0.19301770627498627,0.2127470225095749,0.25527113676071167,0.5515084266662598,1.0,0.38222408294677734,0.1574885994195938
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.17080391943454742,0.15227052569389343,0.2503407597541809,0.20430970191955566
1924,-0.03571704030036926,0.12205039709806442,-0.12103445082902908,0.2004731446504593,0.17707577347755432,0.074516162276268,0.04906921088695526
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2524917721748352,0.18035581707954407,0.2752610743045807,0.4130953550338745
