,who,was,the,first,warsaw,president,?
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.23137180507183075,0.24330610036849976,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,1.0,0.19408388435840607,0.2690713107585907,0.18701928853988647
warsaw,0.16496863961219788,0.2614976763725281,0.23137180507183075,0.19408388435840607,1.0,0.18283961713314056,0.09769917279481888
president,0.22565458714962006,0.2505730390548706,0.24330610036849976,0.2690713107585907,0.18283961713314056,1.0000001192092896,0.14148259162902832
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.2614976763725281,0.2505730390548706,0.18412111699581146
jan,0.12847648561000824,0.1969110071659088,0.12573367357254028,0.13280220329761505,0.28608253598213196,0.1529836505651474,0.14395545423030853
andrzej,0.21504905819892883,0.2421313226222992,0.19812287390232086,0.2034001350402832,0.4973297715187073,0.2595776915550232,0.27213728427886963
menich,0.3108242154121399,0.29922616481781006,0.21750250458717346,0.23316283524036407,0.38296738266944885,0.2726624608039856,0.18686002492904663
(,0.2443375140428543,0.2980341613292694,0.33289089798927307,0.2450505793094635,0.1835584193468094,0.2037333846092224,0.40561532974243164
1695–1696,-0.0027822847478091717,0.06216229498386383,0.15759626030921936,0.06472557783126831,0.10054054856300354,0.061359088867902756,0.1458693891763687
),0.2457384318113327,0.3267642855644226,0.3456730246543884,0.27228695154190063,0.19817118346691132,0.1912459284067154,0.42300865054130554
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.26825499534606934,0.26255303621292114,0.4130953550338745
