,which,florida,city,has,the,biggest,population,?
jacksonville,0.18266190588474274,0.568950355052948,0.3285287022590637,0.22732819616794586,0.2176690250635147,0.15739598870277405,0.23063048720359802,0.1359667330980301
is,0.4457404911518097,0.1775415539741516,0.3186660706996918,0.5668748617172241,0.5823672413825989,0.3216690123081207,0.2727566361427307,0.22961433231830597
the,0.6521818041801453,0.24091358482837677,0.35769423842430115,0.4177538752555847,1.0,0.3799763321876526,0.32044094800949097,0.22068053483963013
largest,0.29749369621276855,0.1885399967432022,0.3647192716598511,0.24081888794898987,0.3757036626338959,0.737842857837677,0.41943269968032837,0.12401245534420013
city,0.22264601290225983,0.26083460450172424,1.0,0.2476206123828888,0.35769423842430115,0.34649425745010376,0.4607829749584198,0.13423943519592285
by,0.40543368458747864,0.23268729448318481,0.21020644903182983,0.3254803419113159,0.4408751428127289,0.13812409341335297,0.17143253982067108,0.17966607213020325
population,0.2151837795972824,0.17583444714546204,0.4607829749584198,0.25973978638648987,0.32044094800949097,0.3034193813800812,1.0,0.14449454843997955
in,0.4840516746044159,0.2330404818058014,0.3911624252796173,0.4173259735107422,0.6662389636039734,0.33434951305389404,0.3268454372882843,0.20430970191955566
the,0.6521818041801453,0.24091358482837677,0.35769423842430115,0.4177538752555847,1.0,0.3799763321876526,0.32044094800949097,0.22068053483963013
u.s.,0.014487938955426216,-0.03061637468636036,0.13282833993434906,0.014947312884032726,0.06592652946710587,0.010147776454687119,0.04565044865012169,0.07886100560426712
state,0.27248382568359375,0.30986836552619934,0.4248887002468109,0.1870960146188736,0.3097178041934967,0.22040386497974396,0.3086160719394684,0.1160883978009224
of,0.5011631846427917,0.2330869883298874,0.32503411173820496,0.3909035325050354,0.733189046382904,0.35091954469680786,0.3060894012451172,0.1826142966747284
florida,0.22013095021247864,1.0,0.26083460450172424,0.15315955877304077,0.24091358482837677,0.14043568074703217,0.17583444714546204,0.13469882309436798
",",0.3658004403114319,0.21896368265151978,0.35839709639549255,0.3734780251979828,0.4933079481124878,0.28671082854270935,0.2967977225780487,0.31091248989105225
and,0.506277859210968,0.22456413507461548,0.2827445864677429,0.43716782331466675,0.5171257257461548,0.2873573303222656,0.23080337047576904,0.20544172823429108
the,0.6521818041801453,0.24091358482837677,0.35769423842430115,0.4177538752555847,1.0,0.3799763321876526,0.32044094800949097,0.22068053483963013
largest,0.29749369621276855,0.1885399967432022,0.3647192716598511,0.24081888794898987,0.3757036626338959,0.737842857837677,0.41943269968032837,0.12401245534420013
city,0.22264601290225983,0.26083460450172424,1.0,0.2476206123828888,0.35769423842430115,0.34649425745010376,0.4607829749584198,0.13423943519592285
by,0.40543368458747864,0.23268729448318481,0.21020644903182983,0.3254803419113159,0.4408751428127289,0.13812409341335297,0.17143253982067108,0.17966607213020325
area,0.3276861011981964,0.2439051866531372,0.41959723830223083,0.3084876537322998,0.37834644317626953,0.2795470058917999,0.49808502197265625,0.12640461325645447
in,0.4840516746044159,0.2330404818058014,0.3911624252796173,0.4173259735107422,0.6662389636039734,0.33434951305389404,0.3268454372882843,0.20430970191955566
the,0.6521818041801453,0.24091358482837677,0.35769423842430115,0.4177538752555847,1.0,0.3799763321876526,0.32044094800949097,0.22068053483963013
contiguous,0.3596254587173462,0.14947456121444702,0.24409045279026031,0.26474541425704956,0.3270845413208008,0.1252250075340271,0.3032834231853485,0.220851868391037
united,0.2821946144104004,0.3182266056537628,0.3402864933013916,0.17934498190879822,0.34367692470550537,0.23582257330417633,0.28376269340515137,0.17266890406608582
states,0.27476921677589417,0.3640097677707672,0.33636292815208435,0.1958659142255783,0.3463578522205353,0.2103569656610489,0.3036004900932312,0.16272737085819244
.,0.45942068099975586,0.23988212645053864,0.29856356978416443,0.4105546176433563,0.5934505462646484,0.23587781190872192,0.26950228214263916,0.4130953550338745
