,who,was,alfred,s,brown,?
in,0.2792111933231354,0.45514053106307983,0.29950597882270813,0.3340029716491699,0.20236437022686005,0.20430970191955566
late,0.19296042621135712,0.4393066465854645,0.20385491847991943,0.3113569915294647,0.1447829157114029,0.11339222639799118
1886,0.10808108001947403,0.15760818123817444,0.09759635478258133,0.051975369453430176,-0.008101686835289001,0.15507127344608307
tesla,0.1520961970090866,0.16455206274986267,0.13308247923851013,0.1607149839401245,0.07134627550840378,0.10250775516033173
met,0.32960283756256104,0.3100595772266388,0.24080125987529755,0.23724235594272614,0.10161585360765457,0.13848096132278442
alfred,0.24065124988555908,0.27826040983200073,1.0,0.21646402776241302,0.16912813484668732,0.10596195608377457
s.,0.05014374107122421,-0.0905630961060524,-0.050415392965078354,-0.06184991076588631,0.058565907180309296,0.07581593841314316
brown,0.2131863683462143,0.1727168709039688,0.16912813484668732,0.20180155336856842,1.0000001192092896,0.18920691311359406
",",0.3365725874900818,0.45456063747406006,0.250933438539505,0.361433744430542,0.2983597218990326,0.31091248989105225
a,0.36608949303627014,0.4508470594882965,0.2136242389678955,0.37089070677757263,0.21047969162464142,0.23916715383529663
western,0.2089514136314392,0.2864105999469757,0.17377345263957977,0.19247718155384064,0.12072498351335526,0.17439141869544983
union,0.16662479937076569,0.23276571929454803,0.1272752285003662,0.20630468428134918,0.14949947595596313,0.07797172665596008
superintendent,0.257494181394577,0.33779042959213257,0.29723650217056274,0.29834890365600586,0.23975273966789246,0.08918596059083939
",",0.3365725874900818,0.45456063747406006,0.250933438539505,0.361433744430542,0.2983597218990326,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.20860691368579865,0.36742347478866577,0.28234389424324036,0.20544172823429108
new,0.2378052920103073,0.2748313844203949,0.16587916016578674,0.29495540261268616,0.12720443308353424,0.14782847464084625
york,0.23077517747879028,0.2746913433074951,0.2436130791902542,0.281573623418808,0.1466587632894516,0.15262620151042938
attorney,0.2212972193956375,0.25042402744293213,0.1896199882030487,0.2463960349559784,0.19537021219730377,0.14764122664928436
charles,0.27103671431541443,0.28342804312705994,0.3356212377548218,0.261178195476532,0.22463859617710114,0.17366734147071838
f.,0.16394910216331482,0.17113131284713745,0.09889724850654602,0.16546201705932617,0.015026392415165901,0.11007396876811981
peck,0.2801194190979004,0.2587347626686096,0.2615510821342468,0.24314767122268677,0.2998613715171814,0.22361880540847778
.,0.3541337847709656,0.40146201848983765,0.27468806505203247,0.43327459692955017,0.3447112441062927,0.4130953550338745
