,which,of,tesla,'s,inventions,was,used,in,radio,development,?
many,0.5168171525001526,0.37253960967063904,0.15282970666885376,0.01698932610452175,0.36833250522613525,0.260356068611145,0.38759201765060425,0.41474202275276184,0.20007941126823425,0.27117374539375305,0.2124512493610382
devices,0.31469598412513733,0.1820836365222931,0.4021223783493042,0.04254931956529617,0.4027065336704254,0.17249077558517456,0.42305633425712585,0.19009613990783691,0.31114375591278076,0.28269127011299133,0.10574188083410263
such,0.406057745218277,0.3209529519081116,0.08131318539381027,0.05073437839746475,0.3404436409473419,0.12487147748470306,0.4262988865375519,0.2704046070575714,0.18555699288845062,0.2551344335079193,0.17851735651493073
as,0.41006597876548767,0.3886612355709076,0.10285310447216034,-0.05775856226682663,0.2563214600086212,0.3677520453929901,0.35160550475120544,0.3887844979763031,0.18667691946029663,0.22143439948558807,0.27043893933296204
the,0.6521818041801453,0.733189046382904,0.1324402391910553,-0.01540423184633255,0.21484124660491943,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.23511973023414612,0.3362044394016266,0.22068053483963013
tesla,0.2203940600156784,0.18837453424930573,0.9999999403953552,0.06449045985937119,0.32972049713134766,0.16455206274986267,0.226042702794075,0.17097744345664978,0.2212681919336319,0.15245971083641052,0.10250775516033173
coil,0.3346194922924042,0.19491709768772125,0.38700389862060547,0.01121712289750576,0.32305264472961426,0.13090889155864716,0.27524369955062866,0.17931470274925232,0.2098928689956665,0.17690983414649963,0.07395657896995544
were,0.2807837128639221,0.34038281440734863,0.1222306564450264,0.007088581565767527,0.26228636503219604,0.590133786201477,0.27636459469795227,0.3815755248069763,0.10931224375963211,0.159018412232399,0.17890112102031708
used,0.414506196975708,0.3075267970561981,0.226042702794075,0.00600846204906702,0.33878687024116516,0.23679393529891968,0.9999998807907104,0.3090210556983948,0.1841198354959488,0.19750651717185974,0.22430120408535004
in,0.4840516746044159,0.5696388483047485,0.17097744345664978,-0.037580832839012146,0.22111988067626953,0.45514053106307983,0.3090210556983948,1.0,0.22625693678855896,0.2550492286682129,0.20430970191955566
the,0.6521818041801453,0.733189046382904,0.1324402391910553,-0.01540423184633255,0.21484124660491943,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.23511973023414612,0.3362044394016266,0.22068053483963013
further,0.33739811182022095,0.24797867238521576,0.12437186390161514,-0.0077023254707455635,0.16105443239212036,0.16107149422168732,0.13153591752052307,0.233941450715065,0.10394272208213806,0.2757788598537445,0.20960763096809387
development,0.3198052942752838,0.28700894117355347,0.15245971083641052,0.004789014346897602,0.2748706340789795,0.2344081997871399,0.19750651717185974,0.2550492286682129,0.07746139168739319,0.9999998807907104,0.1211358830332756
of,0.5011631846427917,1.0,0.18837453424930573,-0.03817026689648628,0.20976124703884125,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.16079017519950867,0.28700894117355347,0.1826142966747284
radio,0.20020823180675507,0.16079017519950867,0.2212681919336319,0.13450658321380615,0.20737703144550323,0.20381812751293182,0.1841198354959488,0.22625693678855896,0.9999999403953552,0.07746139168739319,0.08763375133275986
.,0.45942068099975586,0.5352458953857422,0.17949827015399933,-0.003708066651597619,0.21516335010528564,0.40146201848983765,0.33111312985420227,0.5591574311256409,0.20650681853294373,0.2822875380516052,0.4130953550338745
