,what,does,the,template,for,bills,passed,by,the,scottish,parliament,include,?
instead,0.4104403555393219,0.38886702060699463,0.3940567970275879,0.28194957971572876,0.4413341283798218,0.2126266211271286,0.1728278249502182,0.2769894301891327,0.3940567970275879,0.17570218443870544,0.2395537793636322,0.2419946789741516,0.2942638397216797
they,0.4431931674480438,0.34390902519226074,0.49925389885902405,0.18227823078632355,0.3466525673866272,0.3725031912326813,0.23387479782104492,0.3391372263431549,0.49925389885902405,0.19936999678611755,0.17276093363761902,0.24800166487693787,0.2753053903579712
begin,0.26893487572669983,0.24656398594379425,0.34293439984321594,0.176983043551445,0.29862016439437866,0.14430685341358185,0.19088847935199738,0.16351081430912018,0.34293439984321594,0.009776527062058449,0.15754301846027374,0.18886469304561615,0.16177093982696533
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.1906927078962326,0.39140474796295166,0.24248230457305908,0.1990165412425995,0.39731505513191223,0.4223487675189972,0.20394033193588257,0.14422082901000977,0.3391835689544678,0.2433311939239502
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.2510925829410553,0.44038116931915283,0.24252058565616608,0.24766449630260468,0.32094135880470276,0.5829201340675354,0.18544672429561615,0.22951169312000275,0.18765322864055634,0.23916715383529663
phrase,0.31149473786354065,0.18282046914100647,0.25180333852767944,0.22718285024166107,0.26372888684272766,0.22145938873291016,0.12740810215473175,0.1893695443868637,0.25180333852767944,0.12275045365095139,0.1895257830619812,0.19464333355426788,0.32636284828186035
that,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.3491072654724121,0.4137635827064514,0.23997637629508972,0.27556318044662476,0.37496164441108704,0.5473989248275757,0.1999964714050293,0.17629513144493103,0.2797866463661194,0.32716336846351624
reads,0.2951335906982422,0.3618750274181366,0.2572076916694641,0.25406306982040405,0.27172645926475525,0.1747916042804718,0.12886115908622742,0.1701476126909256,0.2572076916694641,0.11424737423658371,0.14930342137813568,0.18341943621635437,0.26189136505126953
:,-0.12022944539785385,-0.11934193223714828,-0.03403344005346298,-0.012528246268630028,-0.02522280067205429,-0.07320509105920792,-0.08653819561004639,-0.11676844954490662,-0.03403344005346298,0.0004659995611291379,0.014206579886376858,-0.06567054241895676,-0.07156077772378922
``,0.008517155423760414,0.06539655476808548,0.029072100296616554,0.1547161191701889,0.01270448137074709,0.10501180589199066,0.013821362517774105,-0.030704375356435776,0.029072100296616554,-0.024539422243833542,0.08920595794916153,-0.0020322874188423157,0.0685480609536171
the,0.42745697498321533,0.35928019881248474,1.0,0.2930607795715332,0.4739971458911896,0.2371491938829422,0.3173406720161438,0.4408751428127289,1.0,0.21724988520145416,0.26521381735801697,0.2951717972755432,0.22068053483963013
bill,0.16425743699073792,0.17194031178951263,0.24155211448669434,0.12884438037872314,0.1828024983406067,0.6122535467147827,0.29634007811546326,0.14073550701141357,0.24155211448669434,0.22999455034732819,0.2732408940792084,0.08358044922351837,0.12855131924152374
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.31436651945114136,0.9999999403953552,0.24164816737174988,0.23234809935092926,0.3248702883720398,0.4739971458911896,0.15676887333393097,0.23382046818733215,0.39020416140556335,0.264628142118454
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.42184340953826904,0.5082864165306091,0.18589071929454803,0.3039473593235016,0.38438332080841064,0.6274310946464539,0.20456062257289886,0.23205555975437164,0.2503410577774048,0.3155723512172699
act,0.2622668445110321,0.21016603708267212,0.28682878613471985,0.185509592294693,0.22890116274356842,0.3185368776321411,0.4205443859100342,0.19227443635463715,0.28682878613471985,0.1456814855337143,0.33536985516548157,0.16490261256694794,0.1482519507408142
