,when,did,the,attack,occur,in,which,the,normans,impressed,prince,guaimar,iii,occur,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.1944931447505951,0.26916563510894775,1.0,0.4840516746044159,0.6662389636039734,0.23263490200042725,0.1855696141719818,0.16662997007369995,0.32040634751319885,0.17050711810588837,0.26916563510894775,0.20430970191955566
999,-0.13484813272953033,-0.08082584291696548,-0.04926479607820511,-0.12177856266498566,-0.007816541008651257,0.011541361920535564,-0.022188499569892883,-0.04926479607820511,0.0033740252256393433,-0.07119133323431015,-0.03124435991048813,0.016928497701883316,0.01430837158113718,-0.007816541008651257,-0.0005342004005797207
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.29392024874687195,0.28566715121269226,0.5201468467712402,0.3658004403114319,0.4933079481124878,0.207779198884964,0.2853713035583496,0.27037322521209717,0.40600886940956116,0.27640607953071594,0.28566715121269226,0.31091248989105225
according,0.1697726845741272,0.19118738174438477,0.3202974498271942,0.14250360429286957,0.13738170266151428,0.29259276390075684,0.28790292143821716,0.3202974498271942,0.12224000692367554,0.12677308917045593,0.1172279566526413,0.20836986601352692,0.09259207546710968,0.13738170266151428,0.21173474192619324
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.19954605400562286,0.1967356950044632,0.45010748505592346,0.5345056653022766,0.535392165184021,0.2506018877029419,0.2776016891002655,0.1818697601556778,0.2664188742637634,0.1442069709300995,0.1967356950044632,0.29463258385658264
amatus,0.24856244027614594,0.19778218865394592,0.2494591325521469,0.007867761887609959,0.19526086747646332,0.19204209744930267,0.275162011384964,0.2494591325521469,0.13851937651634216,0.19720585644245148,0.1422933042049408,0.19318097829818726,0.1791222244501114,0.19526086747646332,0.22255928814411163
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.20644454658031464,0.24223870038986206,0.5696388483047485,0.5011631846427917,0.733189046382904,0.2173461765050888,0.2121015042066574,0.23588454723358154,0.35813412070274353,0.21691277623176575,0.24223870038986206,0.1826142966747284
montecassino,0.21964424848556519,0.187996044754982,0.3138934373855591,0.25223270058631897,0.10494992882013321,0.3229530155658722,0.23497606813907623,0.3138934373855591,0.40466639399528503,0.24051211774349213,0.23667339980602264,0.4521058201789856,0.25345587730407715,0.10494992882013321,0.13627886772155762
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.29392024874687195,0.28566715121269226,0.5201468467712402,0.3658004403114319,0.4933079481124878,0.207779198884964,0.2853713035583496,0.27037322521209717,0.40600886940956116,0.27640607953071594,0.28566715121269226,0.31091248989105225
norman,0.18821191787719727,0.1672605574131012,0.23459704220294952,0.11192570626735687,0.07774168998003006,0.17613162100315094,0.1315736174583435,0.23459704220294952,0.7264348268508911,0.2063702642917633,0.14939744770526886,0.18470892310142517,0.1497901827096939,0.07774168998003006,0.12243545055389404
pilgrims,0.18681447207927704,0.1405429244041443,0.1926509439945221,0.14875276386737823,0.06713254004716873,0.18547621369361877,0.16529150307178497,0.1926509439945221,0.25729745626449585,0.1672229766845703,0.10367527604103088,0.22804340720176697,0.13412825763225555,0.06713254004716873,0.19878895580768585
returning,0.3320828080177307,0.20950084924697876,0.3807036876678467,0.31425741314888,0.14429688453674316,0.3026452958583832,0.24583588540554047,0.3807036876678467,0.18532967567443848,0.3090996742248535,0.13218243420124054,0.21378737688064575,0.12481404840946198,0.14429688453674316,0.14488300681114197
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.21350589394569397,0.19627679884433746,0.4274188280105591,0.38755592703819275,0.40150508284568787,0.13955055177211761,0.13318026065826416,0.14595796167850494,0.21779023110866547,0.1669788956642151,0.19627679884433746,0.19969791173934937
jerusalem,0.18407414853572845,0.12854312360286713,0.2364608198404312,0.22240610420703888,0.12576164305210114,0.19283141195774078,0.22367145121097565,0.2364608198404312,0.28727179765701294,0.1401190310716629,0.10870171338319778,0.22342714667320251,0.17944756150245667,0.12576164305210114,0.14136314392089844
called,0.39188069105148315,0.277748167514801,0.489897221326828,0.14861193299293518,0.2731573283672333,0.40847352147102356,0.5573342442512512,0.489897221326828,0.17925147712230682,0.13074246048927307,0.15248197317123413,0.258619487285614,0.22867929935455322,0.2731573283672333,0.18963319063186646
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.1944931447505951,0.26916563510894775,1.0,0.4840516746044159,0.6662389636039734,0.23263490200042725,0.1855696141719818,0.16662997007369995,0.32040634751319885,0.17050711810588837,0.26916563510894775,0.20430970191955566
at,0.38876327872276306,0.28390252590179443,0.457212895154953,0.21748682856559753,0.1852356344461441,0.4374977946281433,0.3286694884300232,0.457212895154953,0.19791625440120697,0.2734713554382324,0.1175786703824997,0.23410284519195557,0.11366314440965652,0.1852356344461441,0.21978627145290375
the,0.5091903209686279,0.34736719727516174,1.0,0.2508925497531891,0.26611819863319397,0.6662389636039734,0.6521818041801453,1.0,0.2781367897987366,0.2390986680984497,0.24284426867961884,0.3910897374153137,0.18552400171756744,0.26611819863319397,0.22068053483963013
port,0.19527626037597656,0.10525383055210114,0.2648184895515442,0.20162823796272278,0.04227801784873009,0.20519298315048218,0.21118135750293732,0.2648184895515442,0.22535340487957,0.058606259524822235,0.2876504361629486,0.28823956847190857,0.11900371313095093,0.04227801784873009,0.06519711017608643
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.20644454658031464,0.24223870038986206,0.5696388483047485,0.5011631846427917,0.733189046382904,0.2173461765050888,0.2121015042066574,0.23588454723358154,0.35813412070274353,0.21691277623176575,0.24223870038986206,0.1826142966747284
salerno,0.22336332499980927,0.1976098269224167,0.23396766185760498,0.2689193785190582,0.027139166370034218,0.16951531171798706,0.14942438900470734,0.23396766185760498,0.4073868691921234,0.13896846771240234,0.3228886127471924,0.40133216977119446,0.3832174837589264,0.027139166370034218,0.15705285966396332
when,0.9999999403953552,0.3228907287120819,0.5091903209686279,0.25451144576072693,0.2505786716938019,0.4431333839893341,0.572554349899292,0.5091903209686279,0.21106265485286713,0.2700183093547821,0.16897666454315186,0.2452172189950943,0.20814812183380127,0.2505786716938019,0.22841128706932068
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.2556389570236206,0.18892104923725128,0.539380669593811,0.56894451379776,0.5829201340675354,0.16186057031154633,0.1997775137424469,0.14827799797058105,0.2682974934577942,0.21403419971466064,0.18892104923725128,0.23916715383529663
saracen,0.1757887899875641,0.17882832884788513,0.3230760395526886,0.24177764356136322,0.1334236115217209,0.29004308581352234,0.24054346978664398,0.3230760395526886,0.35201120376586914,0.18676164746284485,0.31026431918144226,0.34932273626327515,0.23548996448516846,0.1334236115217209,0.06386468559503555
attack,0.25451144576072693,0.13678960502147675,0.2508925497531891,1.0,0.2451024055480957,0.1944931447505951,0.23276583850383759,0.2508925497531891,0.24041514098644257,0.12798863649368286,0.12197943776845932,0.18928387761116028,0.11847631633281708,0.2451024055480957,0.126759335398674
occurred,0.221700981259346,0.2772168517112732,0.3372073173522949,0.21021871268749237,0.6558175086975098,0.3479720652103424,0.272514283657074,0.3372073173522949,0.18879163265228271,0.1264324188232422,0.15146106481552124,0.1422676146030426,0.09755835682153702,0.6558175086975098,0.15880417823791504
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.3003302216529846,0.21290622651576996,0.5591574311256409,0.45942068099975586,0.5934505462646484,0.2287112921476364,0.2754419147968292,0.2213638871908188,0.330726683139801,0.24080099165439606,0.21290622651576996,0.4130953550338745
,when,did,the,attack,occur,in,which,the,normans,impressed,prince,guaimar,iii,occur,?
probably,0.3694952726364136,0.29997241497039795,0.3722526729106903,0.14927181601524353,0.19265401363372803,0.29636839032173157,0.43223926424980164,0.3722526729106903,0.22482731938362122,0.23525238037109375,0.1872939169406891,0.1960860788822174,0.15852604806423187,0.19265401363372803,0.3524723947048187
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.18667443096637726,0.21296989917755127,0.3887844979763031,0.41006597876548767,0.48381632566452026,0.14305062592029572,0.27007412910461426,0.16530267894268036,0.289061963558197,0.18325692415237427,0.21296989917755127,0.27043893933296204
