,who,killed,begter,",",temüjin,'s,half-brother,?
temujin,0.3364172577857971,0.2661122977733612,0.26493674516677856,0.32420167326927185,0.8003869652748108,0.008760017342865467,0.33659735321998596,0.23889534175395966
's,0.05599616840481758,-0.004342961125075817,0.04033765569329262,-0.0016132977325469255,-0.010023289360105991,0.9999999403953552,-0.0015297123463824391,-0.023395681753754616
resentment,0.24003134667873383,0.24225622415542603,0.30296680331230164,0.24759720265865326,0.32830074429512024,-0.001316036214120686,0.22448042035102844,0.21990835666656494
erupted,0.11990305781364441,0.2755413353443146,0.13111944496631622,0.22120970487594604,0.3019099235534668,-0.09222412109375,0.17595559358596802,0.11324462294578552
during,0.30551859736442566,0.31690382957458496,0.2882303297519684,0.3225448727607727,0.34768882393836975,0.011294117197394371,0.2908226549625397,0.1325719803571701
one,0.40083858370780945,0.2478880137205124,0.24040386080741882,0.3696635365486145,0.30269449949264526,0.06913424283266068,0.32788848876953125,0.2673267424106598
hunting,0.26352766156196594,0.26919737458229065,0.1504768282175064,0.2791766822338104,0.2403174638748169,0.06653569638729095,0.24219129979610443,0.1138605922460556
excursion,0.06610111892223358,0.11233662813901901,0.23726284503936768,0.17583619058132172,0.25855252146720886,0.031185172498226166,0.2150585949420929,0.14232851564884186
that,0.45444270968437195,0.24908366799354553,0.2928924858570099,0.4137537479400635,0.4035418629646301,0.04397977516055107,0.27612143754959106,0.32716336846351624
temüjin,0.416724294424057,0.32560741901397705,0.3692499101161957,0.3484273850917816,1.0,-0.010023289360105991,0.37592563033103943,0.21090233325958252
and,0.41279885172843933,0.23023393750190735,0.367858350276947,0.6633074283599854,0.3789469599723816,0.06895173341035843,0.3867848217487335,0.20544172823429108
his,0.44966956973075867,0.24431633949279785,0.34305620193481445,0.3378419280052185,0.4682264029979706,0.047556519508361816,0.4787575900554657,0.18075084686279297
brother,0.39596912264823914,0.2878575921058655,0.33117055892944336,0.25189656019210815,0.3288313150405884,-0.0180375799536705,0.9054407477378845,0.14267398416996002
khasar,0.21817174553871155,0.3043862283229828,0.2993863821029663,0.28182753920555115,0.5128337740898132,0.03563443943858147,0.3225666880607605,0.1633252203464508
killed,0.3541788160800934,0.9999998807907104,0.22466646134853363,0.3006497025489807,0.32560741901397705,-0.004342961125075817,0.3432348072528839,0.17928971350193024
their,0.3767721951007843,0.20294970273971558,0.1905328333377838,0.3045167922973633,0.34026217460632324,-0.005530759692192078,0.2488880306482315,0.1898253709077835
half-brother,0.42855358123779297,0.3432348072528839,0.4348822832107544,0.3877674341201782,0.37592563033103943,-0.0015297123463824391,1.0,0.19051197171211243
begter,0.3782765865325928,0.22466646134853363,0.9999998807907104,0.41059941053390503,0.3692499101161957,0.04033765569329262,0.4348822832107544,0.22523251175880432
.,0.3541337847709656,0.2666846215724945,0.3413090407848358,0.6812511086463928,0.31788840889930725,-0.003708066651597619,0.32828858494758606,0.4130953550338745
