,milutin,tesla,died,at,what,age,?
on,0.14261846244335175,0.16159376502037048,0.2450883537530899,0.4806317389011383,0.34226128458976746,0.23768801987171173,0.2714994251728058
17,0.16157610714435577,0.05340947210788727,0.11400546133518219,0.12009375542402267,0.1129629984498024,0.09843575954437256,0.17603135108947754
april,0.20400020480155945,0.1302996277809143,0.4375264644622803,0.3072861135005951,0.21502700448036194,0.2181941419839859,0.25704094767570496
1879,-0.0525435134768486,-0.045758847147226334,0.010978356935083866,-0.009198488667607307,-0.07866717875003815,-0.03842621669173241,0.057432834059000015
",",0.3123588562011719,0.20599327981472015,0.36026471853256226,0.38314947485923767,0.3087472915649414,0.2693369388580322,0.31091248989105225
milutin,1.0,0.39255380630493164,0.2120995968580246,0.08519746363162994,0.15894187986850739,0.15110911428928375,0.15096595883369446
tesla,0.39255380630493164,0.9999999403953552,0.04018354043364525,0.16552478075027466,0.23221199214458466,0.07816897332668304,0.10250775516033173
died,0.2120995968580246,0.04018354043364525,0.9999998807907104,0.27932441234588623,0.11138711869716644,0.481362909078598,0.15254227817058563
at,0.08519746363162994,0.16552478075027466,0.27932441234588623,1.0,0.2838611304759979,0.32409605383872986,0.21978627145290375
the,0.19717852771282196,0.1324402391910553,0.18710990250110626,0.457212895154953,0.42745697498321533,0.24711290001869202,0.22068053483963013
age,0.15110911428928375,0.07816897332668304,0.481362909078598,0.32409605383872986,0.1895245760679245,0.9999998807907104,0.16859300434589386
of,0.20297259092330933,0.18837453424930573,0.25637882947921753,0.42558613419532776,0.33290785551071167,0.2372717410326004,0.1826142966747284
60,0.011123523116111755,0.06023029237985611,-0.033329930156469345,-0.018395232036709785,0.07328611612319946,-0.001519482582807541,0.06999651342630386
after,0.17619822919368744,0.0752151682972908,0.333185076713562,0.3622083067893982,0.21973377466201782,0.2536883056163788,0.16608688235282898
contracting,0.23249071836471558,0.20956313610076904,0.19626416265964508,0.15811485052108765,0.2756916880607605,0.1751146763563156,0.1360260248184204
an,0.170660138130188,0.13714656233787537,0.17960475385189056,0.2446778565645218,0.2821882665157318,0.17451614141464233,0.19793890416622162
unspecified,0.24267332255840302,0.15113313496112823,0.16621287167072296,0.18654881417751312,0.2660098373889923,0.14861202239990234,0.21719498932361603
illness,0.2726316750049591,0.07226704061031342,0.5648521780967712,0.17298844456672668,0.16011852025985718,0.3534848093986511,0.13208319246768951
(,0.30108165740966797,0.2156914919614792,0.18834897875785828,0.23315078020095825,0.2411840260028839,0.14561709761619568,0.40561532974243164
although,0.19767719507217407,0.12368585914373398,0.18781907856464386,0.32536768913269043,0.24844598770141602,0.16131897270679474,0.15541206300258636
some,0.27572259306907654,0.17697323858737946,0.13330216705799103,0.25582021474838257,0.4491020441055298,0.15738306939601898,0.2562315762042999
sources,0.23864227533340454,0.09786935150623322,0.13311049342155457,0.21317902207374573,0.30212491750717163,0.14746303856372833,0.2886999845504761
say,0.1948590725660324,0.14495143294334412,0.1767750233411789,0.24579253792762756,0.5386801958084106,0.20734935998916626,0.4357808530330658
that,0.23053300380706787,0.22102725505828857,0.12470279633998871,0.3183255195617676,0.6297725439071655,0.18966884911060333,0.32716336846351624
he,0.21514737606048584,0.12373391538858414,0.39118778705596924,0.3280475437641144,0.3114890456199646,0.3103105127811432,0.2089974731206894
died,0.2120995968580246,0.04018354043364525,0.9999998807907104,0.27932441234588623,0.11138711869716644,0.481362909078598,0.15254227817058563
of,0.20297259092330933,0.18837453424930573,0.25637882947921753,0.42558613419532776,0.33290785551071167,0.2372717410326004,0.1826142966747284
a,0.26086151599884033,0.2211925983428955,0.19795529544353485,0.3095070421695709,0.3320399522781372,0.19297243654727936,0.23916715383529663
stroke,0.2128591686487198,0.1622094213962555,0.561343789100647,0.1742946058511734,0.14717313647270203,0.3377527594566345,0.12954586744308472
),0.2978115975856781,0.22692398726940155,0.2021750956773758,0.23338089883327484,0.26259949803352356,0.16737043857574463,0.42300865054130554
.,0.23946820199489594,0.17949827015399933,0.24093139171600342,0.4549728035926819,0.3567904531955719,0.2498820275068283,0.4130953550338745
