,when,did,the,huguenots,secure,the,right,to,own,land,in,the,baronies,?
after,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.27856364846229553,0.13157439231872559,0.4565047025680542,0.18875662982463837,0.37890323996543884,0.23706036806106567,0.19933275878429413,0.44050168991088867,0.4565047025680542,0.24911631643772125,0.16608688235282898
petitioning,0.2640853226184845,0.2511616349220276,0.28924113512039185,0.19691771268844604,0.1821116805076599,0.28924113512039185,0.24721986055374146,0.27427566051483154,0.268150269985199,0.09987178444862366,0.24692147970199585,0.28924113512039185,0.2646212875843048,0.22180883586406708
the,0.5091903209686279,0.34736719727516174,1.0,0.30745792388916016,0.2569228410720825,1.0,0.33901116251945496,0.535392165184021,0.334675133228302,0.28587454557418823,0.6662389636039734,1.0,0.32758626341819763,0.22068053483963013
british,0.1642608791589737,0.2039594054222107,0.28973397612571716,0.2702842354774475,0.1520940512418747,0.28973397612571716,0.12890709936618805,0.22690963745117188,0.18910621106624603,0.16519016027450562,0.23084034025669098,0.28973397612571716,0.35638663172721863,0.09711728990077972
crown,0.2492285519838333,0.14185261726379395,0.2646690607070923,0.22270731627941132,0.16100618243217468,0.2646690607070923,0.13394364714622498,0.21565793454647064,0.1885259598493576,0.2354726791381836,0.2139754444360733,0.2646690607070923,0.2865919768810272,0.09979621320962906
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.25916293263435364,0.1867481768131256,0.6662389636039734,0.16096803545951843,0.45010748505592346,0.31893372535705566,0.22871792316436768,1.0,0.6662389636039734,0.3076173663139343,0.20430970191955566
1697,0.08274734765291214,0.10059000551700592,0.185462087392807,0.08845018595457077,0.05844273418188095,0.185462087392807,0.04881482198834419,0.1092950850725174,0.06511572748422623,0.20468781888484955,0.15151424705982208,0.185462087392807,0.1214960440993309,0.18880613148212433
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.17568211257457733,0.28824377059936523,0.4739971458911896,0.25850585103034973,0.4451248347759247,0.30703625082969666,0.19845563173294067,0.4322226941585541,0.4739971458911896,0.3011022210121155,0.264628142118454
the,0.5091903209686279,0.34736719727516174,1.0,0.30745792388916016,0.2569228410720825,1.0,0.33901116251945496,0.535392165184021,0.334675133228302,0.28587454557418823,0.6662389636039734,1.0,0.32758626341819763,0.22068053483963013
right,0.27255165576934814,0.26817142963409424,0.33901116251945496,0.15242624282836914,0.1630771905183792,0.33901116251945496,1.0,0.31834647059440613,0.2658334970474243,0.17665857076644897,0.16096803545951843,0.33901116251945496,0.17273575067520142,0.27135515213012695
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.2685132324695587,0.3605278432369232,0.535392165184021,0.31834647059440613,1.0,0.35879063606262207,0.2885280251502991,0.45010748505592346,0.535392165184021,0.2514224648475647,0.29463258385658264
own,0.3067531883716583,0.34475913643836975,0.334675133228302,0.20235732197761536,0.19576232135295868,0.334675133228302,0.2658334970474243,0.35879063606262207,1.0,0.2225065380334854,0.31893372535705566,0.334675133228302,0.2700456380844116,0.1937696635723114
