,what,sort,of,system,releases,the,exhaust,steam,into,the,atmosphere,?
the,0.42745697498321533,0.31158876419067383,0.733189046382904,0.3233085572719574,0.3003343343734741,1.0,0.2500286400318146,0.23105813562870026,0.39493247866630554,1.0,0.24429655075073242,0.22068053483963013
working,0.2846863269805908,0.21363306045532227,0.19986772537231445,0.2118702232837677,0.17648945748806,0.25857484340667725,0.1807476282119751,0.20605218410491943,0.151668518781662,0.25857484340667725,0.15718026459217072,0.17154020071029663
fluid,0.20682886242866516,0.2051781415939331,0.217294842004776,0.3003348708152771,0.20475348830223083,0.23256433010101318,0.3424885869026184,0.31744375824928284,0.2031296193599701,0.23256433010101318,0.3520892858505249,0.18212400376796722
in,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.21978288888931274,0.2132599651813507,0.6662389636039734,0.16454721987247467,0.19852672517299652,0.38021373748779297,0.6662389636039734,0.20898397266864777,0.20430970191955566
a,0.3320399522781372,0.31923773884773254,0.5052502155303955,0.2589043080806732,0.25183573365211487,0.5829201340675354,0.3041450083255768,0.2141898274421692,0.3461161255836487,0.5829201340675354,0.17583811283111572,0.23916715383529663
rankine,0.14446263015270233,0.16787032783031464,0.22334030270576477,0.2278212606906891,0.23854969441890717,0.22060109674930573,0.24739477038383484,0.2536572813987732,0.08062097430229187,0.22060109674930573,0.2968336343765259,0.15256094932556152
cycle,0.17920038104057312,0.146708682179451,0.255176842212677,0.20094482600688934,0.18689599633216858,0.2701641917228699,0.2250516414642334,0.24528048932552338,0.14627525210380554,0.2701641917228699,0.26162341237068176,0.07156776636838913
can,0.34502777457237244,0.3040619492530823,0.2603091299533844,0.25937724113464355,0.2374105453491211,0.312528520822525,0.3133845329284668,0.20162075757980347,0.301788330078125,0.312528520822525,0.21905893087387085,0.3226337134838104
operate,0.23576132953166962,0.1671828329563141,0.22024419903755188,0.31364014744758606,0.16328367590904236,0.23581141233444214,0.3076108992099762,0.33868643641471863,0.1540089249610901,0.23581141233444214,0.15385451912879944,0.16664595901966095
as,0.31749409437179565,0.28186240792274475,0.3886612355709076,0.1973835676908493,0.2757965624332428,0.48381632566452026,0.20186255872249603,0.20776431262493134,0.24094121158123016,0.48381632566452026,0.20602615177631378,0.27043893933296204
