,who,stated,a,change,of,the,length,of,the,rhine,?
in,0.2792111933231354,0.24313503503799438,0.539380669593811,0.2510564923286438,0.5696388483047485,0.6662389636039734,0.1989525854587555,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
1932,-0.1251884549856186,-0.03623025864362717,0.02157033421099186,0.08003271371126175,0.10457485914230347,0.13905753195285797,0.062363673001527786,0.10457485914230347,0.13905753195285797,0.050522029399871826,-0.1809951514005661
the,0.3733934462070465,0.2814950942993164,0.5829201340675354,0.3641999065876007,0.733189046382904,1.0,0.26581600308418274,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
german,0.29263320565223694,0.1488569974899292,0.23789440095424652,0.1407179832458496,0.2122138887643814,0.256483793258667,0.08317441493272781,0.2122138887643814,0.256483793258667,0.49305370450019836,0.13978645205497742
encyclopedia,0.21240372955799103,0.2080979198217392,0.15151265263557434,0.18901582062244415,0.21112416684627533,0.1717369109392166,0.14868399500846863,0.21112416684627533,0.1717369109392166,0.07629039138555527,0.37688717246055603
knaurs,0.2550728917121887,0.16260865330696106,0.23068349063396454,0.12975892424583435,0.2421523481607437,0.2484542578458786,0.11667226254940033,0.2421523481607437,0.2484542578458786,0.22697782516479492,0.17220163345336914
lexikon,0.17077597975730896,0.1342965066432953,0.18485797941684723,0.15801972150802612,0.17711137235164642,0.17378656566143036,0.13237819075584412,0.17711137235164642,0.17378656566143036,0.3667934834957123,0.19617022573947906
stated,0.25916561484336853,1.0,0.22154705226421356,0.2184886932373047,0.22148488461971283,0.2814950942993164,0.15051773190498352,0.22148488461971283,0.2814950942993164,0.10584452003240585,0.24280361831188202
the,0.3733934462070465,0.2814950942993164,0.5829201340675354,0.3641999065876007,0.733189046382904,1.0,0.26581600308418274,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
length,0.035333774983882904,0.15051773190498352,0.2569684684276581,0.0985480397939682,0.22847424447536469,0.26581600308418274,1.0,0.22847424447536469,0.26581600308418274,0.20094704627990723,0.16668567061424255
as,0.3923053741455078,0.3581467568874359,0.39550232887268066,0.37273192405700684,0.3886612355709076,0.48381632566452026,0.14453570544719696,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
"1,320",0.13520510494709015,0.0691877007484436,0.07749084383249283,0.030174624174833298,0.11055148392915726,0.1784840226173401,0.054974671453237534,0.11055148392915726,0.1784840226173401,0.023047348484396935,-0.0050902534276247025
kilometres,0.11871179193258286,0.13280709087848663,0.2422814816236496,0.11953490972518921,0.2594377398490906,0.26219841837882996,0.3183972239494324,0.2594377398490906,0.26219841837882996,0.2998743951320648,0.09185487031936646
(,0.2443375140428543,0.13169001042842865,0.3206180930137634,0.20281900465488434,0.35032153129577637,0.33289089798927307,0.201618954539299,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.40561532974243164
820,-0.039721276611089706,0.002412009984254837,0.06327202171087265,-0.014991856180131435,0.1445472687482834,0.16378289461135864,0.04545149207115173,0.1445472687482834,0.16378289461135864,0.13714176416397095,-0.1963750720024109
miles,0.1689033806324005,0.2387501299381256,0.23875154554843903,0.07649330049753189,0.2263605147600174,0.25706055760383606,0.24663932621479034,0.2263605147600174,0.25706055760383606,0.18265488743782043,0.09363767504692078
),0.2457384318113327,0.12946446239948273,0.3640355169773102,0.20322290062904358,0.3680361211299896,0.3456730246543884,0.2271558791399002,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3365725874900818,0.2962069809436798,0.427140474319458,0.2752361297607422,0.4946078956127167,0.4933079481124878,0.2117512971162796,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
presumably,0.3133225440979004,0.25086236000061035,0.3233722746372223,0.309730589389801,0.2688252329826355,0.33926481008529663,0.15793253481388092,0.2688252329826355,0.33926481008529663,0.0983630120754242,0.2772786617279053
a,0.36608949303627014,0.22154705226421356,1.0,0.3047741651535034,0.5052502155303955,0.5829201340675354,0.2569684684276581,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
typographical,0.12286652624607086,0.2096436768770218,0.2861018180847168,0.3121747672557831,0.2482243925333023,0.28759828209877014,0.2520645558834076,0.2482243925333023,0.28759828209877014,0.1034303605556488,0.2394208312034607
error,0.11088067293167114,0.15500590205192566,0.29154232144355774,0.30244484543800354,0.15479235351085663,0.1961134821176529,0.20643480122089386,0.15479235351085663,0.1961134821176529,0.05581003800034523,0.2543688118457794
.,0.3541337847709656,0.26454663276672363,0.50484299659729,0.3244723975658417,0.5352458953857422,0.5934505462646484,0.2983158230781555,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.4130953550338745
