,whose,first,law,of,motion,says,that,unless,acted,upon,be,forces,",",objects,would,continue,to,move,at,a,constant,velocity,?
newton,0.18937960267066956,0.2017267495393753,0.34055307507514954,0.18479612469673157,0.3923175632953644,0.20146796107292175,0.22769790887832642,0.1366390436887741,0.1355290412902832,0.22961920499801636,0.14867404103279114,0.14706134796142578,0.2648763358592987,0.20895755290985107,0.19488731026649475,0.0948559045791626,0.2176830768585205,0.15497688949108124,0.12256313115358353,0.1884482353925705,0.31823867559432983,0.35314035415649414,0.09645649790763855
's,-0.019954677671194077,-0.014458609744906425,-0.06109188124537468,-0.03817026689648628,-0.0527731329202652,-0.06714938580989838,0.04397977516055107,0.009498829022049904,0.038229573518037796,-0.10459267348051071,0.025217169895768166,0.011176351457834244,-0.0016132977325469255,0.013840041123330593,0.036968596279621124,-0.010923145338892937,0.03782717138528824,0.03534839302301407,-0.08481216430664062,0.04866964742541313,-0.015898186713457108,-0.020696857944130898,-0.023395681753754616
first,0.21891677379608154,1.0,0.1839938908815384,0.3536086082458496,0.1811497062444687,0.17695634067058563,0.3482176661491394,0.23026910424232483,0.24845753610134125,0.2280571311712265,0.29818081855773926,0.20469938218593597,0.34503069519996643,0.16789890825748444,0.2882738411426544,0.24500073492527008,0.3792489171028137,0.20505985617637634,0.3138778805732727,0.4287874400615692,0.1297389268875122,0.14277228713035583,0.18701928853988647
law,0.14712193608283997,0.1839938908815384,1.0000001192092896,0.2816956341266632,0.26447317004203796,0.3255860507488251,0.23277728259563446,0.2862643599510193,0.19343753159046173,0.14746515452861786,0.18454892933368683,0.23524847626686096,0.24953721463680267,0.15823568403720856,0.20746640861034393,0.13022837042808533,0.259207159280777,0.14484001696109772,0.1870616227388382,0.2212858349084854,0.27736684679985046,0.18315158784389496,0.1528988480567932
of,0.37058958411216736,0.3536086082458496,0.2816956341266632,1.0,0.24864931404590607,0.29148387908935547,0.41498205065727234,0.26434075832366943,0.19531118869781494,0.3224298357963562,0.33904364705085754,0.3090144991874695,0.4946078956127167,0.23814009130001068,0.3353942930698395,0.19578875601291656,0.41548454761505127,0.19058799743652344,0.42558613419532776,0.5052502155303955,0.25393494963645935,0.15038157999515533,0.1826142966747284
motion,0.13538020849227905,0.1811497062444687,0.26447317004203796,0.24864931404590607,0.9999999403953552,0.18128721415996552,0.2637788951396942,0.2504872977733612,0.25053468346595764,0.16835282742977142,0.21529123187065125,0.2487546056509018,0.18457698822021484,0.3248368203639984,0.23055873811244965,0.1739484965801239,0.26277783513069153,0.3022959232330322,0.13668975234031677,0.23572494089603424,0.2816808521747589,0.37702953815460205,0.20143945515155792
states,0.12828987836837769,0.3145790100097656,0.2508668601512909,0.30884552001953125,0.21079671382904053,0.23936699330806732,0.291576623916626,0.21573993563652039,0.2293190360069275,0.15030957758426666,0.24637973308563232,0.2525377571582794,0.3315127193927765,0.13037797808647156,0.2281532734632492,0.185800701379776,0.2828785181045532,0.1676289290189743,0.19903600215911865,0.24708621203899384,0.06688712537288666,0.16439372301101685,0.16272737085819244
that,0.3740115463733673,0.3482176661491394,0.23277728259563446,0.41498205065727234,0.2637788951396942,0.4701751470565796,1.0,0.5599766373634338,0.22111652791500092,0.2909981608390808,0.6036020517349243,0.24199660122394562,0.4137537479400635,0.33961281180381775,0.5895259380340576,0.39601582288742065,0.5436353087425232,0.3069665729999542,0.3183255195617676,0.47537946701049805,0.2775205373764038,0.2781139016151428,0.32716336846351624
objects,0.19837363064289093,0.16789890825748444,0.15823568403720856,0.23814009130001068,0.3248368203639984,0.1805894374847412,0.33961281180381775,0.3474059998989105,0.18311384320259094,0.13568070530891418,0.311663955450058,0.2820701003074646,0.21213118731975555,1.0000001192092896,0.27234193682670593,0.15516068041324615,0.2695634961128235,0.2699681520462036,0.17468072474002838,0.24898670613765717,0.2708791196346283,0.3547598123550415,0.15479016304016113
continue,0.15374356508255005,0.24500073492527008,0.13022837042808533,0.19578875601291656,0.1739484965801239,0.22173793613910675,0.39601582288742065,0.3297863006591797,0.16058196127414703,0.21788980066776276,0.3588188588619232,0.21794183552265167,0.3163892924785614,0.15516068041324615,0.4452403485774994,0.9999999403953552,0.4441169500350952,0.3855648338794708,0.20095503330230713,0.21998350322246552,0.17822836339473724,0.21915920078754425,0.23903685808181763
