,oxygen,is,released,in,cellular,respiration,by,?
oxygen,0.9999999403953552,0.21825239062309265,0.17016007006168365,0.1672476977109909,0.41241124272346497,0.5477889776229858,0.1292176991701126,0.16786395013332367
is,0.21825239062309265,1.0,0.21587204933166504,0.5394441485404968,0.1777307391166687,0.2597092092037201,0.3899846076965332,0.22961433231830597
used,0.21276918053627014,0.3288823366165161,0.2145008146762848,0.3090210556983948,0.19796687364578247,0.21600331366062164,0.27705541253089905,0.22430120408535004
in,0.1672476977109909,0.5394441485404968,0.2659924626350403,1.0,0.20714080333709717,0.25548887252807617,0.370934396982193,0.20430970191955566
cellular,0.41241124272346497,0.1777307391166687,0.1832617074251175,0.20714080333709717,1.0000001192092896,0.5209612250328064,0.15252184867858887,0.16428864002227783
respiration,0.5477889776229858,0.2597092092037201,0.2483544796705246,0.25548887252807617,0.5209612250328064,1.0,0.21787816286087036,0.17575538158416748
and,0.22261030972003937,0.3859752118587494,0.2706851661205292,0.4954058527946472,0.17583927512168884,0.28929564356803894,0.4289871156215668,0.20544172823429108
released,0.17016007006168365,0.21587204933166504,1.0,0.2659924626350403,0.1832617074251175,0.2483544796705246,0.31595227122306824,0.20329579710960388
by,0.1292176991701126,0.3899846076965332,0.31595227122306824,0.370934396982193,0.15252184867858887,0.21787816286087036,1.0000001192092896,0.17966607213020325
photosynthesis,0.5679547190666199,0.22769613564014435,0.19958829879760742,0.2557604908943176,0.5653448104858398,0.615482747554779,0.2082122266292572,0.1871609091758728
",",0.21812842786312103,0.4691906273365021,0.2775750756263733,0.5201468467712402,0.15201711654663086,0.2987004220485687,0.3680937886238098,0.31091248989105225
which,0.3166238069534302,0.4457404911518097,0.2545137405395508,0.4840516746044159,0.29538100957870483,0.3642996847629547,0.40543368458747864,0.25814583897590637
uses,0.20267243683338165,0.41359779238700867,0.19313475489616394,0.2516363263130188,0.16641046106815338,0.2602809965610504,0.19318048655986786,0.18407079577445984
the,0.20428593456745148,0.5823672413825989,0.24578391015529633,0.6662389636039734,0.20089124143123627,0.29438328742980957,0.4408751428127289,0.22068053483963013
energy,0.4261608421802521,0.2171693742275238,0.19887827336788177,0.17693158984184265,0.36088821291923523,0.42549076676368713,0.1721600890159607,0.14860127866268158
of,0.16848602890968323,0.4854315221309662,0.17721395194530487,0.5696388483047485,0.19871774315834045,0.2836471498012543,0.3646814823150635,0.1826142966747284
sunlight,0.4877612292766571,0.23021580278873444,0.18761834502220154,0.19265112280845642,0.3245804011821747,0.49100014567375183,0.165273055434227,0.17698515951633453
to,0.24193501472473145,0.42745086550712585,0.21765387058258057,0.45010748505592346,0.16043607890605927,0.2922604978084564,0.33534231781959534,0.29463258385658264
produce,0.2946869134902954,0.26456785202026367,0.22168445587158203,0.21160131692886353,0.26965147256851196,0.37225762009620667,0.2717679440975189,0.19229066371917725
oxygen,0.9999999403953552,0.21825239062309265,0.17016007006168365,0.1672476977109909,0.41241124272346497,0.5477889776229858,0.1292176991701126,0.16786395013332367
from,0.23457925021648407,0.27355384826660156,0.19112130999565125,0.4274188280105591,0.1582397073507309,0.2900363802909851,0.3373257517814636,0.19969791173934937
water,0.4692627191543579,0.2879090905189514,0.14932259917259216,0.23966141045093536,0.17981185019016266,0.3908284604549408,0.22562243044376373,0.14731885492801666
.,0.2554275095462799,0.4569662809371948,0.298698753118515,0.5591574311256409,0.2444593757390976,0.294679194688797,0.3936232924461365,0.4130953550338745
