,fielding,h.,garrison,believes,that,the,science,of,geology,can,be,traced,to,where,?
some,0.20325852930545807,-0.04216865450143814,0.11581067740917206,0.23597581684589386,0.6049469113349915,0.4566698372364044,0.23805350065231323,0.4300730526447296,0.2045683115720749,0.5319128632545471,0.49956634640693665,0.2940916419029236,0.4636894166469574,0.39480453729629517,0.2562315762042999
modern,0.15027406811714172,-0.05015958845615387,0.17108392715454102,0.1344429850578308,0.24473170936107635,0.3283970355987549,0.2755643129348755,0.3482828736305237,0.19295738637447357,0.16479086875915527,0.2118767350912094,0.32538890838623047,0.193939670920372,0.2249264419078827,0.12475407868623734
scholars,0.18768416345119476,-0.054463911801576614,0.1438949704170227,0.29038935899734497,0.30800777673721313,0.2524346709251404,0.36484843492507935,0.2583930194377899,0.24256418645381927,0.13411860167980194,0.22129200398921967,0.3117726445198059,0.2576902210712433,0.17711977660655975,0.11279910802841187
",",0.26262006163597107,-0.12486197054386139,0.25367769598960876,0.24128273129463196,0.4137537479400635,0.4933079481124878,0.2623405158519745,0.4946078956127167,0.21413999795913696,0.3139454126358032,0.39254459738731384,0.2596147656440735,0.44245919585227966,0.3149496018886566,0.31091248989105225
such,0.20012201368808746,-0.059378672391176224,0.12212322652339935,0.15430162847042084,0.4479874074459076,0.3575236201286316,0.1982545554637909,0.3209529519081116,0.17474520206451416,0.396209716796875,0.5239806771278381,0.23844477534294128,0.2871878743171692,0.3198639750480652,0.17851735651493073
as,0.2199265956878662,-0.1905096024274826,0.22119174897670746,0.2485833615064621,0.4735107421875,0.48381632566452026,0.2104831486940384,0.3886612355709076,0.15125581622123718,0.3245031237602234,0.5230465531349182,0.25103724002838135,0.42092081904411316,0.35409465432167053,0.27043893933296204
fielding,1.0000001192092896,-0.23100963234901428,0.2099178433418274,0.2632810175418854,0.26749542355537415,0.21143792569637299,0.29037386178970337,0.23262061178684235,0.2483130842447281,0.13263151049613953,0.2106565535068512,0.20766644179821014,0.2635751962661743,0.1749645173549652,0.19708466529846191
h.,-0.23100963234901428,1.0,-0.09023118019104004,-0.23136022686958313,-0.1771814227104187,-0.10884115099906921,-0.17758947610855103,-0.09578611701726913,0.028748909011483192,-0.08389051258563995,-0.15511402487754822,-0.08978232741355896,-0.18937623500823975,-0.11515086889266968,-0.10847286134958267
garrison,0.2099178433418274,-0.09023118019104004,1.0,0.13573600351810455,0.15078410506248474,0.251071572303772,0.1096491664648056,0.17924772202968597,0.10908306390047073,0.09567347913980484,0.14727936685085297,0.18765655159950256,0.21971097588539124,0.16317182779312134,0.1271563321352005
",",0.26262006163597107,-0.12486197054386139,0.25367769598960876,0.24128273129463196,0.4137537479400635,0.4933079481124878,0.2623405158519745,0.4946078956127167,0.21413999795913696,0.3139454126358032,0.39254459738731384,0.2596147656440735,0.44245919585227966,0.3149496018886566,0.31091248989105225
