,what,river,is,near,genghis,khan,'s,likely,place,of,burial,?
after,0.21973377466201782,0.2135820835828781,0.2835143506526947,0.2304886281490326,0.24102559685707092,0.1264270693063736,-0.055672239512205124,0.2726236581802368,0.30468833446502686,0.3867455720901489,0.1896008998155594,0.16608688235282898
he,0.3114890456199646,0.18389761447906494,0.36230841279029846,0.14969274401664734,0.28288567066192627,0.24136358499526978,0.024063590914011,0.17139974236488342,0.24724791944026947,0.38706058263778687,0.16934634745121002,0.2089974731206894
died,0.11138711869716644,0.14141400158405304,0.1729084998369217,0.26445895433425903,0.28730252385139465,0.1835235059261322,-0.023391123861074448,0.17410412430763245,0.18751297891139984,0.25637882947921753,0.3283219337463379,0.15254227817058563
",",0.3087472915649414,0.26637205481529236,0.4691906273365021,0.3141826391220093,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.22176046669483185,0.34068408608436584,0.4946078956127167,0.2167155146598816,0.31091248989105225
his,0.26976513862609863,0.16192665696144104,0.24372583627700806,0.13597472012043,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.19093771278858185,0.2274911254644394,0.38364991545677185,0.2313334345817566,0.18075084686279297
body,0.2143840193748474,0.13665254414081573,0.2790417969226837,0.13977935910224915,0.15716145932674408,0.07258021086454391,0.003652067156508565,0.23403799533843994,0.21413810551166534,0.25063133239746094,0.3177081048488617,0.20136451721191406
was,0.22111038863658905,0.15785206854343414,0.5810302495956421,0.1933041363954544,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.20650577545166016,0.26867109537124634,0.4069072902202606,0.21821482479572296,0.18412111699581146
returned,0.15085899829864502,0.1631585955619812,0.18192875385284424,0.17847630381584167,0.14648209512233734,0.10561105608940125,-0.04012485593557358,0.1264377236366272,0.22765783965587616,0.28002414107322693,0.23027826845645905,0.07695316523313522
to,0.455847829580307,0.13636653125286102,0.42745086550712585,0.2456841915845871,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.41562584042549133,0.3346366882324219,0.41548454761505127,0.19511598348617554,0.29463258385658264
mongolia,0.18044717609882355,0.21263962984085083,0.19608411192893982,0.17119386792182922,0.4294305145740509,0.37883228063583374,-0.018711648881435394,0.12404590845108032,0.1752169281244278,0.24969549477100372,0.14685946702957153,0.12165829539299011
and,0.31309178471565247,0.19898422062397003,0.3859752118587494,0.25046437978744507,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.3069725036621094,0.2813849449157715,0.5116966962814331,0.19633576273918152,0.20544172823429108
presumably,0.3423468768596649,0.15595681965351105,0.308910995721817,0.24257835745811462,0.21467351913452148,0.09399865567684174,-0.028311697766184807,0.4253385663032532,0.21962782740592957,0.2688252329826355,0.2325897216796875,0.2772786617279053
to,0.455847829580307,0.13636653125286102,0.42745086550712585,0.2456841915845871,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.41562584042549133,0.3346366882324219,0.41548454761505127,0.19511598348617554,0.29463258385658264
his,0.26976513862609863,0.16192665696144104,0.24372583627700806,0.13597472012043,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.19093771278858185,0.2274911254644394,0.38364991545677185,0.2313334345817566,0.18075084686279297
birthplace,0.16259154677391052,0.2859923839569092,0.2960118055343628,0.3302498459815979,0.22238415479660034,0.13287800550460815,-0.057574838399887085,0.1352112591266632,0.3730858862400055,0.29584696888923645,0.32067787647247314,0.08009099215269089
in,0.30808621644973755,0.2149806171655655,0.5394441485404968,0.40211278200149536,0.224680557847023,0.1527150720357895,-0.037580832839012146,0.21680790185928345,0.38128477334976196,0.5696388483047485,0.233357235789299,0.20430970191955566
khentii,0.270523339509964,0.2265675812959671,0.28025904297828674,0.17154687643051147,0.6079114675521851,0.543266236782074,0.08388768136501312,0.23028843104839325,0.22142894566059113,0.3527437448501587,0.2783888876438141,0.22497324645519257
aimag,0.23359085619449615,0.2353993058204651,0.28415992856025696,0.21323262155056,0.2988908588886261,0.1716255396604538,0.08317997306585312,0.26306450366973877,0.2578270435333252,0.29655763506889343,0.15265965461730957,0.22216902673244476
",",0.3087472915649414,0.26637205481529236,0.4691906273365021,0.3141826391220093,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.22176046669483185,0.34068408608436584,0.4946078956127167,0.2167155146598816,0.31091248989105225
where,0.4457937180995941,0.1886204034090042,0.3586711287498474,0.4188554286956787,0.1839626133441925,0.1568954735994339,0.0007701900321990252,0.28848254680633545,0.4786618947982788,0.38066378235816956,0.30498334765434265,0.24793872237205505
many,0.36131182312965393,0.12832623720169067,0.2649032473564148,0.16392192244529724,0.2155562937259674,0.15215526521205902,0.01698932610452175,0.34626179933547974,0.296424925327301,0.37253960967063904,0.2327595055103302,0.2124512493610382
assume,0.47351330518722534,0.10847736895084381,0.26546353101730347,0.08393020182847977,0.16026708483695984,0.14041215181350708,0.012398024089634418,0.38223743438720703,0.23606817424297333,0.25215187668800354,0.09551161527633667,0.39130663871765137
