,during,which,era,did,the,aztec,and,incan,empires,thrive,?
the,0.4838213622570038,0.6521818041801453,0.266272634267807,0.34736719727516174,1.0,0.23435597121715546,0.5171257257461548,0.23541803658008575,0.33908694982528687,0.3102238178253174,0.22068053483963013
americas,0.23304150998592377,0.22101634740829468,0.2571980059146881,0.2207053005695343,0.3215886056423187,0.4170268177986145,0.23319223523139954,0.19902954995632172,0.400190144777298,0.2933574318885803,0.1837410032749176
during,1.0,0.3590145409107208,0.42847543954849243,0.30679523944854736,0.4838213622570038,0.1745000183582306,0.36462149024009705,0.19052861630916595,0.2542705535888672,0.2618204653263092,0.1325719803571701
the,0.4838213622570038,0.6521818041801453,0.266272634267807,0.34736719727516174,1.0,0.23435597121715546,0.5171257257461548,0.23541803658008575,0.33908694982528687,0.3102238178253174,0.22068053483963013
pre-columbian,0.27126070857048035,0.2607038617134094,0.31311094760894775,0.19872026145458221,0.3354031443595886,0.3548913300037384,0.268349289894104,0.3756535053253174,0.3034672141075134,0.28860220313072205,0.1626415103673935
era,0.42847543954849243,0.26643016934394836,1.0,0.1672050952911377,0.266272634267807,0.19419719278812408,0.23158983886241913,0.183115616440773,0.2882590591907501,0.1851632446050644,0.14369545876979828
also,0.4275238513946533,0.6566565632820129,0.21332702040672302,0.39334940910339355,0.6021018624305725,0.24476104974746704,0.5755972862243652,0.19961777329444885,0.23119162023067474,0.3406981825828552,0.21848613023757935
had,0.39748913049697876,0.3188965916633606,0.18197846412658691,0.540525496006012,0.3875846862792969,0.22410520911216736,0.3872550129890442,0.19689510762691498,0.25796976685523987,0.23642849922180176,0.20728366076946259
large,0.218748077750206,0.46308431029319763,0.22565320134162903,0.2084006518125534,0.3828733265399933,0.21556681394577026,0.3404269814491272,0.22664232552051544,0.21929702162742615,0.3407927453517914,0.1355665624141693
empires,0.2542705535888672,0.22796547412872314,0.2882590591907501,0.20721697807312012,0.33908694982528687,0.4083201587200165,0.3538569211959839,0.35195785760879517,0.9999999403953552,0.2697354257106781,0.15503522753715515
such,0.2389506697654724,0.406057745218277,0.23129399120807648,0.24497397243976593,0.3575236201286316,0.16550695896148682,0.44540345668792725,0.2181493639945984,0.22209683060646057,0.31657007336616516,0.17851735651493073
as,0.29671990871429443,0.41006597876548767,0.20649906992912292,0.3596470057964325,0.48381632566452026,0.1365375965833664,0.49487000703811646,0.23820462822914124,0.19161733984947205,0.2689909338951111,0.27043893933296204
the,0.4838213622570038,0.6521818041801453,0.266272634267807,0.34736719727516174,1.0,0.23435597121715546,0.5171257257461548,0.23541803658008575,0.33908694982528687,0.3102238178253174,0.22068053483963013
aztec,0.1745000183582306,0.1962805837392807,0.19419719278812408,0.1972176432609558,0.23435597121715546,1.0,0.19054798781871796,0.42453911900520325,0.4083201587200165,0.24395129084587097,0.12357855588197708
empire,0.24941793084144592,0.1975056380033493,0.26374202966690063,0.18850058317184448,0.32532164454460144,0.4361700713634491,0.27479609847068787,0.36789578199386597,0.8189548850059509,0.24848595261573792,0.14909450709819794
and,0.36462149024009705,0.506277859210968,0.23158983886241913,0.34479495882987976,0.5171257257461548,0.19054798781871796,1.0,0.18622244894504547,0.3538569211959839,0.3279348313808441,0.20544172823429108
the,0.4838213622570038,0.6521818041801453,0.266272634267807,0.34736719727516174,1.0,0.23435597121715546,0.5171257257461548,0.23541803658008575,0.33908694982528687,0.3102238178253174,0.22068053483963013
incan,0.19052861630916595,0.21118494868278503,0.183115616440773,0.10245989263057709,0.23541803658008575,0.42453911900520325,0.18622244894504547,1.0000001192092896,0.35195785760879517,0.23112355172634125,0.05982319638133049
empire,0.24941793084144592,0.1975056380033493,0.26374202966690063,0.18850058317184448,0.32532164454460144,0.4361700713634491,0.27479609847068787,0.36789578199386597,0.8189548850059509,0.24848595261573792,0.14909450709819794
.,0.3485563397407532,0.45942068099975586,0.1924184113740921,0.35288307070732117,0.5934505462646484,0.15137211978435516,0.588965117931366,0.13522392511367798,0.2821316719055176,0.27453601360321045,0.4130953550338745
