,what,did,the,peasants,believe,luther,would,do,for,them,?
luther,0.2134782373905182,0.23667675256729126,0.1759674996137619,0.12856873869895935,0.21247079968452454,1.0,0.14161886274814606,0.10933273285627365,0.12958186864852905,0.1940135955810547,0.1732746809720993
's,0.02692362666130066,0.05069678649306297,-0.01540423184633255,0.060065872967243195,0.00462753139436245,-0.009990512393414974,0.036968596279621124,-0.01994597539305687,-0.07241261005401611,0.025712676346302032,-0.023395681753754616
pamphlets,0.25429636240005493,0.23580940067768097,0.21724416315555573,0.3944535553455353,0.2114734947681427,0.25356394052505493,0.19647608697414398,0.15582145750522614,0.17315344512462616,0.3129562735557556,0.253634512424469
against,0.24561616778373718,0.22514554858207703,0.3090755045413971,0.25814568996429443,0.2578721046447754,0.18804924190044403,0.25891733169555664,0.22739747166633606,0.3262052536010742,0.31722354888916016,0.18095137178897858
the,0.42745697498321533,0.34736719727516174,1.0,0.29513445496559143,0.2972484529018402,0.1759674996137619,0.4133751392364502,0.30239659547805786,0.4739971458911896,0.4788833558559418,0.22068053483963013
church,0.1944202184677124,0.16781097650527954,0.23846197128295898,0.2922825515270233,0.257955402135849,0.379041463136673,0.14457671344280243,0.13028843700885773,0.15542230010032654,0.19927147030830383,0.18081501126289368
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.25373342633247375,0.29652947187423706,0.20796556770801544,0.34921059012413025,0.276123583316803,0.5064792633056641,0.48717668652534485,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,1.0,0.29513445496559143,0.2972484529018402,0.1759674996137619,0.4133751392364502,0.30239659547805786,0.4739971458911896,0.4788833558559418,0.22068053483963013
hierarchy,0.2107066512107849,0.16683000326156616,0.22604632377624512,0.23703216016292572,0.2936043441295624,0.12554831802845,0.21593813598155975,0.12386571615934372,0.09427861869335175,0.2121550589799881,0.23208312690258026
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.23394730687141418,0.2459280639886856,0.23255878686904907,0.32586824893951416,0.3283645510673523,0.4464869201183319,0.3985835015773773,0.31091248989105225
often,0.3849453330039978,0.26973026990890503,0.38004449009895325,0.33436286449432373,0.29224666953086853,0.13597606122493744,0.3489023745059967,0.30438441038131714,0.37495917081832886,0.4468117952346802,0.23748154938220978
worded,0.4426545798778534,0.39138713479042053,0.2669876515865326,0.24534597992897034,0.37800154089927673,0.18558263778686523,0.490113228559494,0.35038599371910095,0.23509672284126282,0.40687522292137146,0.4457875192165375
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.18589089810848236,0.2392634004354477,0.14705438911914825,0.38372042775154114,0.23744353652000427,0.39140474796295166,0.4064640402793884,0.2433311939239502
``,0.008517155423760414,-0.029888948425650597,0.029072100296616554,0.07128429412841797,-0.029574817046523094,-0.013964727520942688,0.08063928782939911,0.06628920882940292,0.01270448137074709,0.08904550224542618,0.0685480609536171
liberal,0.20277564227581024,0.1655585914850235,0.17276059091091156,0.2513865828514099,0.23340405523777008,0.22490233182907104,0.20106102526187897,0.12603804469108582,0.16497495770454407,0.133657768368721,0.13139645755290985
