,who,recovered,the,fumble,and,ran,the,ball,in,for,a,touchdown,?
a,0.36608949303627014,0.2461796998977661,0.5829201340675354,0.17153340578079224,0.3739250600337982,0.26671481132507324,0.5829201340675354,0.23578347265720367,0.539380669593811,0.44038116931915283,1.0,0.22309942543506622,0.23916715383529663
few,0.3378944993019104,0.29862138628959656,0.34660017490386963,0.1801706850528717,0.39845648407936096,0.2155541628599167,0.34660017490386963,0.14746533334255219,0.3588411808013916,0.34910818934440613,0.2765968441963196,0.12841562926769257,0.2334265559911728
plays,0.24272681772708893,0.1023864597082138,0.1760704517364502,0.1937057375907898,0.2139715701341629,0.15762807428836823,0.1760704517364502,0.24181239306926727,0.24790528416633606,0.26689276099205017,0.2085086703300476,0.18257291615009308,0.14138242602348328
later,0.35185644030570984,0.3331216275691986,0.4060266613960266,0.23591282963752747,0.4216292202472687,0.2948436439037323,0.4060266613960266,0.11628908663988113,0.40857815742492676,0.3573088049888611,0.34254932403564453,0.1513894498348236,0.1417175978422165
",",0.3365725874900818,0.2676272988319397,0.4933079481124878,0.30810612440109253,0.6633074283599854,0.22539734840393066,0.4933079481124878,0.2170172780752182,0.5201468467712402,0.4464869201183319,0.427140474319458,0.2072077840566635,0.31091248989105225
on,0.2340552806854248,0.2166234701871872,0.5107308030128479,0.16300038993358612,0.4077630043029785,0.22594980895519257,0.5107308030128479,0.1605052351951599,0.46853652596473694,0.36199691891670227,0.3848365545272827,0.16085277497768402,0.2714994251728058
3rd-and-10,0.29338204860687256,0.14390607178211212,0.33422017097473145,0.13247336447238922,0.33290383219718933,0.11255817115306854,0.33422017097473145,0.17531351745128632,0.3085460960865021,0.21670177578926086,0.2929282486438751,0.1702631413936615,0.12372670322656631
from,0.27839982509613037,0.2810422480106354,0.40150508284568787,0.19001522660255432,0.3601827025413513,0.2960633933544159,0.40150508284568787,0.21110084652900696,0.4274188280105591,0.314039945602417,0.322764128446579,0.17096304893493652,0.19969791173934937
the,0.3733934462070465,0.2614712417125702,1.0,0.16197896003723145,0.5171257257461548,0.28357353806495667,1.0,0.18895584344863892,0.6662389636039734,0.4739971458911896,0.5829201340675354,0.1805710643529892,0.22068053483963013
15-yard,0.28564170002937317,0.3061690628528595,0.3201746642589569,0.3542034924030304,0.3180595636367798,0.30631300806999207,0.3201746642589569,0.2848057448863983,0.29800084233283997,0.26866036653518677,0.2976670563220978,0.3747864067554474,0.14087530970573425
line,0.1774713397026062,0.08226953446865082,0.29789501428604126,0.12082433700561523,0.24584348499774933,0.2235708236694336,0.29789501428604126,0.2138069123029709,0.2258777767419815,0.2019100785255432,0.23499317467212677,0.21845434606075287,0.16271452605724335
",",0.3365725874900818,0.2676272988319397,0.4933079481124878,0.30810612440109253,0.6633074283599854,0.22539734840393066,0.4933079481124878,0.2170172780752182,0.5201468467712402,0.4464869201183319,0.427140474319458,0.2072077840566635,0.31091248989105225
linebacker,0.18917565047740936,0.1912452131509781,0.19719967246055603,0.5103139877319336,0.2321299910545349,0.19724881649017334,0.19719967246055603,0.3353641629219055,0.22480759024620056,0.27424296736717224,0.20977157354354858,0.545517086982727,0.15540370345115662
von,0.1834137886762619,0.13788801431655884,0.21817399561405182,0.13488003611564636,0.2179601788520813,0.14569403231143951,0.21817399561405182,0.029852816835045815,0.20116294920444489,0.10186543315649033,0.18142175674438477,0.03370225057005882,0.13907472789287567
miller,0.2093905359506607,0.15619339048862457,0.21601076424121857,0.2852419912815094,0.2989555597305298,0.14797785878181458,0.21601076424121857,0.1518518477678299,0.19489489495754242,0.21116214990615845,0.21294589340686798,0.22451376914978027,0.1295081228017807
knocked,0.19835633039474487,0.3414326608181,0.25226226449012756,0.3439420461654663,0.23763570189476013,0.25170305371284485,0.25226226449012756,0.29728958010673523,0.17732229828834534,0.15028490126132965,0.1961788684129715,0.3829185366630554,0.1071818619966507
the,0.3733934462070465,0.2614712417125702,1.0,0.16197896003723145,0.5171257257461548,0.28357353806495667,1.0,0.18895584344863892,0.6662389636039734,0.4739971458911896,0.5829201340675354,0.1805710643529892,0.22068053483963013
ball,0.18419332802295685,0.12504027783870697,0.18895584344863892,0.3442053198814392,0.19981779158115387,0.17638421058654785,0.18895584344863892,1.0,0.1472199559211731,0.1708642989397049,0.23578347265720367,0.3576510548591614,0.1766241192817688
out,0.3129808306694031,0.27184879779815674,0.39404502511024475,0.34143850207328796,0.3881998062133789,0.21738164126873016,0.39404502511024475,0.25823330879211426,0.3576207756996155,0.3312093913555145,0.34264278411865234,0.30202528834342957,0.22020699083805084
of,0.2827862501144409,0.22457769513130188,0.733189046382904,0.1608104109764099,0.5116966962814331,0.21351689100265503,0.733189046382904,0.15122076869010925,0.5696388483047485,0.4185989499092102,0.5052502155303955,0.15340197086334229,0.1826142966747284
newton,0.19243690371513367,0.14219547808170319,0.1876603662967682,0.22407451272010803,0.22255054116249084,0.12771086394786835,0.1876603662967682,0.18903715908527374,0.23639483749866486,0.18168501555919647,0.1884482353925705,0.29466405510902405,0.09645649790763855
's,0.05599616840481758,-0.014260370284318924,-0.01540423184633255,0.02591221034526825,0.06895173341035843,0.055423226207494736,-0.01540423184633255,-0.028031641617417336,-0.037580832839012146,-0.07241261005401611,0.04866964742541313,0.028220493346452713,-0.023395681753754616
hands,0.315868079662323,0.24222332239151,0.27627843618392944,0.19703300297260284,0.3075007200241089,0.19266293942928314,0.27627843618392944,0.25547537207603455,0.18708239495754242,0.25576677918434143,0.22827254235744476,0.21643060445785522,0.18784376978874207
while,0.4068111777305603,0.30355745553970337,0.39804592728614807,0.25433874130249023,0.45699796080589294,0.1810844987630844,0.39804592728614807,0.23322966694831848,0.3399278521537781,0.4232339859008789,0.3733035624027252,0.1975603848695755,0.21076419949531555
sacking,0.2615954577922821,0.36197230219841003,0.32415956258773804,0.3199353516101837,0.2693990170955658,0.19379308819770813,0.32415956258773804,0.17175376415252686,0.288433313369751,0.261188268661499,0.1876051276922226,0.3307967185974121,0.1311245560646057
