,what,did,tesla,think,could,improve,the,brain,'s,intelligence,?
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.1975572109222412,0.16634690761566162,0.23023654520511627,0.1324402391910553,0.18339592218399048,0.06449045985937119,0.1861192137002945,0.10250775516033173
theorized,0.28116753697395325,0.2632977068424225,0.22369728982448578,0.28822243213653564,0.27556198835372925,0.21145614981651306,0.24957996606826782,0.23155799508094788,-0.036456625908613205,0.2582632601261139,0.10721861571073532
that,0.6297725439071655,0.47518548369407654,0.22102725505828857,0.5798900723457336,0.5584503412246704,0.35122907161712646,0.5473989248275757,0.24878709018230438,0.04397977516055107,0.29118505120277405,0.32716336846351624
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.3102172613143921,0.35393214225769043,0.22075426578521729,1.0,0.25109198689460754,-0.01540423184633255,0.25918135046958923,0.22068053483963013
application,0.2565309405326843,0.14525571465492249,0.3022003173828125,0.2028612196445465,0.2446812242269516,0.33596837520599365,0.2483029067516327,0.20403799414634705,-0.03476598486304283,0.16455146670341492,0.1966315507888794
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.2625778615474701,0.29043012857437134,0.2226867526769638,0.733189046382904,0.2293534129858017,-0.03817026689648628,0.26626935601234436,0.1826142966747284
electricity,0.20851419866085052,0.22498734295368195,0.37243616580963135,0.22419533133506775,0.26329320669174194,0.27866610884666443,0.274786114692688,0.25188320875167847,0.04452890530228615,0.15922732651233673,0.17856204509735107
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.3748004138469696,0.5461788773536682,0.38674962520599365,0.535392165184021,0.21741782128810883,0.03782717138528824,0.23205207288265228,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.3102172613143921,0.35393214225769043,0.22075426578521729,1.0,0.25109198689460754,-0.01540423184633255,0.25918135046958923,0.22068053483963013
brain,0.26156795024871826,0.19304510951042175,0.18339592218399048,0.2016296535730362,0.17081595957279205,0.17430248856544495,0.25109198689460754,1.0000001192092896,-0.04122481867671013,0.35423341393470764,0.17415454983711243
enhanced,0.17255665361881256,0.13240276277065277,0.22945603728294373,0.18383806943893433,0.3114033639431,0.44029539823532104,0.20192280411720276,0.15101955831050873,0.07895758002996445,0.2069898247718811,0.13735352456569672
intelligence,0.2373703420162201,0.20290221273899078,0.1861192137002945,0.18505920469760895,0.2007356733083725,0.20835043489933014,0.25918135046958923,0.35423341393470764,0.11699071526527405,1.0,0.13662627339363098
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.31119775772094727,0.3200591504573822,0.25444164872169495,0.5934505462646484,0.27220115065574646,-0.003708066651597619,0.20490756630897522,0.4130953550338745
