,why,have,newcastle,and,gateshead,linked,together,under,a,common,banner,?
as,0.3103298544883728,0.37788212299346924,0.21526619791984558,0.49487000703811646,0.21729014813899994,0.18691878020763397,0.18361428380012512,0.29018887877464294,0.39550232887268066,0.2140667736530304,0.26617470383644104,0.27043893933296204
a,0.2667238116264343,0.338716596364975,0.21405641734600067,0.3739250600337982,0.26184314489364624,0.2052881270647049,0.25249844789505005,0.18317826092243195,1.0,0.29638534784317017,0.2639647126197815,0.23916715383529663
tourist,0.17045393586158752,0.14652660489082336,0.17944440245628357,0.19150754809379578,0.3027031123638153,0.21157197654247284,0.05379322171211243,0.06902161240577698,0.25638547539711,0.1673341542482376,0.12978225946426392,0.08379554748535156
promotion,0.24354611337184906,0.19650804996490479,0.22544172406196594,0.19635143876075745,0.19403095543384552,0.11952534317970276,0.06943166255950928,0.19499190151691437,0.22937411069869995,0.03705330938100815,0.2716867923736572,0.2696441113948822
",",0.2827242314815521,0.3541618287563324,0.251589834690094,0.6633074283599854,0.33737507462501526,0.24692510068416595,0.2912277579307556,0.24875585734844208,0.427140474319458,0.2497023195028305,0.2677387297153473,0.31091248989105225
newcastle,0.08743954449892044,0.136333167552948,1.0000001192092896,0.20204751193523407,0.5162909030914307,0.09094946831464767,0.10177765786647797,0.15500688552856445,0.21405641734600067,0.1117413341999054,0.19038288295269012,0.0902252271771431
and,0.27806392312049866,0.4711785912513733,0.20204751193523407,1.0,0.3041302263736725,0.2486010193824768,0.37008100748062134,0.3005301356315613,0.3739250600337982,0.229714497923851,0.21923722326755524,0.20544172823429108
gateshead,0.16595780849456787,0.1380702555179596,0.5162909030914307,0.3041302263736725,1.0,0.210481196641922,0.1916956603527069,0.20367726683616638,0.26184314489364624,0.15632039308547974,0.24800755083560944,0.14773961901664734
have,0.4418443739414215,0.9999999403953552,0.136333167552948,0.4711785912513733,0.1380702555179596,0.3324500322341919,0.29204943776130676,0.2579502761363983,0.338716596364975,0.3370055556297302,0.2075052261352539,0.32991164922714233
linked,0.3250959515571594,0.3324500322341919,0.09094946831464767,0.2486010193824768,0.210481196641922,0.9999998807907104,0.23149925470352173,0.14007790386676788,0.2052881270647049,0.24031376838684082,0.2174018770456314,0.22991526126861572
together,0.22130186855793,0.29204943776130676,0.10177765786647797,0.37008100748062134,0.1916956603527069,0.23149925470352173,1.0000001192092896,0.21400968730449677,0.25249844789505005,0.1708921492099762,0.10456213355064392,0.1690303236246109
under,0.20535078644752502,0.2579502761363983,0.15500688552856445,0.3005301356315613,0.20367726683616638,0.14007790386676788,0.21400968730449677,0.9999999403953552,0.18317826092243195,0.14550185203552246,0.23644155263900757,0.18233340978622437
the,0.30742117762565613,0.40389683842658997,0.2253497689962387,0.5171257257461548,0.29985129833221436,0.2907569110393524,0.26662585139274597,0.3348022699356079,0.5829201340675354,0.2705984115600586,0.3043968677520752,0.22068053483963013
banner,0.3015489876270294,0.2075052261352539,0.19038288295269012,0.21923722326755524,0.24800755083560944,0.2174018770456314,0.10456213355064392,0.23644155263900757,0.2639647126197815,0.09728486090898514,0.9999998807907104,0.2657177448272705
