,what,type,of,festival,is,the,northern,rock,cyclone,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.20982226729393005,0.5823672413825989,1.0,0.3422943353652954,0.23786304891109467,0.2122812718153,0.22068053483963013
northern,0.19332477450370789,0.11375892907381058,0.32586339116096497,0.17614591121673584,0.25616052746772766,0.3422943353652954,0.9999998807907104,0.18911480903625488,0.21751490235328674,0.13149388134479523
rock,0.1923677921295166,0.18739546835422516,0.2653365731239319,0.17133724689483643,0.1981455236673355,0.23786304891109467,0.18911480903625488,1.0,0.13204488158226013,0.13172835111618042
cyclone,0.24778492748737335,0.11403969675302505,0.18940149247646332,0.1418626755475998,0.18244455754756927,0.2122812718153,0.21751490235328674,0.13204488158226013,1.0,0.1818336695432663
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.25094273686408997,0.4691906273365021,0.4933079481124878,0.29473260045051575,0.2775712311267853,0.19071994721889496,0.31091248989105225
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.16281212866306305,0.658733606338501,0.5829201340675354,0.22329643368721008,0.25165656208992004,0.18733224272727966,0.23916715383529663
cycling,0.17575226724147797,0.20782817900180817,0.22023607790470123,0.1991862952709198,0.1759120374917984,0.23055073618888855,0.08474420756101608,0.15800441801548004,0.26382946968078613,0.06800638884305954
festival,0.15385980904102325,0.13659431040287018,0.17007394134998322,0.9999999403953552,0.1853252649307251,0.20982226729393005,0.17614591121673584,0.17133724689483643,0.1418626755475998,0.17767390608787537
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.25094273686408997,0.4691906273365021,0.4933079481124878,0.29473260045051575,0.2775712311267853,0.19071994721889496,0.31091248989105225
takes,0.15264007449150085,0.1299620121717453,0.3277401030063629,0.23679088056087494,0.4061736762523651,0.33578023314476013,0.11842317879199982,0.13547684252262115,0.11324742436408997,0.10935472697019577
place,0.2689766585826874,0.16794997453689575,0.2685627043247223,0.2607501149177551,0.3122972249984741,0.4179787337779999,0.16883331537246704,0.1628861278295517,0.2069895714521408,0.2455766350030899
within,0.2498195916414261,0.16128505766391754,0.39594778418540955,0.11446519196033478,0.30135563015937805,0.39827480912208557,0.28241926431655884,0.19510747492313385,0.17670290172100067,0.1870293766260147
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.25094273686408997,0.4691906273365021,0.4933079481124878,0.29473260045051575,0.2775712311267853,0.19071994721889496,0.31091248989105225
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.14665554463863373,0.41870999336242676,0.4174870550632477,0.243281289935112,0.24017885327339172,0.14841662347316742,0.32389625906944275
starting,0.25271084904670715,0.18237248063087463,0.23960795998573303,0.1626870334148407,0.2560509443283081,0.37272053956985474,0.17833636701107025,0.12165730446577072,0.17372678220272064,0.19133803248405457
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.15214519202709198,0.27355384826660156,0.40150508284568787,0.2595764696598053,0.22637957334518433,0.17645703256130219,0.19969791173934937
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.25094273686408997,0.4691906273365021,0.4933079481124878,0.29473260045051575,0.2775712311267853,0.19071994721889496,0.31091248989105225
newcastle,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.14734795689582825,0.1841045320034027,0.2253497689962387,0.22333604097366333,0.2196812480688095,0.08238619565963745,0.0902252271771431
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.27311140298843384,0.5394441485404968,0.6662389636039734,0.3545122444629669,0.19663549959659576,0.16352514922618866,0.20430970191955566
june,0.2171148657798767,0.08905045688152313,0.19721001386642456,0.1534830629825592,0.2469720095396042,0.24568822979927063,0.1790277361869812,0.09763272851705551,0.1868741512298584,0.31416764855384827
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.16963402926921844,0.4569662809371948,0.5934505462646484,0.2815330922603607,0.24835698306560516,0.23494598269462585,0.4130953550338745
