,when,did,the,cretaceous-paleogene,extinction,happen,?
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.1653779298067093,0.20206734538078308,0.27358970046043396,0.23916715383529663
recent,0.2353774756193161,0.28459128737449646,0.31046223640441895,0.3212326467037201,0.3606419861316681,0.28836119174957275,0.2544887959957123
molecular,0.16877202689647675,0.135690376162529,0.23136529326438904,0.38560959696769714,0.3099355697631836,0.17298653721809387,0.1327144205570221
phylogenetics,0.1514989137649536,0.1373399794101715,0.1787722408771515,0.5003719329833984,0.3894721269607544,0.15137633681297302,0.2129790335893631
analysis,0.18769270181655884,0.16624894738197327,0.24241644144058228,0.29839977622032166,0.25614216923713684,0.20742739737033844,0.15352053940296173
concluded,0.22413310408592224,0.34469136595726013,0.3024786412715912,0.3400915861129761,0.358926922082901,0.2761870324611664,0.13595789670944214
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.2784763276576996,0.3000577688217163,0.45222777128219604,0.32716336846351624
the,0.5091903209686279,0.34736719727516174,1.0,0.2807234227657318,0.26832786202430725,0.2880464494228363,0.22068053483963013
common,0.20520533621311188,0.12848728895187378,0.2705984115600586,0.25561776757240295,0.28959721326828003,0.308511883020401,0.20434872806072235
ancestor,0.16583535075187683,0.20293964445590973,0.2142530232667923,0.37235963344573975,0.3347095549106598,0.06701364368200302,0.14805565774440765
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.26565641164779663,0.2606869041919708,0.23650258779525757,0.1826142966747284
all,0.35107192397117615,0.33943864703178406,0.4860881567001343,0.23820607364177704,0.23297443985939026,0.29634127020835876,0.29575422406196594
modern,0.19283193349838257,0.21376098692417145,0.3283970355987549,0.3215303421020508,0.23904134333133698,0.17433834075927734,0.12475407868623734
ctenophores,0.20173141360282898,0.1785532683134079,0.2543465793132782,0.5037752985954285,0.4061846137046814,0.25010231137275696,0.2054179310798645
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.19837160408496857,0.17516474425792694,0.1582590490579605,0.18412111699581146
cydippid-like,0.3381651043891907,0.29840323328971863,0.35584965348243713,0.47702670097351074,0.3471772372722626,0.335034042596817,0.26385825872421265
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.25791361927986145,0.21871958673000336,0.25441640615463257,0.31091248989105225
