,what,is,the,most,important,thing,apicoplasts,do,?
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.39348116517066956,0.33238789439201355,0.29163286089897156,0.30239659547805786,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,1.0,0.5079463124275208,0.3331829309463501,0.33042192459106445,0.31522849202156067,0.2107497900724411
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.5079463124275208,1.0000001192092896,0.28401902318000793,0.2477792352437973,0.3145715296268463,0.17812499403953552
apicoplast,0.2268436849117279,0.2824747860431671,0.2784126400947571,0.3197222650051117,0.2321336567401886,0.3065451383590698,0.9438585042953491,0.29760903120040894,0.20943984389305115
function,0.22155974805355072,0.17586156725883484,0.2037137746810913,0.14281412959098816,0.2274073213338852,0.2888748347759247,0.3623661696910858,0.25038179755210876,0.20672395825386047
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.350485235452652,0.34371277689933777,0.29846394062042236,0.30895981192588806,0.22961433231830597
isopentenyl,0.3112272620201111,0.2814820408821106,0.23945793509483337,0.21213331818580627,0.2029653787612915,0.40353262424468994,0.4393073618412018,0.36526304483413696,0.3912103772163391
pyrophosphate,0.19770300388336182,0.2878834307193756,0.2549840211868286,0.2523200511932373,0.27897900342941284,0.2296445667743683,0.5581603050231934,0.2997159957885742,0.13726739585399628
synthesis—in,0.21179625391960144,0.18054167926311493,0.19750863313674927,0.1729549616575241,0.25621744990348816,0.2431448996067047,0.42294546961784363,0.1696045845746994,0.18074902892112732
fact,0.4454877972602844,0.3122292160987854,0.32878658175468445,0.3358255624771118,0.2644951343536377,0.45289090275764465,0.2606147825717926,0.33229097723960876,0.2798655927181244
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.28342097997665405,0.2824283540248871,0.3283645510673523,0.31091248989105225
apicomplexans,0.301292359828949,0.2888018786907196,0.36324241757392883,0.3936319351196289,0.33705881237983704,0.31732702255249023,0.6902886629104614,0.34538936614990234,0.23464730381965637
die,0.1980936974287033,0.15447266399860382,0.2242266982793808,0.2052295207977295,0.1469055563211441,0.22084829211235046,0.17307570576667786,0.24153156578540802,0.16891060769557953
when,0.4700249433517456,0.3471449911594391,0.5091903209686279,0.299309104681015,0.24781537055969238,0.3433261513710022,0.2474125325679779,0.28572237491607666,0.22841128706932068
something,0.6258514523506165,0.3330649733543396,0.32640767097473145,0.25615638494491577,0.20485463738441467,0.7116642594337463,0.2888043224811554,0.4002179801464081,0.4761815667152405
interferes,0.3107982277870178,0.17346437275409698,0.2804441452026367,0.15706861019134521,0.2162255197763443,0.34343674778938293,0.34592849016189575,0.3489161431789398,0.15902628004550934
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.336320698261261,0.2211170494556427,0.23932668566703796,0.2614448666572571,0.23744353652000427,0.2433311939239502
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.43080902099609375,0.4004398584365845,0.49330300092697144,0.34948083758354187,0.34963881969451904,0.3155723512172699
apicoplast,0.2268436849117279,0.2824747860431671,0.2784126400947571,0.3197222650051117,0.2321336567401886,0.3065451383590698,0.9438585042953491,0.29760903120040894,0.20943984389305115
function,0.22155974805355072,0.17586156725883484,0.2037137746810913,0.14281412959098816,0.2274073213338852,0.2888748347759247,0.3623661696910858,0.25038179755210876,0.20672395825386047
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.28342097997665405,0.2824283540248871,0.3283645510673523,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4309377074241638,0.37549954652786255,0.25096410512924194,0.2743526101112366,0.276123583316803,0.20544172823429108
when,0.4700249433517456,0.3471449911594391,0.5091903209686279,0.299309104681015,0.24781537055969238,0.3433261513710022,0.2474125325679779,0.28572237491607666,0.22841128706932068
apicomplexans,0.301292359828949,0.2888018786907196,0.36324241757392883,0.3936319351196289,0.33705881237983704,0.31732702255249023,0.6902886629104614,0.34538936614990234,0.23464730381965637
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.48698675632476807,0.33294984698295593,0.29364338517189026,0.4043741226196289,0.41111594438552856,0.24591213464736938
grown,0.1829942911863327,0.23424078524112701,0.27443811297416687,0.2589341998100281,0.26926448941230774,0.1973620504140854,0.30714187026023865,0.19340291619300842,0.10581663250923157
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.3796374499797821,0.259513795375824,0.2881997227668762,0.23402775824069977,0.20430970191955566
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.2748267352581024,0.2662794589996338,0.2502146363258362,0.20691648125648499,0.25865980982780457,0.19793890416622162
isopentenyl,0.3112272620201111,0.2814820408821106,0.23945793509483337,0.21213331818580627,0.2029653787612915,0.40353262424468994,0.4393073618412018,0.36526304483413696,0.3912103772163391
pyrophosphate-rich,0.2121570110321045,0.30300214886665344,0.2830939292907715,0.27513518929481506,0.2941548824310303,0.2555675804615021,0.5660715103149414,0.295092910528183,0.16758635640144348
medium,0.09298098087310791,0.2135585993528366,0.21611663699150085,0.2063925564289093,0.14961861073970795,0.2292547971010208,0.26005345582962036,0.13407813012599945,0.09342553466558456
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.28342097997665405,0.2824283540248871,0.3283645510673523,0.31091248989105225
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.4356461465358734,0.27455639839172363,0.3463476896286011,0.39415502548217773,0.4667694866657257,0.2753053903579712
dump,0.26488637924194336,0.16330845654010773,0.1539601981639862,0.18737147748470306,0.12452775239944458,0.24902315437793732,0.2164519876241684,0.2042323648929596,0.27160125970840454
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.39348116517066956,0.33238789439201355,0.29163286089897156,0.30239659547805786,0.22068053483963013
organelle,0.22775481641292572,0.21754199266433716,0.2564507722854614,0.23236216604709625,0.3131331205368042,0.3015180826187134,0.6652011275291443,0.2726764678955078,0.18244005739688873
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.33938494324684143,0.2933715879917145,0.28695741295814514,0.3613996207714081,0.4130953550338745
