,what,did,the,polish,citizens,understand,the,subtext,of,john,paul,ii,'s,words,to,be,?
these,0.4164220690727234,0.38755595684051514,0.49086877703666687,0.11973774433135986,0.23696815967559814,0.39776304364204407,0.49086877703666687,0.22047977149486542,0.42684608697891235,0.13475783169269562,0.15063348412513733,0.21986067295074463,0.026068098843097687,0.28040599822998047,0.46852558851242065,0.4507283866405487,0.2571668326854706
words,0.3355468809604645,0.23527735471725464,0.29205581545829773,0.1259317249059677,0.1830066442489624,0.4397478997707367,0.29205581545829773,0.2822752892971039,0.26259833574295044,0.1802576333284378,0.09875480830669403,0.1454935371875763,0.08948911726474762,1.0000001192092896,0.31468597054481506,0.3365652561187744,0.27074310183525085
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.19402660429477692,0.31552278995513916,0.21391335129737854,0.3906462490558624,0.12181486934423447,0.34038281440734863,0.19632886350154877,0.17724290490150452,0.20646095275878906,0.007088581565767527,0.16776612401008606,0.31913647055625916,0.4064064621925354,0.17890112102031708
very,0.37053924798965454,0.3388260006904602,0.34171217679977417,0.10281688719987869,0.19778308272361755,0.4154501259326935,0.34171217679977417,0.1465129256248474,0.34437474608421326,0.11778495460748672,0.05239228904247284,0.19656820595264435,0.024833835661411285,0.34374725818634033,0.3902553617954254,0.4292002320289612,0.20864155888557434
meaningful,0.35891109704971313,0.2322765588760376,0.2777997851371765,0.08796397596597672,0.17662037909030914,0.46489161252975464,0.2777997851371765,0.38735249638557434,0.25333061814308167,0.09971805661916733,0.10493265837430954,0.06444897502660751,0.045408304780721664,0.47803962230682373,0.37588801980018616,0.42918771505355835,0.35437899827957153
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.1262354850769043,0.3080717921257019,0.3341889977455139,0.4739971458911896,0.1904667615890503,0.4185989499092102,0.22649751603603363,0.18398262560367584,0.11304846405982971,-0.07241261005401611,0.2911047637462616,0.4451248347759247,0.3801851272583008,0.264628142118454
the,0.42745697498321533,0.34736719727516174,1.0,0.17708231508731842,0.29208630323410034,0.2701992988586426,1.0,0.17199064791202545,0.733189046382904,0.2230520099401474,0.19191958010196686,0.2631464898586273,-0.01540423184633255,0.29205581545829773,0.535392165184021,0.4248143136501312,0.22068053483963013
polish,0.08233486860990524,0.20273157954216003,0.17708231508731842,1.0,0.16093266010284424,0.13145700097084045,0.17708231508731842,0.07216391712427139,0.16866981983184814,0.2144172638654709,0.15870557725429535,0.16365070641040802,0.047667719423770905,0.1259317249059677,0.1475636065006256,0.15139059722423553,0.14012759923934937
citizens,0.1905079185962677,0.24627739191055298,0.29208630323410034,0.16093266010284424,1.0,0.17444473505020142,0.29208630323410034,0.2060922533273697,0.24269554018974304,0.1137603372335434,0.1365237981081009,0.1860821694135666,0.050259269773960114,0.1830066442489624,0.2594742178916931,0.1949996054172516,0.14885954558849335
who,0.40942975878715515,0.34038686752319336,0.3733934462070465,0.24491210281848907,0.3253309428691864,0.33860915899276733,0.3733934462070465,0.10850605368614197,0.2827862501144409,0.30388808250427246,0.2292756587266922,0.20800143480300903,0.05599616840481758,0.2703982889652252,0.42656609416007996,0.3371641933917999,0.26220351457595825
understood,0.4601399898529053,0.3507465422153473,0.34565386176109314,0.1202986091375351,0.13937096297740936,0.7180320620536804,0.34565386176109314,0.21533529460430145,0.2838643789291382,0.08441679179668427,0.09638755768537521,0.10198067128658295,0.0006524798227474093,0.4138208329677582,0.30868464708328247,0.39132335782051086,0.27308014035224915
them,0.4994642734527588,0.44189682602882385,0.4788833558559418,0.1507038027048111,0.29581132531166077,0.43245646357536316,0.4788833558559418,0.22900639474391937,0.34503093361854553,0.1719493716955185,0.1527898758649826,0.17573527991771698,0.025712676346302032,0.33367490768432617,0.5916602611541748,0.4282684326171875,0.35435691475868225
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.13429972529411316,0.15994618833065033,0.2733139395713806,0.48381632566452026,0.1693066507577896,0.3886612355709076,0.1664888858795166,0.18547500669956207,0.19201211631298065,-0.05775856226682663,0.2402321696281433,0.42092081904411316,0.5230465531349182,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,1.0,0.17708231508731842,0.29208630323410034,0.2701992988586426,1.0,0.17199064791202545,0.733189046382904,0.2230520099401474,0.19191958010196686,0.2631464898586273,-0.01540423184633255,0.29205581545829773,0.535392165184021,0.4248143136501312,0.22068053483963013
incentive,0.36123543977737427,0.29806801676750183,0.22445659339427948,0.1167163997888565,0.19954147934913635,0.3756338655948639,0.22445659339427948,0.28225764632225037,0.2664257884025574,0.20243358612060547,0.21589334309101105,0.10266098380088806,0.02374529466032982,0.1781858205795288,0.37372854351997375,0.31678709387779236,0.3131044805049896
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.1262354850769043,0.3080717921257019,0.3341889977455139,0.4739971458911896,0.1904667615890503,0.4185989499092102,0.22649751603603363,0.18398262560367584,0.11304846405982971,-0.07241261005401611,0.2911047637462616,0.4451248347759247,0.3801851272583008,0.264628142118454
the,0.42745697498321533,0.34736719727516174,1.0,0.17708231508731842,0.29208630323410034,0.2701992988586426,1.0,0.17199064791202545,0.733189046382904,0.2230520099401474,0.19191958010196686,0.2631464898586273,-0.01540423184633255,0.29205581545829773,0.535392165184021,0.4248143136501312,0.22068053483963013
democratic,0.1858556717634201,0.14864127337932587,0.21570740640163422,0.1742783486843109,0.2985602915287018,0.17152652144432068,0.21570740640163422,0.10868924111127853,0.2273487150669098,0.1655254364013672,0.13849873840808868,0.1676933765411377,0.030957825481891632,0.07081954926252365,0.20661352574825287,0.14320175349712372,0.1668088138103485
