,when,did,the,dfds,ferry,service,to,sweden,case,operation,?
the,0.5091903209686279,0.34736719727516174,1.0,0.34959444403648376,0.20100507140159607,0.22661015391349792,0.535392165184021,0.20170342922210693,0.31022098660469055,0.2985492944717407,0.22068053483963013
dfds,0.32049065828323364,0.26871174573898315,0.34959444403648376,0.9999999403953552,0.21836510300636292,0.2548087239265442,0.3211943805217743,0.24154555797576904,0.2775656282901764,0.19893306493759155,0.36004528403282166
ferry,0.1616441160440445,0.10035678744316101,0.20100507140159607,0.21836510300636292,1.0,0.28140947222709656,0.20805752277374268,0.1307220160961151,0.0941518023610115,0.25430750846862793,0.11376336216926575
service,0.23540960252285004,0.14130860567092896,0.22661015391349792,0.2548087239265442,0.28140947222709656,0.9999998807907104,0.24411341547966003,0.141917884349823,0.17922072112560272,0.2799771726131439,0.1676298975944519
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.3211943805217743,0.20805752277374268,0.24411341547966003,1.0,0.15696309506893158,0.3172709345817566,0.2483084350824356,0.29463258385658264
gothenburg,0.17663000524044037,0.14423108100891113,0.2399870902299881,0.29445141553878784,0.15196076035499573,0.11406350880861282,0.13430055975914001,0.6324031949043274,0.045741837471723557,0.18059906363487244,0.13408420979976654
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.40807899832725525,0.26097768545150757,0.2389259785413742,0.44245919585227966,0.23803623020648956,0.2977246046066284,0.24555085599422455,0.31091248989105225
sweden,0.15684205293655396,0.14059685170650482,0.20170342922210693,0.24154555797576904,0.1307220160961151,0.141917884349823,0.15696309506893158,1.0,0.13614749908447266,0.15395326912403107,0.1268482208251953
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.40807899832725525,0.26097768545150757,0.2389259785413742,0.44245919585227966,0.23803623020648956,0.2977246046066284,0.24555085599422455,0.31091248989105225
ceased,0.2627754211425781,0.2881433069705963,0.30325502157211304,0.26045462489128113,0.14077232778072357,0.2680760622024536,0.23600272834300995,0.11456075310707092,0.1658911257982254,0.21724818646907806,0.17789196968078613
at,0.38876327872276306,0.28390252590179443,0.457212895154953,0.26351240277290344,0.17842210829257965,0.2093784511089325,0.36524343490600586,0.16977877914905548,0.20646144449710846,0.16873885691165924,0.21978627145290375
the,0.5091903209686279,0.34736719727516174,1.0,0.34959444403648376,0.20100507140159607,0.22661015391349792,0.535392165184021,0.20170342922210693,0.31022098660469055,0.2985492944717407,0.22068053483963013
end,0.3228412866592407,0.18808481097221375,0.39658910036087036,0.23333491384983063,0.1768985390663147,0.1687590777873993,0.3229445815086365,0.14824189245700836,0.16626563668251038,0.19520677626132965,0.12543344497680664
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.24451112747192383,0.1843179613351822,0.18425606191158295,0.41548454761505127,0.2248712182044983,0.24743439257144928,0.259731262922287,0.1826142966747284
october,0.273419588804245,0.2746104896068573,0.2621108889579773,0.31508857011795044,0.21802237629890442,0.17860540747642517,0.23106063902378082,0.2504819929599762,0.18802788853645325,0.23265673220157623,0.29706719517707825
2006,0.023816242814064026,-0.07636451721191406,0.11294147372245789,-0.011633471585810184,0.0048296768218278885,-0.002247902099043131,0.012056082487106323,-0.033594463020563126,0.055873796343803406,0.06262101978063583,-0.1194092258810997
–,0.20347917079925537,0.2259434312582016,0.2607575058937073,0.27516117691993713,0.14335857331752777,0.17195828258991241,0.19410304725170135,0.23894618451595306,0.13667485117912292,0.16968944668769836,0.2714554965496063
the,0.5091903209686279,0.34736719727516174,1.0,0.34959444403648376,0.20100507140159607,0.22661015391349792,0.535392165184021,0.20170342922210693,0.31022098660469055,0.2985492944717407,0.22068053483963013
company,0.2219121903181076,0.16800642013549805,0.26591673493385315,0.27388209104537964,0.23102840781211853,0.265422523021698,0.24903783202171326,0.1214461550116539,0.14628387987613678,0.24634511768817902,0.12195809185504913
cited,0.17186102271080017,0.2331319898366928,0.2582094371318817,0.2445409893989563,0.10969219356775284,0.1758093237876892,0.17193306982517242,0.06403723359107971,0.3578944504261017,0.13574254512786865,0.32995760440826416
high,0.20577524602413177,0.15957149863243103,0.28034812211990356,0.2554221749305725,0.14396266639232635,0.1804855465888977,0.28947713971138,0.10843127220869064,0.12724843621253967,0.0816759318113327,0.11137914657592773
fuel,0.19850334525108337,0.15623702108860016,0.18534968793392181,0.29478681087493896,0.26697203516960144,0.21439749002456665,0.20716820657253265,0.11053995788097382,0.16728509962558746,0.2588947117328644,0.10583324730396271
prices,0.23320770263671875,0.22555270791053772,0.24549299478530884,0.33511972427368164,0.21431642770767212,0.23001432418823242,0.3313114047050476,0.14479655027389526,0.22101253271102905,0.21411767601966858,0.14604969322681427
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.3905474543571472,0.2424136996269226,0.24532052874565125,0.48971283435821533,0.22991979122161865,0.2394348531961441,0.23037932813167572,0.20544172823429108
new,0.257220059633255,0.227974995970726,0.3845241069793701,0.22484222054481506,0.1739404946565628,0.21442657709121704,0.33159172534942627,0.2031765729188919,0.16221091151237488,0.15864011645317078,0.14782847464084625
competition,0.23896628618240356,0.1774688959121704,0.257230669260025,0.28054559230804443,0.1663467288017273,0.20703960955142975,0.20617300271987915,0.2631567418575287,0.17416180670261383,0.17605966329574585,0.1394461691379547
