,who,voted,against,jacksonville,'s,annexation,?
in,0.2792111933231354,0.22158056497573853,0.27273955941200256,0.22147351503372192,-0.037580832839012146,0.30498290061950684,0.20430970191955566
1958,0.0067874835804104805,-0.13049307465553284,0.059870798140764236,-0.024730142205953598,-0.004081218969076872,-0.07782918959856033,0.009362862445414066
",",0.3365725874900818,0.2582967281341553,0.31168749928474426,0.2837527096271515,-0.0016132977325469255,0.2468155026435852,0.31091248989105225
a,0.36608949303627014,0.24479347467422485,0.2227657586336136,0.28008249402046204,0.04866964742541313,0.17992661893367767,0.23916715383529663
study,0.21352694928646088,0.07249338179826736,0.18629640340805054,0.17212660610675812,0.03247833624482155,0.2809218466281891,0.15902167558670044
recommended,0.19067494571208954,0.23335225880146027,0.2272792011499405,0.17475983500480652,-0.08491324633359909,0.16883789002895355,0.22072286903858185
that,0.45444270968437195,0.2901621162891388,0.3318655490875244,0.20063675940036774,0.04397977516055107,0.2252398431301117,0.32716336846351624
the,0.3733934462070465,0.3015371859073639,0.3090755045413971,0.2176690250635147,-0.01540423184633255,0.3389773964881897,0.22068053483963013
city,0.21073515713214874,0.19064049422740936,0.19769135117530823,0.3285287022590637,0.004406440537422895,0.30413058400154114,0.13423943519592285
of,0.2827862501144409,0.25903964042663574,0.2669808566570282,0.23084138333797455,-0.03817026689648628,0.32976892590522766,0.1826142966747284
jacksonville,0.18528231978416443,0.2549736797809601,0.1444958597421646,1.0000001192092896,0.02280956320464611,0.11339680105447769,0.1359667330980301
begin,0.1731032282114029,0.1307571679353714,0.21601925790309906,0.12514092028141022,-0.07216574251651764,0.28619444370269775,0.16177093982696533
annexing,0.16628189384937286,0.2315763384103775,0.2347772717475891,0.23667369782924652,-0.03894120454788208,0.7495360970497131,0.18826758861541748
outlying,0.1471380591392517,0.22694914042949677,0.16568028926849365,0.2805668115615845,0.042594850063323975,0.38338664174079895,0.16165508329868317
communities,0.24003593623638153,0.1696375161409378,0.1665266454219818,0.20852285623550415,0.05139850080013275,0.3307007849216461,0.20171424746513367
in,0.2792111933231354,0.22158056497573853,0.27273955941200256,0.22147351503372192,-0.037580832839012146,0.30498290061950684,0.20430970191955566
order,0.226639986038208,0.09600114077329636,0.13080573081970215,0.06652946025133133,-0.07080218195915222,0.1914374828338623,0.13725648820400238
to,0.42656609416007996,0.22957871854305267,0.310872346162796,0.1994343250989914,0.03782717138528824,0.28951603174209595,0.29463258385658264
create,0.2690012454986572,0.22342203557491302,0.19448022544384003,0.14345207810401917,0.04883107915520668,0.24084630608558655,0.300167441368103
the,0.3733934462070465,0.3015371859073639,0.3090755045413971,0.2176690250635147,-0.01540423184633255,0.3389773964881897,0.22068053483963013
needed,0.22536601126194,0.19937430322170258,0.1280883252620697,0.2347632199525833,0.00025875959545373917,0.16720092296600342,0.2863257825374603
tax,0.22398461401462555,0.3137013912200928,0.25408899784088135,0.18079054355621338,0.0735364556312561,0.286761075258255,0.2097984105348587
base,0.11852284520864487,0.0875091701745987,0.1720598042011261,0.15972833335399628,-0.09340319037437439,0.18048852682113647,0.10518061369657516
to,0.42656609416007996,0.22957871854305267,0.310872346162796,0.1994343250989914,0.03782717138528824,0.28951603174209595,0.29463258385658264
improve,0.20336119830608368,0.13367938995361328,0.20100165903568268,0.13959470391273499,0.07698576152324677,0.2213844656944275,0.29229894280433655
services,0.24612601101398468,0.12810461223125458,0.12863855063915253,0.2419319599866867,0.0342075377702713,0.15115031599998474,0.1328447163105011
throughout,0.22343657910823822,0.10960838198661804,0.25181958079338074,0.16683638095855713,0.002080083591863513,0.21110907196998596,0.12665234506130219
the,0.3733934462070465,0.3015371859073639,0.3090755045413971,0.2176690250635147,-0.01540423184633255,0.3389773964881897,0.22068053483963013
county,0.1724010556936264,0.16070982813835144,0.10640082508325577,0.38414254784584045,-0.018623292446136475,0.23645958304405212,0.07680056244134903
.,0.3541337847709656,0.2740060091018677,0.28705209493637085,0.2843366861343384,-0.003708066651597619,0.21143019199371338,0.4130953550338745
