,what,do,ctenophores,have,that,no,other,animals,have,?
ctenophores,0.2505159080028534,0.33553314208984375,1.0,0.3612369894981384,0.3005664348602295,0.1589290350675583,0.2790910303592682,0.523098886013031,0.3612369894981384,0.2054179310798645
are,0.29724663496017456,0.41111594438552856,0.35426098108291626,0.6577680706977844,0.45265161991119385,0.2432553917169571,0.5932393670082092,0.37765127420425415,0.6577680706977844,0.24591213464736938
distinguished,0.1610289216041565,0.14309675991535187,0.3094203472137451,0.21192853152751923,0.20727650821208954,0.06589848548173904,0.2513243854045868,0.20171789824962616,0.21192853152751923,0.08062640577554703
from,0.2737620174884796,0.20424067974090576,0.16507504880428314,0.30702701210975647,0.3477667272090912,0.19692718982696533,0.30141791701316833,0.22686421871185303,0.30702701210975647,0.19969791173934937
all,0.41981086134910583,0.38664430379867554,0.2644745111465454,0.5559456944465637,0.53305584192276,0.389975368976593,0.5273400545120239,0.32794398069381714,0.5559456944465637,0.29575422406196594
other,0.341873437166214,0.34946969151496887,0.2790910303592682,0.559082567691803,0.5570666193962097,0.2820347249507904,0.9999999403953552,0.33722957968711853,0.559082567691803,0.24682199954986572
animals,0.26212990283966064,0.28798356652259827,0.523098886013031,0.3811146914958954,0.3000275194644928,0.2341795563697815,0.33722957968711853,1.0000001192092896,0.3811146914958954,0.16430135071277618
by,0.2455483376979828,0.1481526494026184,0.13966427743434906,0.3359639644622803,0.37496164441108704,0.15267254412174225,0.3321913778781891,0.23609067499637604,0.3359639644622803,0.17966607213020325
having,0.34064167737960815,0.3518594801425934,0.19931119680404663,0.5942753553390503,0.4370327591896057,0.302511990070343,0.37414079904556274,0.28487810492515564,0.5942753553390503,0.22418256103992462
colloblasts,0.25280773639678955,0.31813913583755493,0.4843142628669739,0.28123342990875244,0.22335852682590485,0.20764291286468506,0.3359863758087158,0.27136504650115967,0.28123342990875244,0.20071622729301453
",",0.3087472915649414,0.3283645510673523,0.19362998008728027,0.3541618287563324,0.4137537479400635,0.29972612857818604,0.4446498453617096,0.23067066073417664,0.3541618287563324,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.37328192591667175,0.49652695655822754,0.6894589066505432,0.32479003071784973,0.50507652759552,0.34123191237449646,0.49652695655822754,0.25814583897590637
are,0.29724663496017456,0.41111594438552856,0.35426098108291626,0.6577680706977844,0.45265161991119385,0.2432553917169571,0.5932393670082092,0.37765127420425415,0.6577680706977844,0.24591213464736938
sticky,0.22879846394062042,0.24553735554218292,0.38708338141441345,0.3092755377292633,0.2779316008090973,0.21856099367141724,0.2766159176826477,0.2700824439525604,0.3092755377292633,0.17398136854171753
and,0.31309178471565247,0.276123583316803,0.20973104238510132,0.4711785912513733,0.4731321930885315,0.25880882143974304,0.5504306554794312,0.3589221239089966,0.4711785912513733,0.20544172823429108
adhere,0.31481921672821045,0.379083514213562,0.3583134114742279,0.3767498731613159,0.37901806831359863,0.2423946112394333,0.3292354643344879,0.21199627220630646,0.3767498731613159,0.3102562129497528
to,0.455847829580307,0.38876664638519287,0.2038351595401764,0.4544740617275238,0.5436353087425232,0.30015695095062256,0.4193183183670044,0.28293174505233765,0.4544740617275238,0.29463258385658264
prey,0.21349354088306427,0.1948252022266388,0.498872309923172,0.2883533239364624,0.2647857367992401,0.14348828792572021,0.2398376613855362,0.4992755949497223,0.2883533239364624,0.15793472528457642
",",0.3087472915649414,0.3283645510673523,0.19362998008728027,0.3541618287563324,0.4137537479400635,0.29972612857818604,0.4446498453617096,0.23067066073417664,0.3541618287563324,0.31091248989105225
although,0.24844598770141602,0.23230431973934174,0.2347905933856964,0.4518011808395386,0.4722958207130432,0.19935306906700134,0.3534984588623047,0.20733840763568878,0.4518011808395386,0.15541206300258636
a,0.3320399522781372,0.26237669587135315,0.25153061747550964,0.338716596364975,0.47537946701049805,0.26280897855758667,0.2806335389614105,0.2420264482498169,0.338716596364975,0.23916715383529663
few,0.2780759632587433,0.3024646043777466,0.21493549644947052,0.4513930082321167,0.3973994851112366,0.29037976264953613,0.4267403483390808,0.26493918895721436,0.4513930082321167,0.2334265559911728
ctenophore,0.2381439507007599,0.31213733553886414,0.9598069787025452,0.33760952949523926,0.28476929664611816,0.1586846560239792,0.24600708484649658,0.4917602837085724,0.33760952949523926,0.2190871685743332
species,0.14617158472537994,0.20613440871238708,0.5645010471343994,0.3239450752735138,0.22146284580230713,0.17091532051563263,0.22766293585300446,0.504766583442688,0.3239450752735138,0.1957087516784668
lack,0.28247135877609253,0.3394893705844879,0.3429378569126129,0.4883601665496826,0.3709861636161804,0.3959939479827881,0.3231990933418274,0.2510649263858795,0.4883601665496826,0.16953514516353607
them,0.4994642734527588,0.4653012752532959,0.2769405245780945,0.5357621312141418,0.5601773262023926,0.3022957444190979,0.5832898020744324,0.43141818046569824,0.5357621312141418,0.35435691475868225
.,0.3567904531955719,0.3613996207714081,0.22269779443740845,0.41614407300949097,0.4460422694683075,0.35224834084510803,0.41511186957359314,0.27480828762054443,0.41614407300949097,0.4130953550338745
