,what,was,telenet
telenet,0.22190605103969574,0.2415010780096054,1.0000001192092896
was,0.22111038863658905,1.0000001192092896,0.2415010780096054
the,0.42745697498321533,0.48711544275283813,0.2589980959892273
first,0.28086137771606445,0.5022147297859192,0.2591426372528076
fcc-licensed,0.23450523614883423,0.23999589681625366,0.22114552557468414
public,0.1729622185230255,0.2513592839241028,0.20844560861587524
data,0.23453554511070251,0.10802177339792252,0.20675818622112274
network,0.16917307674884796,0.1994880586862564,0.41323670744895935
in,0.30808621644973755,0.45514053106307983,0.24462692439556122
the,0.42745697498321533,0.48711544275283813,0.2589980959892273
united,0.20036718249320984,0.31727492809295654,0.163503959774971
states,0.21526020765304565,0.2847922146320343,0.18233941495418549
.,0.3567904531955719,0.40146201848983765,0.2453659474849701
