,how,many,men,were,in,robert,'s,army,?
after,0.23871733248233795,0.2586410939693451,0.20609402656555176,0.36224013566970825,0.44050168991088867,0.1850993037223816,-0.055672239512205124,0.2654078006744385,0.16608688235282898
allying,0.3440399467945099,0.3321041166782379,0.30734744668006897,0.31995779275894165,0.27261850237846375,0.22528649866580963,0.01233720500022173,0.374530166387558,0.31252339482307434
himself,0.21182166039943695,0.22192515432834625,0.23383277654647827,0.18156754970550537,0.1521509736776352,0.18645398318767548,-0.025549961254000664,0.25028544664382935,0.10407622903585434
with,0.3525622487068176,0.35744401812553406,0.19568398594856262,0.3179011940956116,0.4080928862094879,0.19348889589309692,-0.04624466598033905,0.14974439144134521,0.2433311939239502
croatia,0.11337804049253464,0.1717604249715805,0.1414640098810196,0.18313485383987427,0.19649738073349,0.12334917485713959,0.03715259209275246,0.1583479642868042,0.17525659501552582
and,0.33647966384887695,0.5296266674995422,0.30918097496032715,0.42175528407096863,0.4954058527946472,0.21826715767383575,0.06895173341035843,0.25581875443458557,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.26001617312431335,0.3906462490558624,0.6662389636039734,0.2257954627275467,-0.01540423184633255,0.31011611223220825,0.22068053483963013
catholic,0.11491761356592178,0.18935972452163696,0.11211340874433517,0.2294636070728302,0.26313918828964233,0.16078995168209076,0.06979791074991226,0.22488749027252197,0.16609853506088257
cities,0.10434838384389877,0.2867770195007324,0.1839347928762436,0.2273229956626892,0.32293570041656494,0.1260288655757904,0.006531212944537401,0.15323852002620697,0.13339310884475708
of,0.2480744868516922,0.37253960967063904,0.2133621722459793,0.34038281440734863,0.5696388483047485,0.2398476004600525,-0.03817026689648628,0.2669098675251007,0.1826142966747284
dalmatia,0.09216234087944031,0.1673150211572647,0.0903342142701149,0.22791463136672974,0.17333924770355225,0.14751273393630981,0.0005098010296933353,0.17710928618907928,0.08689041435718536
",",0.22659391164779663,0.40610817074775696,0.2249656766653061,0.36755475401878357,0.5201468467712402,0.22878289222717285,-0.0016132977325469255,0.230897456407547,0.31091248989105225
in,0.2601168751716614,0.41474202275276184,0.27064284682273865,0.3815755248069763,1.0,0.22155319154262543,-0.037580832839012146,0.25258398056030273,0.20430970191955566
1081,0.019260628148913383,0.01994580402970314,0.00763494148850441,0.056403353810310364,-0.06390386074781418,0.08437243849039078,0.003499832469969988,0.047279518097639084,0.18420445919036865
he,0.2594625651836395,0.3483840227127075,0.2851708233356476,0.31267037987709045,0.41690486669540405,0.2237810343503952,0.024063590914011,0.31650620698928833,0.2089974731206894
led,0.15437260270118713,0.2798413932323456,0.32342037558555603,0.3353847861289978,0.2990247309207916,0.2032613605260849,-0.01628696173429489,0.3755970299243927,0.09273858368396759
an,0.2520636022090912,0.2465583086013794,0.12608888745307922,0.08893381804227829,0.2605783939361572,0.162705197930336,0.025255560874938965,0.10463648289442062,0.19793890416622162
