,who,decides,who,gets,to,speak,in,the,chamber,debates,?
the,0.3733934462070465,0.32573065161705017,0.3733934462070465,0.29983434081077576,0.535392165184021,0.2565973103046417,0.6662389636039734,1.0,0.2594704031944275,0.2661968469619751,0.22068053483963013
presiding,0.24317249655723572,0.2644043266773224,0.24317249655723572,0.12537918984889984,0.2064446657896042,0.22968415915966034,0.21499644219875336,0.3267684876918793,0.15809614956378937,0.3781055808067322,0.177648663520813
officer,0.31437572836875916,0.2632531225681305,0.31437572836875916,0.1621052771806717,0.2198503315448761,0.18748311698436737,0.24015754461288452,0.25777485966682434,0.1796741485595703,0.1369011253118515,0.119948610663414
(,0.2443375140428543,0.13981026411056519,0.2443375140428543,0.21832524240016937,0.30882009863853455,0.16050629317760468,0.3087427020072937,0.33289089798927307,0.1544434130191803,0.11282246559858322,0.40561532974243164
or,0.31144875288009644,0.23257599771022797,0.31144875288009644,0.33454036712646484,0.38921234011650085,0.21351951360702515,0.3586423695087433,0.4174870550632477,0.16341674327850342,0.1841897815465927,0.32389625906944275
deputy,0.24006639420986176,0.23175349831581116,0.24006639420986176,0.12391098588705063,0.1834849715232849,0.24297094345092773,0.21997958421707153,0.2075105756521225,0.18472221493721008,0.1781492382287979,0.08738585561513901
presiding,0.24317249655723572,0.2644043266773224,0.24317249655723572,0.12537918984889984,0.2064446657896042,0.22968415915966034,0.21499644219875336,0.3267684876918793,0.15809614956378937,0.3781055808067322,0.177648663520813
officer,0.31437572836875916,0.2632531225681305,0.31437572836875916,0.1621052771806717,0.2198503315448761,0.18748311698436737,0.24015754461288452,0.25777485966682434,0.1796741485595703,0.1369011253118515,0.119948610663414
),0.2457384318113327,0.12859609723091125,0.2457384318113327,0.20494695007801056,0.31236231327056885,0.18153543770313263,0.3326910734176636,0.3456730246543884,0.19403496384620667,0.11107280850410461,0.42300865054130554
decides,0.3701135814189911,1.0000001192092896,0.3701135814189911,0.4639994502067566,0.42171913385391235,0.19400539994239807,0.23550479114055634,0.32573065161705017,0.1300375908613205,0.26200875639915466,0.2636670470237732
who,0.9999998807907104,0.3701135814189911,0.9999998807907104,0.21394678950309753,0.42656609416007996,0.3252972662448883,0.2792111933231354,0.3733934462070465,0.16918787360191345,0.2411929816007614,0.26220351457595825
speaks,0.31466174125671387,0.28483203053474426,0.31466174125671387,0.22724796831607819,0.21991294622421265,0.7272287607192993,0.1918066442012787,0.2779020071029663,0.11836419254541397,0.2324792593717575,0.20732364058494568
in,0.2792111933231354,0.23550479114055634,0.2792111933231354,0.2060210406780243,0.45010748505592346,0.2336738109588623,1.0,0.6662389636039734,0.18419700860977173,0.23210375010967255,0.20430970191955566
chamber,0.16918787360191345,0.1300375908613205,0.16918787360191345,0.14192631840705872,0.1609310358762741,0.1064150258898735,0.18419700860977173,0.2594704031944275,1.0,0.10289040207862854,0.04307165369391441
debates,0.2411929816007614,0.26200875639915466,0.2411929816007614,0.19948619604110718,0.2710517346858978,0.1842103898525238,0.23210375010967255,0.2661968469619751,0.10289040207862854,1.0000001192092896,0.23877738416194916
and,0.41279885172843933,0.24027897417545319,0.41279885172843933,0.280393123626709,0.48971283435821533,0.24840866029262543,0.4954058527946472,0.5171257257461548,0.2297973483800888,0.2613394856452942,0.20544172823429108
the,0.3733934462070465,0.32573065161705017,0.3733934462070465,0.29983434081077576,0.535392165184021,0.2565973103046417,0.6662389636039734,1.0,0.2594704031944275,0.2661968469619751,0.22068053483963013
amount,0.22081047296524048,0.17468416690826416,0.22081047296524048,0.33733686804771423,0.309798926115036,0.07940646260976791,0.2569429874420166,0.3336862325668335,0.15237146615982056,0.1860334277153015,0.17984020709991455
of,0.2827862501144409,0.24656741321086884,0.2827862501144409,0.2648349702358246,0.41548454761505127,0.2317851483821869,0.5696388483047485,0.733189046382904,0.24295011162757874,0.2293700873851776,0.1826142966747284
time,0.36634087562561035,0.270577996969223,0.36634087562561035,0.2356904149055481,0.3679993152618408,0.1837058812379837,0.3431483507156372,0.43061500787734985,0.1584310531616211,0.22064734995365143,0.27391523122787476
for,0.37110671401023865,0.2475091964006424,0.37110671401023865,0.22999852895736694,0.4451248347759247,0.17226319015026093,0.4322226941585541,0.4739971458911896,0.2533634305000305,0.27029141783714294,0.264628142118454
which,0.3688730001449585,0.2336525022983551,0.3688730001449585,0.28755176067352295,0.5345056653022766,0.17484353482723236,0.4840516746044159,0.6521818041801453,0.26306310296058655,0.2730225920677185,0.25814583897590637
they,0.47879111766815186,0.3153064250946045,0.47879111766815186,0.2779814302921295,0.5452046394348145,0.2952145040035248,0.4330179989337921,0.49925389885902405,0.15543173253536224,0.20846793055534363,0.2753053903579712
are,0.27294138073921204,0.2075766772031784,0.27294138073921204,0.28810182213783264,0.3504326641559601,0.2863008379936218,0.3841303884983063,0.40399202704429626,0.13027484714984894,0.2259225845336914,0.24591213464736938
allowed,0.37092331051826477,0.3120865821838379,0.37092331051826477,0.1631278693675995,0.42967355251312256,0.18864718079566956,0.23683252930641174,0.2985120713710785,0.1701887547969818,0.21438972651958466,0.2309964895248413
to,0.42656609416007996,0.42171913385391235,0.42656609416007996,0.301471084356308,1.0,0.2687135338783264,0.45010748505592346,0.535392165184021,0.1609310358762741,0.2710517346858978,0.29463258385658264
speak,0.3252972662448883,0.19400539994239807,0.3252972662448883,0.1135563850402832,0.2687135338783264,0.9999998807907104,0.2336738109588623,0.2565973103046417,0.1064150258898735,0.1842103898525238,0.2619509994983673
