,what,has,become,the,secret,to,economic,growth,?
but,0.5029441118240356,0.41906601190567017,0.40939122438430786,0.4859698414802551,0.20181919634342194,0.5542377829551697,0.18852508068084717,0.2309311479330063,0.27921953797340393
now,0.4903225302696228,0.3383018970489502,0.3509089946746826,0.38266420364379883,0.21397598087787628,0.3925153911113739,0.11916419118642807,0.17181377112865448,0.29641881585121155
that,0.6297725439071655,0.41272613406181335,0.33698222041130066,0.5473989248275757,0.29317769408226013,0.5436353087425232,0.2305225282907486,0.26227322220802307,0.32716336846351624
human,0.24243313074111938,0.23518574237823486,0.17920324206352234,0.3103327453136444,0.15276876091957092,0.25612473487854004,0.3288063406944275,0.2942061126232147,0.19748784601688385
capital,0.17967931926250458,0.19167733192443848,0.13410331308841705,0.3049491047859192,0.04438760504126549,0.1844596415758133,0.3077714443206787,0.2704012095928192,0.0907452180981636
is,0.28837618231773376,0.5668748617172241,0.2983444035053253,0.5823672413825989,0.17441964149475098,0.42745086550712585,0.21102669835090637,0.2256266176700592,0.22961433231830597
scarcer,0.3498012125492096,0.2122219204902649,0.2525014579296112,0.3436884880065918,0.21887469291687012,0.26279416680336,0.18722768127918243,0.23702402412891388,0.22922027111053467
than,0.29388150572776794,0.32792407274246216,0.2953968942165375,0.3227543234825134,0.11335664242506027,0.3192550539970398,0.15147915482521057,0.21366450190544128,0.24917294085025787
machines,0.25512105226516724,0.1272239238023758,0.14183013141155243,0.22618883848190308,0.2535734176635742,0.2695792019367218,0.1916942447423935,0.211435005068779,0.17646311223506927
",",0.3087472915649414,0.3734780251979828,0.29676204919815063,0.4933079481124878,0.20687520503997803,0.44245919585227966,0.2340485155582428,0.2218456119298935,0.31091248989105225
widespread,0.236628457903862,0.2202903777360916,0.21238945424556732,0.30728161334991455,0.1391328126192093,0.2658514082431793,0.28123724460601807,0.3055480420589447,0.16958627104759216
education,0.19940856099128723,0.19203995168209076,0.17982710897922516,0.23982903361320496,0.14598284661769867,0.2626708149909973,0.3367733955383301,0.251839816570282,0.18067774176597595
has,0.20338068902492523,1.0,0.30010637640953064,0.4177538752555847,0.12585702538490295,0.3619994819164276,0.2052665501832962,0.2680913209915161,0.15994466841220856
become,0.27134042978286743,0.30010637640953064,1.0,0.31731709837913513,0.10193561762571335,0.36996012926101685,0.19540101289749146,0.2535281777381897,0.19511328637599945
the,0.42745697498321533,0.4177538752555847,0.31731709837913513,1.0,0.23541073501110077,0.535392165184021,0.282455176115036,0.2912366986274719,0.22068053483963013
secret,0.2518046498298645,0.12585702538490295,0.10193561762571335,0.23541073501110077,1.0000001192092896,0.20223848521709442,0.08575829118490219,0.034958600997924805,0.16440534591674805
to,0.455847829580307,0.3619994819164276,0.36996012926101685,0.535392165184021,0.20223848521709442,1.0,0.26856908202171326,0.2701800763607025,0.29463258385658264
growth,0.1739405393600464,0.2680913209915161,0.2535281777381897,0.2912366986274719,0.034958600997924805,0.2701800763607025,0.4732155203819275,1.0000001192092896,0.07547862827777863
.,0.3567904531955719,0.4105546176433563,0.32859939336776733,0.5934505462646484,0.25202471017837524,0.4645031690597534,0.22435031831264496,0.2825547754764557,0.4130953550338745
'',0.08143015950918198,0.004576915875077248,-0.056798055768013,0.041273195296525955,-0.0280301533639431,-0.009905828163027763,-0.021023044362664223,-0.09849907457828522,0.018684765323996544
