,what,does,the,utilitarian,principle,seek,for,the,greatest,number,of,people,?
following,0.2506418824195862,0.22666849195957184,0.39779382944107056,0.19169078767299652,0.1560828685760498,0.21680887043476105,0.2965082824230194,0.39779382944107056,0.17993788421154022,0.2626027762889862,0.3576679527759552,0.16064581274986267,0.1555173695087433
the,0.42745697498321533,0.35928019881248474,1.0,0.16574816405773163,0.24017377197742462,0.24523614346981049,0.4739971458911896,1.0,0.2877289056777954,0.35145696997642517,0.733189046382904,0.36838498711586,0.22068053483963013
utilitarian,0.2195596992969513,0.16898545622825623,0.16574816405773163,1.0000001192092896,0.3163047134876251,0.28032007813453674,0.279582142829895,0.16574816405773163,0.17462776601314545,0.16122949123382568,0.2036472111940384,0.16747720539569855,0.20882867276668549
principle,0.3569014072418213,0.26912158727645874,0.24017377197742462,0.3163047134876251,1.0,0.2100314348936081,0.19208170473575592,0.24017377197742462,0.1525363177061081,0.1971951276063919,0.2430231273174286,0.1433582305908203,0.2002675086259842
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2036472111940384,0.2430231273174286,0.2027195245027542,0.4185989499092102,0.733189046382904,0.30395472049713135,0.2778518795967102,1.0,0.3251037895679474,0.1826142966747284
seeking,0.20790332555770874,0.3133334219455719,0.27082350850105286,0.29677319526672363,0.24003031849861145,0.6603916883468628,0.32114171981811523,0.27082350850105286,0.1384815126657486,0.17689937353134155,0.2694380283355713,0.21123692393302917,0.21199938654899597
the,0.42745697498321533,0.35928019881248474,1.0,0.16574816405773163,0.24017377197742462,0.24523614346981049,0.4739971458911896,1.0,0.2877289056777954,0.35145696997642517,0.733189046382904,0.36838498711586,0.22068053483963013
greatest,0.22948481142520905,0.1330748051404953,0.2877289056777954,0.17462776601314545,0.1525363177061081,0.0796007588505745,0.2271939516067505,0.2877289056777954,1.0,0.28229549527168274,0.30395472049713135,0.182527095079422,0.13661223649978638
good,0.3916934132575989,0.33198118209838867,0.2735973596572876,0.24472710490226746,0.2639378011226654,0.23647964000701904,0.39067649841308594,0.2735973596572876,0.2823352515697479,0.21426859498023987,0.2696770131587982,0.19460968673229218,0.3187684714794159
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.279582142829895,0.19208170473575592,0.2794013023376465,0.9999999403953552,0.4739971458911896,0.2271939516067505,0.2861633002758026,0.4185989499092102,0.24900002777576447,0.264628142118454
the,0.42745697498321533,0.35928019881248474,1.0,0.16574816405773163,0.24017377197742462,0.24523614346981049,0.4739971458911896,1.0,0.2877289056777954,0.35145696997642517,0.733189046382904,0.36838498711586,0.22068053483963013
greatest,0.22948481142520905,0.1330748051404953,0.2877289056777954,0.17462776601314545,0.1525363177061081,0.0796007588505745,0.2271939516067505,0.2877289056777954,1.0,0.28229549527168274,0.30395472049713135,0.182527095079422,0.13661223649978638
number,0.23046229779720306,0.1831183135509491,0.35145696997642517,0.16122949123382568,0.1971951276063919,0.19188804924488068,0.2861633002758026,0.35145696997642517,0.28229549527168274,1.0,0.2778518795967102,0.14050929248332977,0.19256845116615295
–,0.13008765876293182,0.13794226944446564,0.2607575058937073,0.10977800190448761,0.15578967332839966,0.11350467801094055,0.2408909648656845,0.2607575058937073,0.2464713156223297,0.09428931772708893,0.2799985408782959,0.07075772434473038,0.2714554965496063
economic,0.18082544207572937,0.14175917208194733,0.282455176115036,0.36512985825538635,0.28037118911743164,0.19732603430747986,0.24368955194950104,0.282455176115036,0.1306626945734024,0.1426883190870285,0.3030148148536682,0.24503347277641296,0.1206481084227562
inequality,0.30072227120399475,0.24271976947784424,0.23508106172084808,0.4066708981990814,0.4577101171016693,0.27027565240859985,0.256974995136261,0.23508106172084808,0.23631487786769867,0.32748979330062866,0.27910974621772766,0.2395709902048111,0.23619021475315094
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.10428564995527267,0.20634804666042328,0.14621992409229279,0.43268078565597534,0.5823672413825989,0.16166137158870697,0.22390379011631012,0.4854315221309662,0.34254953265190125,0.22961433231830597
problematic,0.45097509026527405,0.31861305236816406,0.2829323709011078,0.31829580664634705,0.27740278840065,0.23590630292892456,0.33398187160491943,0.2829323709011078,0.24353115260601044,0.3255642354488373,0.235416978597641,0.18769747018814087,0.3816973865032196
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.21380603313446045,0.1894911378622055,0.20647966861724854,0.4726039469242096,0.5934505462646484,0.2034384310245514,0.3256329298019409,0.5352458953857422,0.33118996024131775,0.4130953550338745
