,older,people,get,less,sun,and,produce,less,of,what,chemical,via,uvb,radiation,?
this,0.2477819174528122,0.27838850021362305,0.3731342554092407,0.4385764002799988,0.18805761635303497,0.42353692650794983,0.36211106181144714,0.4385764002799988,0.45148900151252747,0.5489566326141357,0.28227266669273376,0.24110035598278046,0.2717472314834595,0.27651286125183105,0.3155723512172699
means,0.12390001118183136,0.2948455810546875,0.3034379780292511,0.35342836380004883,0.2044324278831482,0.25371095538139343,0.28993871808052063,0.35342836380004883,0.29942914843559265,0.2553325295448303,0.18210215866565704,0.13773389160633087,0.19843357801437378,0.20011180639266968,0.21233566105365753
that,0.30689194798469543,0.3621441423892975,0.3748580515384674,0.42165717482566833,0.2795715630054474,0.4731321930885315,0.3393034040927887,0.42165717482566833,0.41498205065727234,0.6297725439071655,0.2704353928565979,0.24751818180084229,0.17723748087882996,0.26389601826667786,0.32716336846351624
they,0.2707013487815857,0.4418129622936249,0.4601719081401825,0.39704006910324097,0.17673945426940918,0.5073080658912659,0.30373209714889526,0.39704006910324097,0.3426007330417633,0.4431931674480438,0.19982746243476868,0.1549089103937149,0.18131856620311737,0.22570134699344635,0.2753053903579712
get,0.2296723574399948,0.2906142473220825,0.9999999403953552,0.3873460590839386,0.16569915413856506,0.37609121203422546,0.357732355594635,0.3873460590839386,0.26628199219703674,0.3490515947341919,0.21645985543727875,0.20843076705932617,0.17652079463005066,0.22672197222709656,0.3499825894832611
less,0.29521673917770386,0.32628461718559265,0.3873460590839386,1.0,0.212941974401474,0.35327455401420593,0.3611699938774109,1.0,0.30836719274520874,0.31119704246520996,0.1760319620370865,0.16151566803455353,0.18302513659000397,0.24667516350746155,0.22418740391731262
sun,0.17273671925067902,0.16843754053115845,0.16569915413856506,0.212941974401474,1.0000001192092896,0.22661687433719635,0.17486459016799927,0.212941974401474,0.22858914732933044,0.207769975066185,0.14814460277557373,0.06708360463380814,0.25048619508743286,0.3399709463119507,0.1497713327407837
and,0.3224782347679138,0.3016039729118347,0.37609121203422546,0.35327455401420593,0.22661687433719635,1.0,0.2701570689678192,0.35327455401420593,0.5116966962814331,0.31309178471565247,0.1947544515132904,0.20018906891345978,0.21661336719989777,0.20040613412857056,0.20544172823429108
therefore,0.23275421559810638,0.2783040702342987,0.38377541303634644,0.4741364121437073,0.20342721045017242,0.4033817946910858,0.4005873203277588,0.4741364121437073,0.4106575846672058,0.4125064015388489,0.1969727873802185,0.24815154075622559,0.17055782675743103,0.26409581303596497,0.3325358033180237
produce,0.14318887889385223,0.1451544314622879,0.357732355594635,0.3611699938774109,0.17486459016799927,0.2701570689678192,1.0,0.3611699938774109,0.19541172683238983,0.1685742735862732,0.29250818490982056,0.15900872647762299,0.25358259677886963,0.3011825978755951,0.19229066371917725
less,0.29521673917770386,0.32628461718559265,0.3873460590839386,1.0,0.212941974401474,0.35327455401420593,0.3611699938774109,1.0,0.30836719274520874,0.31119704246520996,0.1760319620370865,0.16151566803455353,0.18302513659000397,0.24667516350746155,0.22418740391731262
cholecalciferol,0.19947169721126556,0.26730433106422424,0.2943767011165619,0.2999867796897888,0.18328826129436493,0.28861919045448303,0.42050814628601074,0.2999867796897888,0.285683810710907,0.28365907073020935,0.48368674516677856,0.17906828224658966,0.4464882016181946,0.4466797411441803,0.257551908493042
via,0.05015310272574425,0.1498737633228302,0.20843076705932617,0.16151566803455353,0.06708360463380814,0.20018906891345978,0.15900872647762299,0.16151566803455353,0.1293322592973709,0.16736915707588196,0.0550946481525898,1.0,0.17163312435150146,0.04137139394879341,0.19443516433238983
uvb,0.10750963538885117,0.13551317155361176,0.17652079463005066,0.18302513659000397,0.25048619508743286,0.21661336719989777,0.25358259677886963,0.18302513659000397,0.23042841255664825,0.17099913954734802,0.3614877760410309,0.17163312435150146,1.0000001192092896,0.3160421848297119,0.18847984075546265
radiation,0.17627489566802979,0.1825442761182785,0.22672197222709656,0.24667516350746155,0.3399709463119507,0.20040613412857056,0.3011825978755951,0.24667516350746155,0.2597386837005615,0.2664667069911957,0.3459552824497223,0.04137139394879341,0.3160421848297119,0.9999999403953552,0.1720895618200302
.,0.27821221947669983,0.33118996024131775,0.39392393827438354,0.32668155431747437,0.20861375331878662,0.588965117931366,0.2587496340274811,0.32668155431747437,0.5352458953857422,0.3567904531955719,0.23593789339065552,0.19197528064250946,0.3296804428100586,0.22878317534923553,0.4130953550338745
