,where,is,the,hyde,park,day,school,located,?
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.23714761435985565,0.22758090496063232,0.2671984136104584,0.26157811284065247,0.35149815678596497,0.20430970191955566
addition,0.29059985280036926,0.2727152407169342,0.32955414056777954,0.15069428086280823,0.11551385372877121,0.15450739860534668,0.13785786926746368,0.2112710177898407,0.19187232851982117
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.2826679050922394,0.22495080530643463,0.30821847915649414,0.27141863107681274,0.2678719460964203,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,1.0,0.2556402087211609,0.24748283624649048,0.3062323033809662,0.22953221201896667,0.407527357339859,0.22068053483963013
hyde,0.1363869160413742,0.19051054120063782,0.2556402087211609,1.0000001192092896,0.46393707394599915,0.13028597831726074,0.1743314117193222,0.22660118341445923,0.14295879006385803
park,0.1767059862613678,0.2076987773180008,0.24748283624649048,0.46393707394599915,1.0,0.2038438320159912,0.25868362188339233,0.31520238518714905,0.13508929312229156
day,0.17241404950618744,0.17517195641994476,0.3062323033809662,0.13028597831726074,0.2038438320159912,1.0,0.1850052922964096,0.13888561725616455,0.2141837179660797
school,0.23611775040626526,0.19488026201725006,0.22953221201896667,0.1743314117193222,0.25868362188339233,0.1850052922964096,1.0,0.19245630502700806,0.15091250836849213
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.2826679050922394,0.22495080530643463,0.30821847915649414,0.27141863107681274,0.2678719460964203,0.31091248989105225
a,0.40997210144996643,0.658733606338501,0.5829201340675354,0.2406734824180603,0.2207280695438385,0.18630309402942657,0.2245093584060669,0.2605401277542114,0.23916715383529663
school,0.23611775040626526,0.19488026201725006,0.22953221201896667,0.1743314117193222,0.25868362188339233,0.1850052922964096,1.0,0.19245630502700806,0.15091250836849213
for,0.38599511981010437,0.43268078565597534,0.4739971458911896,0.20066139101982117,0.157673642039299,0.23720888793468475,0.18618352711200714,0.1493360996246338,0.264628142118454
students,0.2588886320590973,0.2124544233083725,0.25268980860710144,0.10720296949148178,0.14866819977760315,0.22155366837978363,0.6345757842063904,0.2048903852701187,0.18017297983169556
with,0.4142743945121765,0.3250955045223236,0.4223487675189972,0.1768101155757904,0.13919170200824738,0.2329399436712265,0.13135014474391937,0.12990716099739075,0.2433311939239502
learning,0.24860568344593048,0.19600103795528412,0.2504628002643585,0.06158870458602905,0.11605381965637207,0.15073828399181366,0.3199729323387146,0.1622689962387085,0.25810256600379944
disabilities,0.20125065743923187,0.11469120532274246,0.15858615934848785,0.09996765851974487,0.128495454788208,0.07850310206413269,0.18282201886177063,0.10551129281520844,0.22903060913085938
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.2826679050922394,0.22495080530643463,0.30821847915649414,0.27141863107681274,0.2678719460964203,0.31091248989105225
maintains,0.20877490937709808,0.2847173810005188,0.2744854986667633,0.12518171966075897,0.18767207860946655,0.1283189207315445,0.1087602749466896,0.3578656017780304,0.13273680210113525
a,0.40997210144996643,0.658733606338501,0.5829201340675354,0.2406734824180603,0.2207280695438385,0.18630309402942657,0.2245093584060669,0.2605401277542114,0.23916715383529663
location,0.3471813499927521,0.25880151987075806,0.351087361574173,0.1328538954257965,0.2231723666191101,0.17950409650802612,0.14184054732322693,0.4647977352142334,0.15759775042533875
on,0.37630224227905273,0.3635730445384979,0.5107308030128479,0.2661193311214447,0.2332824319601059,0.3332281708717346,0.2388053983449936,0.22447186708450317,0.2714994251728058
the,0.5003893971443176,0.5823672413825989,1.0,0.2556402087211609,0.24748283624649048,0.3062323033809662,0.22953221201896667,0.407527357339859,0.22068053483963013
university,0.26550742983818054,0.20346471667289734,0.263973206281662,0.17534923553466797,0.2525845468044281,0.17589150369167328,0.48676231503486633,0.2719898521900177,0.11887256056070328
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.22119948267936707,0.24561640620231628,0.2934032380580902,0.2391800880432129,0.32520920038223267,0.1826142966747284
chicago,0.18485027551651,0.12146236002445221,0.27360326051712036,0.26913225650787354,0.23408661782741547,0.150318905711174,0.25633347034454346,0.21737560629844666,0.16446958482265472
campus,0.21029166877269745,0.2408183068037033,0.20087170600891113,0.25236406922340393,0.3332131803035736,0.18749013543128967,0.40977439284324646,0.42575085163116455,0.06952692568302155
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2697196900844574,0.22825266420841217,0.24232520163059235,0.24214158952236176,0.28226932883262634,0.4130953550338745
