,how,are,the,particle,forces,and,accelerations,explained,as,by,gauge,bosons,exchange,?
in,0.2601168751716614,0.3841303884983063,0.6662389636039734,0.20448297262191772,0.2565164566040039,0.4954058527946472,0.1944579780101776,0.24881379306316376,0.3887844979763031,0.370934396982193,0.18491436541080475,0.15461570024490356,0.21970009803771973,0.20430970191955566
modern,0.15316444635391235,0.21159417927265167,0.3283970355987549,0.1271573305130005,0.08905810862779617,0.3277876079082489,0.21061186492443085,0.16125285625457764,0.242071270942688,0.14536865055561066,0.17618440091609955,0.1167108342051506,0.10956504195928574,0.12475407868623734
particle,0.300030380487442,0.23474889993667603,0.2507205605506897,1.0,0.29067179560661316,0.19256258010864258,0.6053934693336487,0.37871313095092773,0.21558694541454315,0.18807317316532135,0.39114904403686523,0.7124212384223938,0.1460169106721878,0.22597293555736542
physics,0.2625173032283783,0.1597587615251541,0.17952929437160492,0.570899248123169,0.289713591337204,0.14552804827690125,0.4341934621334076,0.3370978534221649,0.1929139792919159,0.15634199976921082,0.2876194715499878,0.4692718982696533,0.17241866886615753,0.1470423936843872
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2206975817680359,0.2544684410095215,0.6633074283599854,0.24113427102565765,0.26507580280303955,0.48816442489624023,0.3680937886238098,0.24010542035102844,0.24658267199993134,0.2447657436132431,0.31091248989105225
forces,0.17453457415103912,0.22039441764354706,0.3134811818599701,0.29067179560661316,1.0,0.26456665992736816,0.373546302318573,0.16914330422878265,0.1724308878183365,0.294624388217926,0.2990102171897888,0.3767748475074768,0.20112575590610504,0.16984491050243378
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.19256258010864258,0.26456665992736816,1.0,0.29919543862342834,0.2517392039299011,0.49487000703811646,0.4289871156215668,0.2212754637002945,0.23966842889785767,0.23130671679973602,0.20544172823429108
the,0.33890387415885925,0.40399202704429626,1.0,0.2507205605506897,0.3134811818599701,0.5171257257461548,0.2982276678085327,0.2738569974899292,0.48381632566452026,0.4408751428127289,0.20929455757141113,0.21860371530056,0.2543705105781555,0.22068053483963013
acceleration,0.29385942220687866,0.19136610627174377,0.29868006706237793,0.6180644035339355,0.3445073664188385,0.2636891305446625,0.9605177044868469,0.2761755585670471,0.19686320424079895,0.18764521181583405,0.3551802933216095,0.5249989032745361,0.18705199658870697,0.16905567049980164
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.2452378273010254,0.3090144991874695,0.5116966962814331,0.2804561257362366,0.24962453544139862,0.3886612355709076,0.3646814823150635,0.17487795650959015,0.22500739991664886,0.23548997938632965,0.1826142966747284
particles,0.29527848958969116,0.34996259212493896,0.23884518444538116,0.8852447271347046,0.3396289646625519,0.23946726322174072,0.5701513290405273,0.32523322105407715,0.20529483258724213,0.22884438931941986,0.3983553349971771,0.741854190826416,0.14597351849079132,0.22255320847034454
are,0.311818927526474,1.0,0.40399202704429626,0.23474889993667603,0.22039441764354706,0.48576638102531433,0.26082882285118103,0.2510926127433777,0.3826591968536377,0.37842893600463867,0.2588168680667877,0.2956467866897583,0.18657633662223816,0.24591213464736938
explained,0.4018135070800781,0.2510926127433777,0.2738569974899292,0.37871313095092773,0.16914330422878265,0.2517392039299011,0.2910294532775879,1.0,0.2956673204898834,0.28881314396858215,0.2268979400396347,0.36912792921066284,0.1346697211265564,0.31240519881248474
as,0.33782753348350525,0.3826591968536377,0.48381632566452026,0.21558694541454315,0.1724308878183365,0.49487000703811646,0.21450704336166382,0.2956673204898834,1.0,0.3815547823905945,0.18890291452407837,0.238448828458786,0.1604461967945099,0.27043893933296204
a,0.29312583804130554,0.265255331993103,0.5829201340675354,0.2823246121406555,0.17848460376262665,0.3739250600337982,0.19663847982883453,0.24080877006053925,0.39550232887268066,0.32094135880470276,0.20752573013305664,0.2441764920949936,0.14749813079833984,0.23916715383529663
mathematical,0.34284481406211853,0.17106600105762482,0.21343764662742615,0.43937280774116516,0.1839301735162735,0.22746597230434418,0.42275136709213257,0.35272112488746643,0.23718249797821045,0.17634403705596924,0.24975091218948364,0.39282917976379395,0.1354605108499527,0.1630573719739914
by-product,0.3059757649898529,0.2785458564758301,0.2561787962913513,0.3187510669231415,0.16436104476451874,0.24079610407352448,0.32826489210128784,0.2643028199672699,0.27429264783859253,0.22244954109191895,0.15054920315742493,0.2376634031534195,0.2633897066116333,0.288609117269516
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.2452378273010254,0.3090144991874695,0.5116966962814331,0.2804561257362366,0.24962453544139862,0.3886612355709076,0.3646814823150635,0.17487795650959015,0.22500739991664886,0.23548997938632965,0.1826142966747284
exchange,0.19227394461631775,0.18657633662223816,0.2543705105781555,0.1460169106721878,0.20112575590610504,0.23130671679973602,0.19067637622356415,0.1346697211265564,0.1604461967945099,0.19334429502487183,0.0813668817281723,0.22748838365077972,1.0000001192092896,0.048212938010692596
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.2452378273010254,0.3090144991874695,0.5116966962814331,0.2804561257362366,0.24962453544139862,0.3886612355709076,0.3646814823150635,0.17487795650959015,0.22500739991664886,0.23548997938632965,0.1826142966747284
momentum-carrying,0.3246682584285736,0.20071165263652802,0.3304542601108551,0.4957728683948517,0.33330783247947693,0.28865131735801697,0.5027537941932678,0.28894755244255066,0.2927612066268921,0.22521114349365234,0.27394795417785645,0.4271255433559418,0.16185542941093445,0.24258847534656525
gauge,0.2550436854362488,0.2588168680667877,0.20929455757141113,0.39114904403686523,0.2990102171897888,0.2212754637002945,0.36100825667381287,0.2268979400396347,0.18890291452407837,0.1633702963590622,0.9999999403953552,0.48152172565460205,0.0813668817281723,0.2129381000995636
bosons,0.3295525312423706,0.2956467866897583,0.21860371530056,0.7124212384223938,0.3767748475074768,0.23966842889785767,0.5707929134368896,0.36912792921066284,0.238448828458786,0.17625591158866882,0.48152172565460205,0.9999999403953552,0.22748838365077972,0.20861397683620453
.,0.3287222981452942,0.3452940285205841,0.5934505462646484,0.23767323791980743,0.21802116930484772,0.588965117931366,0.23973797261714935,0.24758407473564148,0.515582263469696,0.3936232924461365,0.20401284098625183,0.2409217655658722,0.14290252327919006,0.4130953550338745
