,what,was,the,verdict,on,other,alleged,errors,?
martin,0.14814218878746033,0.2089129239320755,0.22029393911361694,0.1591336876153946,0.212642639875412,0.16676561534404755,0.10750195384025574,0.07730765640735626,0.060103293508291245
parry,0.23197250068187714,0.25043830275535583,0.2622797191143036,0.16306820511817932,0.22438514232635498,0.1577201932668686,0.06485176831483841,0.17069889605045319,0.17210984230041504
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.14856450259685516,0.49057599902153015,0.4446498453617096,0.18592755496501923,0.18753045797348022,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20505614578723907,0.3848365545272827,0.2806335389614105,0.19702473282814026,0.23760727047920227,0.23916715383529663
climate,0.2854173183441162,0.14714933931827545,0.2693597674369812,0.07386817038059235,0.23228000104427338,0.19015616178512573,0.11751532554626465,0.14155492186546326,0.19998492300510406
expert,0.3606319725513458,0.24025483429431915,0.18672597408294678,0.20571860671043396,0.27178654074668884,0.26173028349876404,0.26689985394477844,0.2320844829082489,0.1580924242734909
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.25236794352531433,0.2340552806854248,0.3612329661846161,0.2710895836353302,0.10778165608644485,0.26220351457595825
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.27702000737190247,0.36692994832992554,0.30737367272377014,0.29965001344680786,0.09506911039352417,0.20728366076946259
been,0.2567804455757141,0.518218457698822,0.3563927710056305,0.1983921378850937,0.29937630891799927,0.34575363993644714,0.2929065525531769,0.17633646726608276,0.24354910850524902
co-chair,0.13390766084194183,0.2904858887195587,0.22999590635299683,0.2716067135334015,0.22762736678123474,0.15962101519107819,0.2269599735736847,0.08753660321235657,0.13944998383522034
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.13989220559597015,0.3966929316520691,0.38583824038505554,0.24758745729923248,0.15595990419387817,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.23126204311847687,0.5107308030128479,0.44152235984802246,0.2058245837688446,0.17367905378341675,0.22068053483963013
ipcc,0.33176189661026,0.16744299232959747,0.24925659596920013,0.2643413841724396,0.24879392981529236,0.2497648149728775,0.25671425461769104,0.22785353660583496,0.22295254468917847
working,0.2846863269805908,0.25099408626556396,0.25857484340667725,0.15323352813720703,0.2811677157878876,0.2923934757709503,0.10618118941783905,0.21956492960453033,0.17154020071029663
group,0.2114069163799286,0.1789962202310562,0.30795547366142273,0.1412004679441452,0.22796137630939484,0.3767421245574951,0.11663281917572021,0.030940547585487366,0.13827809691429138
ii,0.13866674900054932,0.25630512833595276,0.2631464898586273,0.1268364042043686,0.1556067317724228,0.16630683839321136,0.14552591741085052,0.1332942247390747,0.11928234249353409
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.14856450259685516,0.49057599902153015,0.4446498453617096,0.18592755496501923,0.18753045797348022,0.31091248989105225
said,0.3951668441295624,0.43711766600608826,0.3024602234363556,0.3619213104248047,0.3034963011741638,0.21980363130569458,0.3456200957298279,0.16505053639411926,0.28991883993148804
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.33003005385398865,0.42569106817245483,0.5570666193962097,0.312958687543869,0.3191109895706177,0.32716336846351624
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.053372256457805634,-0.03274054825305939,0.10245004296302795,-0.1274147629737854,0.08714210987091064,0.0685480609536171
what,0.9999998807907104,0.22111038863658905,0.42745697498321533,0.29206666350364685,0.34226128458976746,0.341873437166214,0.19019317626953125,0.29875442385673523,0.5051238536834717
began,0.1665823757648468,0.4683617055416107,0.3059147596359253,0.18059112131595612,0.29460400342941284,0.2022596150636673,0.16712820529937744,0.10545255243778229,0.1370266228914261
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.1311962902545929,0.40749499201774597,0.44086363911628723,0.1500861942768097,0.18686620891094208,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20505614578723907,0.3848365545272827,0.2806335389614105,0.19702473282814026,0.23760727047920227,0.23916715383529663
single,0.24458327889442444,0.22785933315753937,0.29338565468788147,0.1606675237417221,0.28480544686317444,0.26250794529914856,0.10772181302309036,0.1576233208179474,0.2151121199131012
unfortunate,0.4014178514480591,0.20968644320964813,0.26357176899909973,0.23954090476036072,0.2714395821094513,0.24687808752059937,0.27303817868232727,0.33698776364326477,0.2397013157606125
error,0.30197378993034363,0.15878652036190033,0.1961134821176529,0.2350844442844391,0.24944861233234406,0.19229327142238617,0.1505124866962433,0.7686457633972168,0.2543688118457794
over,0.28007611632347107,0.24486446380615234,0.39856547117233276,0.2309303730726242,0.39810362458229065,0.3579636216163635,0.20946381986141205,0.17218919098377228,0.25742942094802856
himalayan,0.16039705276489258,0.11047704517841339,0.26702675223350525,0.07865815609693527,0.13020813465118408,0.22007206082344055,0.09567107260227203,0.16893553733825684,0.11688655614852905
glaciers,0.17894403636455536,0.08418398350477219,0.25829634070396423,0.17114773392677307,0.15704825520515442,0.20687401294708252,0.08666041493415833,0.17484135925769806,0.10289843380451202
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.0986379086971283,0.34604379534721375,0.3162766396999359,0.20473019778728485,0.11701444536447525,0.15994466841220856
become,0.27134042978286743,0.3147440552711487,0.31731709837913513,0.13457293808460236,0.17756444215774536,0.2553490996360779,0.09526913613080978,0.02959131821990013,0.19511328637599945
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20505614578723907,0.3848365545272827,0.2806335389614105,0.19702473282814026,0.23760727047920227,0.23916715383529663
clamour,0.23362943530082703,0.25250276923179626,0.2941785156726837,0.22368580102920532,0.30554842948913574,0.17774610221385956,0.1901087462902069,0.022591397166252136,0.2279367297887802
without,0.3181614279747009,0.18635936081409454,0.3270869255065918,0.19973334670066833,0.26243290305137634,0.2757754325866699,0.20095963776111603,0.2830584943294525,0.2928665280342102
substance,0.2803279459476471,0.20017051696777344,0.27041906118392944,0.23366676270961761,0.17991481721401215,0.25785526633262634,0.26164186000823975,0.1890079379081726,0.2033585160970688
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.028589634224772453,0.04238596186041832,0.021007593721151352,0.0340828001499176,0.06675492972135544,0.018684765323996544
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.16128487884998322,0.4077630043029785,0.5504306554794312,0.1831645369529724,0.1830039918422699,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,1.0,0.23126204311847687,0.5107308030128479,0.44152235984802246,0.2058245837688446,0.17367905378341675,0.22068053483963013
ipcc,0.33176189661026,0.16744299232959747,0.24925659596920013,0.2643413841724396,0.24879392981529236,0.2497648149728775,0.25671425461769104,0.22785353660583496,0.22295254468917847
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.27702000737190247,0.36692994832992554,0.30737367272377014,0.29965001344680786,0.09506911039352417,0.20728366076946259
investigated,0.20849284529685974,0.25214648246765137,0.258423388004303,0.341096967458725,0.2659255564212799,0.22940918803215027,0.5105180740356445,0.21619278192520142,0.12763407826423645
