,by,1544,what,did,luther,have,to,deal,with,in,his,health,?
in,0.370934396982193,0.09200648218393326,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.36843645572662354,0.45010748505592346,0.23030675947666168,0.4080928862094879,1.0,0.3598145842552185,0.2500189542770386,0.20430970191955566
december,0.18191079795360565,0.028563398867845535,0.19304980337619781,0.2542226016521454,0.15935564041137695,0.14053665101528168,0.21181435883045197,0.1561433970928192,0.14869219064712524,0.25854936242103577,0.27263614535331726,0.14229275286197662,0.2480352818965912
1544,0.2723657786846161,0.9999999403953552,0.17166820168495178,0.16592906415462494,0.15529218316078186,0.15910378098487854,0.18289312720298767,0.10881742089986801,0.17900151014328003,0.09200648218393326,0.2585085928440094,0.1284434199333191,0.028857143595814705
",",0.3680937886238098,0.09997522085905075,0.3087472915649414,0.3015086054801941,0.23255878686904907,0.3541618287563324,0.44245919585227966,0.2716866135597229,0.4120737314224243,0.5201468467712402,0.3378419280052185,0.2331448197364807,0.31091248989105225
he,0.2485479861497879,0.1838003545999527,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.3020331561565399,0.385390967130661,0.29822877049446106,0.2845253646373749,0.41690486669540405,0.7171558737754822,0.2846643030643463,0.2089974731206894
began,0.2443893402814865,0.13661044836044312,0.1665823757648468,0.4415510594844818,0.17262868583202362,0.1338469535112381,0.2731419503688812,0.19176939129829407,0.23196780681610107,0.34154343605041504,0.34144559502601624,0.1331481784582138,0.1370266228914261
to,0.33534231781959534,0.18289312720298767,0.455847829580307,0.4452643394470215,0.18029534816741943,0.4544740617275238,1.0,0.29972702264785767,0.4239959120750427,0.45010748505592346,0.3715193271636963,0.29985085129737854,0.29463258385658264
feel,0.21513183414936066,0.14413650333881378,0.413962185382843,0.3044363260269165,0.1669566035270691,0.4456784427165985,0.3145853281021118,0.2372746467590332,0.287948340177536,0.1927928626537323,0.19560441374778748,0.28496265411376953,0.39212626218795776
the,0.4408751428127289,0.22941027581691742,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.40389683842658997,0.535392165184021,0.23069973289966583,0.4223487675189972,0.6662389636039734,0.4394008219242096,0.2340974360704422,0.22068053483963013
effects,0.2424515038728714,0.1613857001066208,0.22572848200798035,0.21497146785259247,0.11842305958271027,0.30499693751335144,0.2419324368238449,0.15550920367240906,0.2477746307849884,0.18867923319339752,0.2287493795156479,0.3714279234409332,0.16749060153961182
of,0.3646814823150635,0.1974557489156723,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.3802283704280853,0.41548454761505127,0.22831951081752777,0.41827285289764404,0.5696388483047485,0.38364991545677185,0.28076469898223877,0.1826142966747284
angina,0.2010604292154312,0.05600389093160629,0.2668077051639557,0.19465301930904388,0.13582687079906464,0.1979694366455078,0.2900860905647278,0.12224081158638,0.228613942861557,0.18792378902435303,0.23262201249599457,0.2523663341999054,0.19344787299633026
.,0.3936232924461365,0.14359603822231293,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.41614407300949097,0.4645031690597534,0.21690496802330017,0.4446153938770294,0.5591574311256409,0.3119256794452667,0.25832483172416687,0.4130953550338745
