,what,does,damaging,photosynthesis,systems,create,?
chloroplasts,0.2524593770503998,0.22598832845687866,0.23839262127876282,0.7245578765869141,0.28537094593048096,0.1784573495388031,0.13049766421318054
stimulate,0.24311572313308716,0.24627943336963654,0.2925199568271637,0.42138034105300903,0.2136526256799698,0.3277429938316345,0.11947494000196457
both,0.3361809551715851,0.3216230869293213,0.25283655524253845,0.22682860493659973,0.2542630136013031,0.23082666099071503,0.19455738365650177
responses,0.3741379678249359,0.27204272150993347,0.3099029064178467,0.373022198677063,0.32669320702552795,0.2308889478445053,0.23588258028030396
by,0.2455483376979828,0.143477201461792,0.18104398250579834,0.2082122266292572,0.2058878391981125,0.23152023553848267,0.17966607213020325
purposely,0.3600488305091858,0.32043778896331787,0.34100431203842163,0.21844449639320374,0.2252049297094345,0.35183560848236084,0.20725731551647186
damaging,0.28500422835350037,0.3125969469547272,1.0,0.2548421621322632,0.23621292412281036,0.23445504903793335,0.17482057213783264
their,0.35142919421195984,0.29094186425209045,0.2329588085412979,0.29413294792175293,0.27162352204322815,0.26188212633132935,0.1898253709077835
photosynthetic,0.20943596959114075,0.22022947669029236,0.25883474946022034,0.8843283653259277,0.28926515579223633,0.28443068265914917,0.15254013240337372
system,0.23557309806346893,0.2021704614162445,0.22074531018733978,0.2681684195995331,0.7890681028366089,0.23219428956508636,0.15556083619594574
",",0.3087472915649414,0.28617382049560547,0.2528398633003235,0.22675302624702454,0.22053997218608856,0.2240353375673294,0.31091248989105225
producing,0.1989585906267166,0.21486324071884155,0.2811366021633148,0.40703460574150085,0.18035747110843658,0.3413276970386505,0.1406429558992386
reactive,0.26621317863464355,0.26000598073005676,0.2916387915611267,0.462459534406662,0.2491975575685501,0.2279556393623352,0.20790518820285797
oxygen,0.16781960427761078,0.2380215972661972,0.20402778685092926,0.5679547190666199,0.19805452227592468,0.17417210340499878,0.16786395013332367
species,0.14617158472537994,0.1635095626115799,0.16060060262680054,0.4274764657020569,0.23873403668403625,0.1705731898546219,0.1957087516784668
.,0.3567904531955719,0.3022993505001068,0.26419079303741455,0.26637518405914307,0.2403000146150589,0.2916513681411743,0.4130953550338745
