,in,what,language,was,most,of,the,statement,written,?
the,0.6662389636039734,0.42745697498321533,0.30198320746421814,0.48711544275283813,0.47635307908058167,0.733189046382904,1.0,0.20954233407974243,0.2582438886165619,0.22068053483963013
statement,0.17217876017093658,0.39422667026519775,0.2573440372943878,0.2362719178199768,0.20974214375019073,0.1980573982000351,0.20954233407974243,1.0000001192092896,0.2991134524345398,0.28978636860847473
was,0.45514053106307983,0.22111038863658905,0.20423492789268494,1.0000001192092896,0.29933857917785645,0.4069072902202606,0.48711544275283813,0.2362719178199768,0.25575822591781616,0.18412111699581146
in,1.0,0.30808621644973755,0.23268210887908936,0.45514053106307983,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.17217876017093658,0.20878943800926208,0.20430970191955566
latin,0.18954341113567352,0.1759578436613083,0.3100031614303589,0.15532594919204712,0.22093720734119415,0.23412929475307465,0.24914836883544922,0.13430267572402954,0.23852770030498505,0.1303461492061615
",",0.5201468467712402,0.3087472915649414,0.2694627344608307,0.45456063747406006,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.22861604392528534,0.2737409770488739,0.31091248989105225
apart,0.23653271794319153,0.3046720027923584,0.14587551355361938,0.1961895227432251,0.23536601662635803,0.25376787781715393,0.28010323643684387,0.11307688057422638,0.15206634998321533,0.11720603704452515
from,0.4274188280105591,0.2737620174884796,0.19669853150844574,0.31171464920043945,0.28580769896507263,0.4249346852302551,0.40150508284568787,0.16176478564739227,0.13912507891654968,0.19969791173934937
``,0.04765888676047325,0.008517155423760414,0.13820524513721466,-0.012679691426455975,0.08567854017019272,0.06780257821083069,0.029072100296616554,0.08327054977416992,0.08063548058271408,0.0685480609536171
we,0.23132319748401642,0.5622460842132568,0.2769627869129181,0.16542018949985504,0.25597360730171204,0.2769293785095215,0.3206169009208679,0.3451419174671173,0.3063468635082245,0.535264790058136
are,0.3841303884983063,0.29724663496017456,0.26836323738098145,0.3076191842556,0.48698675632476807,0.39081433415412903,0.40399202704429626,0.19608406722545624,0.19747711718082428,0.24591213464736938
beggars,0.24390017986297607,0.2960933446884155,0.13912919163703918,0.19042198359966278,0.23429296910762787,0.22668272256851196,0.274688720703125,0.18503905832767487,0.22536538541316986,0.16420628130435944
",",0.5201468467712402,0.3087472915649414,0.2694627344608307,0.45456063747406006,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.22861604392528534,0.2737409770488739,0.31091248989105225
'',0.07432962208986282,0.08143015950918198,0.05074836686253548,0.04456103965640068,0.01990530639886856,0.13035868108272552,0.041273195296525955,-0.01801685243844986,0.06271407008171082,0.018684765323996544
which,0.4840516746044159,0.5261979103088379,0.27016767859458923,0.2830964922904968,0.4637843072414398,0.5011631846427917,0.6521818041801453,0.31563881039619446,0.30502957105636597,0.25814583897590637
was,0.45514053106307983,0.22111038863658905,0.20423492789268494,1.0000001192092896,0.29933857917785645,0.4069072902202606,0.48711544275283813,0.2362719178199768,0.25575822591781616,0.18412111699581146
in,1.0,0.30808621644973755,0.23268210887908936,0.45514053106307983,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.17217876017093658,0.20878943800926208,0.20430970191955566
german,0.21098364889621735,0.1960553526878357,0.19494405388832092,0.26016926765441895,0.20125962793827057,0.2122138887643814,0.256483793258667,0.1496812254190445,0.153272345662117,0.13978645205497742
.,0.5591574311256409,0.3567904531955719,0.2506868243217468,0.40146201848983765,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.21827399730682373,0.25418123602867126,0.4130953550338745
