,what,network,was,launched,by,abc,in,2004,?
the,0.42745697498321533,0.27187061309814453,0.48711544275283813,0.2547066807746887,0.4408751428127289,0.2068762183189392,0.6662389636039734,-0.2467794269323349,0.22068053483963013
policy,0.3869883120059967,0.18697695434093475,0.1882478892803192,0.22232596576213837,0.13463684916496277,0.17934124171733856,0.1459147185087204,-0.09408456087112427,0.30462446808815
regarding,0.36432263255119324,0.13254697620868683,0.19990648329257965,0.19087764620780945,0.22009238600730896,0.15899154543876648,0.2634240984916687,-0.17809884250164032,0.36967232823371887
wholly,0.3131820261478424,0.21853242814540863,0.12723933160305023,0.13956308364868164,0.20498932898044586,0.1459360420703888,0.15939582884311676,-0.23192396759986877,0.2409968376159668
owned,0.12432919442653656,0.28046050667762756,0.28269392251968384,0.2970026433467865,0.321108877658844,0.2405787706375122,0.22438469529151917,-0.0722915455698967,0.1288648396730423
international,0.10870302468538284,0.1845911592245102,0.22185437381267548,0.2003825306892395,0.18733210861682892,0.13385500013828278,0.26377472281455994,-0.03476310893893242,0.15335838496685028
networks,0.18279550969600677,0.8756695985794067,0.169170543551445,0.2591915428638458,0.24484656751155853,0.350273072719574,0.17525765299797058,-0.1921093761920929,0.17815114557743073
was,0.22111038863658905,0.1994880586862564,1.0000001192092896,0.28489428758621216,0.4752357602119446,0.21565799415111542,0.45514053106307983,-0.01421020831912756,0.18412111699581146
revived,0.1789238303899765,0.18230290710926056,0.35525935888290405,0.2787367105484009,0.2818314731121063,0.211515873670578,0.2954840660095215,-0.03556818887591362,0.1299351006746292
in,0.30808621644973755,0.19496823847293854,0.45514053106307983,0.18876992166042328,0.370934396982193,0.1697147786617279,1.0,-0.20274123549461365,0.20430970191955566
2004,-0.2636275589466095,-0.15936748683452606,-0.01421020831912756,-0.09724671393632889,-0.043635208159685135,-0.04643192142248154,-0.20274123549461365,1.0000001192092896,-0.15923042595386505
when,0.4700249433517456,0.19011130928993225,0.37326499819755554,0.20492124557495117,0.4376842677593231,0.13294127583503723,0.4431333839893341,-0.2735671103000641,0.22841128706932068
on,0.34226128458976746,0.30190837383270264,0.3909217119216919,0.3055371642112732,0.33887791633605957,0.2862928807735443,0.46853652596473694,-0.18105953931808472,0.2714994251728058
september,0.2153792530298233,0.21962985396385193,0.4425655007362366,0.21691438555717468,0.20146453380584717,0.23585575819015503,0.25402772426605225,0.07351434975862503,0.2665146589279175
27,0.07395181059837341,0.10719262808561325,0.07487557828426361,0.004927325993776321,0.07671927660703659,0.09239796549081802,0.015904199331998825,-0.06356365978717804,0.036716945469379425
