,how,similar,was,the,lisbon,treaty,to,the,constitutional,treaty,?
its,0.22449488937854767,0.3305240869522095,0.3518870174884796,0.559237003326416,0.18452054262161255,0.19110316038131714,0.3691340684890747,0.559237003326416,0.22401699423789978,0.19110316038131714,0.15103481709957123
substance,0.31815022230148315,0.29774922132492065,0.20017051696777344,0.27041906118392944,0.09623207896947861,0.17301616072654724,0.26625680923461914,0.27041906118392944,0.2594109773635864,0.17301616072654724,0.2033585160970688
was,0.16678167879581451,0.20839861035346985,1.0000001192092896,0.48711544275283813,0.22517630457878113,0.2409621626138687,0.3636345863342285,0.48711544275283813,0.2571640908718109,0.2409621626138687,0.18412111699581146
very,0.4865594804286957,0.3664175570011139,0.3183368146419525,0.34171217679977417,0.05831373855471611,0.09668732434511185,0.3902553617954254,0.34171217679977417,0.17551912367343903,0.09668732434511185,0.20864155888557434
similar,0.2738620936870575,0.9999999403953552,0.20839861035346985,0.2963123023509979,0.027525804936885834,0.10919556021690369,0.2888135313987732,0.2963123023509979,0.20732183754444122,0.10919556021690369,0.23309361934661865
to,0.44169697165489197,0.2888135313987732,0.3636345863342285,0.535392165184021,0.22878102958202362,0.1986158937215805,1.0,0.535392165184021,0.2574991285800934,0.1986158937215805,0.29463258385658264
the,0.33890387415885925,0.2963123023509979,0.48711544275283813,1.0,0.28707155585289,0.2690109610557556,0.535392165184021,1.0,0.2926941215991974,0.2690109610557556,0.22068053483963013
proposed,0.24661403894424438,0.27512913942337036,0.2461901754140854,0.23840250074863434,0.13148808479309082,0.22103984653949738,0.28162798285484314,0.23840250074863434,0.38094362616539,0.22103984653949738,0.24553193151950836
constitutional,0.1929270476102829,0.20732183754444122,0.2571640908718109,0.2926941215991974,0.1863180696964264,0.4070098400115967,0.2574991285800934,0.2926941215991974,1.0,0.4070098400115967,0.2199033498764038
treaty,0.15433618426322937,0.10919556021690369,0.2409621626138687,0.2690109610557556,0.3112119436264038,1.0,0.1986158937215805,0.2690109610557556,0.4070098400115967,1.0,0.1174844279885292
