,when,did,he,first,mention,wireless,communication,?
tesla,0.1504557579755783,0.09757418930530548,0.12373391538858414,0.17383763194084167,0.10539977252483368,0.3652113080024719,0.25979727506637573,0.10250775516033173
went,0.262430876493454,0.4810470640659332,0.45040708780288696,0.3095473051071167,0.15160369873046875,0.1914876252412796,0.16336014866828918,0.12109432369470596
on,0.37706470489501953,0.2670976221561432,0.32403138279914856,0.3120559751987457,0.22189904749393463,0.23828737437725067,0.19364863634109497,0.2714994251728058
to,0.5423505902290344,0.4452643394470215,0.385390967130661,0.3792489171028137,0.2876521944999695,0.26774564385414124,0.2763688564300537,0.29463258385658264
pursue,0.2393937110900879,0.24162724614143372,0.34466809034347534,0.17375771701335907,0.22054262459278107,0.11790759861469269,0.21288689970970154,0.1284760683774948
his,0.37120407819747925,0.3546801507472992,0.7171558737754822,0.3241460621356964,0.23194299638271332,0.10785644501447678,0.20740778744220734,0.18075084686279297
ideas,0.288222074508667,0.3357154428958893,0.3057610094547272,0.2208869308233261,0.1815919131040573,0.1348106563091278,0.34076783061027527,0.2857283353805542
of,0.3757161796092987,0.2513895630836487,0.38706058263778687,0.3536086082458496,0.2706054151058197,0.16934619843959808,0.2729943096637726,0.1826142966747284
wireless,0.1706441044807434,0.11166471242904663,0.14222893118858337,0.27411091327667236,0.10874276608228683,1.0,0.5381464958190918,0.08461163192987442
lighting,0.2340172380208969,0.19960185885429382,0.14836272597312927,0.15846022963523865,0.21688975393772125,0.28801587224006653,0.2842816412448883,0.13502714037895203
and,0.4716290831565857,0.34479495882987976,0.45427167415618896,0.3167642652988434,0.2393445372581482,0.22977887094020844,0.31177079677581787,0.20544172823429108
electricity,0.3229100704193115,0.22498734295368195,0.23947882652282715,0.21680541336536407,0.13670657575130463,0.405724436044693,0.35166314244270325,0.17856204509735107
distribution,0.13132691383361816,0.11337858438491821,0.09089908003807068,0.12572358548641205,0.23154135048389435,0.2026362270116806,0.30279287695884705,0.0929616317152977
in,0.4431333839893341,0.2593238651752472,0.41690486669540405,0.4127444326877594,0.2854633927345276,0.22999337315559387,0.18435372412204742,0.20430970191955566
his,0.37120407819747925,0.3546801507472992,0.7171558737754822,0.3241460621356964,0.23194299638271332,0.10785644501447678,0.20740778744220734,0.18075084686279297
high-voltage,0.23169535398483276,0.17168061435222626,0.20904013514518738,0.20548544824123383,0.17079269886016846,0.40414321422576904,0.2988896369934082,0.23572029173374176
",",0.36674630641937256,0.3015086054801941,0.40251094102859497,0.34503069519996643,0.311445951461792,0.2685069143772125,0.25464728474617004,0.31091248989105225
high-frequency,0.2732340097427368,0.15809187293052673,0.19120651483535767,0.2509914040565491,0.1926172375679016,0.39814919233322144,0.3491027355194092,0.22459599375724792
power,0.28225177526474,0.2120266556739807,0.20515447854995728,0.18843717873096466,0.18499401211738586,0.2357572466135025,0.25254401564598083,0.15304024517536163
experiments,0.2910088300704956,0.2717590034008026,0.2241431325674057,0.2777732312679291,0.14860759675502777,0.21982169151306152,0.291357159614563,0.14564716815948486
in,0.4431333839893341,0.2593238651752472,0.41690486669540405,0.4127444326877594,0.2854633927345276,0.22999337315559387,0.18435372412204742,0.20430970191955566
new,0.257220059633255,0.227974995970726,0.2739552855491638,0.3283863663673401,0.1324232667684555,0.28625407814979553,0.197052001953125,0.14782847464084625
york,0.21644815802574158,0.16606222093105316,0.26895642280578613,0.2719916105270386,0.14829382300376892,0.22783243656158447,0.15272128582000732,0.15262620151042938
and,0.4716290831565857,0.34479495882987976,0.45427167415618896,0.3167642652988434,0.2393445372581482,0.22977887094020844,0.31177079677581787,0.20544172823429108
colorado,0.14737550914287567,0.16166602075099945,0.19273489713668823,0.20066532492637634,0.03936566784977913,0.13028153777122498,0.11784979701042175,0.15461322665214539
springs,0.2640158534049988,0.10978550463914871,0.17487819492816925,0.17904724180698395,0.10288403183221817,0.1795915961265564,0.14964251220226288,0.0950024425983429
",",0.36674630641937256,0.3015086054801941,0.40251094102859497,0.34503069519996643,0.311445951461792,0.2685069143772125,0.25464728474617004,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.45427167415618896,0.3167642652988434,0.2393445372581482,0.22977887094020844,0.31177079677581787,0.20544172823429108
made,0.2936893105506897,0.3068731725215912,0.27847591042518616,0.31759878993034363,0.18735994398593903,0.1322362869977951,0.14805428683757782,0.17218779027462006
