,as,of,2008,",",about,what,percentage,of,swedish,students,attended,private,schools,?
over,0.3506779670715332,0.36136594414711,-0.1416286677122116,0.3301127254962921,0.44422563910484314,0.28007611632347107,0.22550354897975922,0.36136594414711,0.18482890725135803,0.23574309051036835,0.17801807820796967,0.16284549236297607,0.1698845475912094,0.25742942094802856
10,0.2482379823923111,0.2777891755104065,0.05284503474831581,0.1734008640050888,0.15065409243106842,0.11840458959341049,0.14782166481018066,0.2777891755104065,0.11407030373811722,0.15871745347976685,0.1589754968881607,0.10109081864356995,0.25967565178871155,0.022911956533789635
%,0.11994056403636932,0.19953428208827972,-0.006196762900799513,0.22757403552532196,0.2035314440727234,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.12502148747444153,0.22348105907440186,0.08139271289110184,0.14337216317653656,0.177998885512352,0.21441808342933655
of,0.3886612355709076,1.0,-0.10678710788488388,0.4946078956127167,0.40939709544181824,0.33290785551071167,0.24724560976028442,1.0,0.15661373734474182,0.25513339042663574,0.25085145235061646,0.18706899881362915,0.265506386756897,0.1826142966747284
swedish,0.17718426883220673,0.15661373734474182,0.13320793211460114,0.20123498141765594,0.09670484066009521,0.0756891518831253,0.1387896090745926,0.15661373734474182,1.0,0.131728857755661,0.1519365906715393,0.03890850394964218,0.09846809506416321,0.08206682652235031
pupils,0.1476922482252121,0.17450828850269318,-0.03440365940332413,0.2080644965171814,0.2586788535118103,0.180222749710083,0.17275370657444,0.17450828850269318,0.07937413454055786,0.48713982105255127,0.31726616621017456,0.2570889890193939,0.413528710603714,0.06499303877353668
were,0.3025437891483307,0.34038281440734863,-0.03810051828622818,0.36755475401878357,0.29814305901527405,0.22298263013362885,0.2134767770767212,0.34038281440734863,0.12691470980644226,0.24280844628810883,0.2700204849243164,0.16483961045742035,0.2387605458498001,0.17890112102031708
enrolled,0.24667195975780487,0.23566614091396332,0.0775388702750206,0.2806628942489624,0.20078855752944946,0.1339339166879654,0.21467673778533936,0.23566614091396332,0.1195678636431694,0.5516462326049805,0.5406337976455688,0.3378857970237732,0.4235188961029053,0.09043214470148087
in,0.3887844979763031,0.5696388483047485,-0.0422978475689888,0.5201468467712402,0.39797019958496094,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.18130537867546082,0.2676171064376831,0.2787896692752838,0.21135757863521576,0.2632134258747101,0.20430970191955566
private,0.22101859748363495,0.18706899881362915,0.005949640180915594,0.1899166703224182,0.15895627439022064,0.16778090596199036,0.13822926580905914,0.18706899881362915,0.03890850394964218,0.35454505681991577,0.2956782281398773,1.0,0.4158569872379303,0.14389030635356903
schools,0.21233005821704865,0.265506386756897,-0.031531136482954025,0.2760516405105591,0.21555131673812866,0.1820785105228424,0.1464802473783493,0.265506386756897,0.09846809506416321,0.6169943809509277,0.46369069814682007,0.4158569872379303,1.0,0.18349280953407288
in,0.3887844979763031,0.5696388483047485,-0.0422978475689888,0.5201468467712402,0.39797019958496094,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.18130537867546082,0.2676171064376831,0.2787896692752838,0.21135757863521576,0.2632134258747101,0.20430970191955566
2008,-0.05947152525186539,-0.10678710788488388,1.0,-0.008566685020923615,-0.20593971014022827,-0.19703538715839386,-0.015511846169829369,-0.10678710788488388,0.13320793211460114,-0.04699748754501343,0.09640464186668396,0.005949640180915594,-0.031531136482954025,-0.09852470457553864
.,0.515582263469696,0.5352458953857422,-0.01312112994492054,0.6812511086463928,0.42038556933403015,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.1936822086572647,0.2607303857803345,0.2017192840576172,0.2534593939781189,0.2752705216407776,0.4130953550338745
