,the,aim,of,the,french,competition,law,was,to,do,what,?
the,1.0,0.24024337530136108,0.733189046382904,1.0,0.2555147111415863,0.257230669260025,0.24548950791358948,0.48711544275283813,0.535392165184021,0.30239659547805786,0.42745697498321533,0.22068053483963013
aim,0.24024337530136108,1.0,0.1749214082956314,0.24024337530136108,0.12477656453847885,0.2302209883928299,0.11063683032989502,0.15709270536899567,0.3219028115272522,0.15485148131847382,0.25839361548423767,0.14447996020317078
of,0.733189046382904,0.1749214082956314,1.0,0.733189046382904,0.19450366497039795,0.2000187635421753,0.2816956341266632,0.4069072902202606,0.41548454761505127,0.26150479912757874,0.33290785551071167,0.1826142966747284
the,1.0,0.24024337530136108,0.733189046382904,1.0,0.2555147111415863,0.257230669260025,0.24548950791358948,0.48711544275283813,0.535392165184021,0.30239659547805786,0.42745697498321533,0.22068053483963013
law,0.24548950791358948,0.11063683032989502,0.2816956341266632,0.24548950791358948,0.17307616770267487,0.15385602414608002,1.0000001192092896,0.21553055942058563,0.259207159280777,0.193905308842659,0.2145031988620758,0.1528988480567932
was,0.48711544275283813,0.15709270536899567,0.4069072902202606,0.48711544275283813,0.2523815333843231,0.23262746632099152,0.21553055942058563,1.0000001192092896,0.3636345863342285,0.11523093283176422,0.22111038863658905,0.18412111699581146
to,0.535392165184021,0.3219028115272522,0.41548454761505127,0.535392165184021,0.1713797152042389,0.20617300271987915,0.259207159280777,0.3636345863342285,1.0,0.38876664638519287,0.455847829580307,0.29463258385658264
prevent,0.2841009497642517,0.34050390124320984,0.22669163346290588,0.2841009497642517,0.12219506502151489,0.11163396388292313,0.19379396736621857,0.1549692153930664,0.3492564558982849,0.32342812418937683,0.2723881006240845,0.2547389566898346
cut,0.29221418499946594,0.12143043428659439,0.26061776280403137,0.29221418499946594,0.18295730650424957,0.09444668143987656,0.08935988694429398,0.21575933694839478,0.27572008967399597,0.17950715124607086,0.20727719366550446,0.1403924524784088
throat,0.23695605993270874,0.19445210695266724,0.16914406418800354,0.23695605993270874,0.17593906819820404,0.16294652223587036,0.09628313779830933,0.16296078264713287,0.2050221562385559,0.1337393820285797,0.13968020677566528,0.18475991487503052
competition,0.257230669260025,0.2302209883928299,0.2000187635421753,0.257230669260025,0.17896367609500885,1.0000001192092896,0.15385602414608002,0.23262746632099152,0.20617300271987915,0.13865432143211365,0.18313148617744446,0.1394461691379547
",",0.4933079481124878,0.18643592298030853,0.4946078956127167,0.4933079481124878,0.28806620836257935,0.2820526659488678,0.24953721463680267,0.45456063747406006,0.44245919585227966,0.3283645510673523,0.3087472915649414,0.31091248989105225
not,0.4310511648654938,0.21050581336021423,0.3307090103626251,0.4310511648654938,0.14757536351680756,0.22046951949596405,0.2588513493537903,0.2888734042644501,0.5149973034858704,0.6619802713394165,0.5449194312095642,0.41942933201789856
to,0.535392165184021,0.3219028115272522,0.41548454761505127,0.535392165184021,0.1713797152042389,0.20617300271987915,0.259207159280777,0.3636345863342285,1.0,0.38876664638519287,0.455847829580307,0.29463258385658264
hinder,0.2675502896308899,0.2423437386751175,0.20357733964920044,0.2675502896308899,0.11581341177225113,0.1220431923866272,0.19411614537239075,0.1305149793624878,0.32891520857810974,0.28934988379478455,0.2458704560995102,0.2627600431442261
trade,0.2681608200073242,0.16032470762729645,0.2310105711221695,0.2681608200073242,0.12522144615650177,0.2174813151359558,0.18727585673332214,0.19989590346813202,0.2781698405742645,0.14147600531578064,0.1555381417274475,0.09336511790752411
.,0.5934505462646484,0.11758387833833694,0.5352458953857422,0.5934505462646484,0.2480926215648651,0.2138785570859909,0.24482665956020355,0.40146201848983765,0.4645031690597534,0.3613996207714081,0.3567904531955719,0.4130953550338745
