,geographically,speaking,",",where,is,california,'s,north,-,south,midway,point,in,terms,of,latitude,?
geographically,1.0,0.268097847700119,0.28405898809432983,0.31281548738479614,0.27485013008117676,0.1441492885351181,-0.014040961861610413,0.31843245029449463,0.14910286664962769,0.3750186562538147,0.18539069592952728,0.26970982551574707,0.26944440603256226,0.24308189749717712,0.3162407875061035,0.461078017950058,0.13908208906650543
",",0.28405898809432983,0.2840890884399414,1.0000001192092896,0.3149496018886566,0.4691906273365021,0.2704589068889618,-0.0016132977325469255,0.31834840774536133,0.42609795928001404,0.3256652057170868,0.21956577897071838,0.28971099853515625,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.20135365426540375,0.31091248989105225
california,0.1441492885351181,0.1389896124601364,0.2704589068889618,0.21259644627571106,0.20727038383483887,1.0,-0.0475497767329216,0.24246975779533386,0.15235690772533417,0.23509563505649567,0.20320716500282288,0.13981984555721283,0.2772824168205261,0.11539845913648605,0.24929828941822052,0.17553399503231049,0.1409905105829239
's,-0.014040961861610413,0.0539076030254364,-0.0016132977325469255,0.0007701900321990252,0.02396530658006668,-0.0475497767329216,0.9999999403953552,0.06196961551904678,0.00623386912047863,0.06268392503261566,0.05582626163959503,0.0017411779845133424,-0.037580832839012146,0.05377542972564697,-0.03817026689648628,0.08424856513738632,-0.023395681753754616
north-south,0.3698398172855377,0.1561269909143448,0.3310380280017853,0.2679256796836853,0.27193978428840637,0.3335069715976715,0.014048530720174313,0.8284826874732971,0.2697696089744568,0.7842404842376709,0.3676582872867584,0.24729172885417938,0.36291244626045227,0.15765050053596497,0.328252911567688,0.43414703011512756,0.15908949077129364
midway,0.18539069592952728,0.17382444441318512,0.21956577897071838,0.20223812758922577,0.15757717192173004,0.20320716500282288,0.05582626163959503,0.32066410779953003,0.14457422494888306,0.27312344312667847,0.9999999403953552,0.29194363951683044,0.2069953978061676,0.17469419538974762,0.22770573198795319,0.2380785197019577,0.15556642413139343
point,0.26970982551574707,0.11477986723184586,0.28971099853515625,0.3279148042201996,0.29601794481277466,0.13981984555721283,0.0017411779845133424,0.21255096793174744,0.16346703469753265,0.1889701932668686,0.29194363951683044,0.9999998807907104,0.24451331794261932,0.24161116778850555,0.269877165555954,0.3008999526500702,0.19189560413360596
lies,0.3593423664569855,0.20858456194400787,0.26650306582450867,0.21897755563259125,0.38107678294181824,0.11881481111049652,0.04500377178192139,0.3728911578655243,0.11620007455348969,0.34641316533088684,0.16843071579933167,0.30690982937812805,0.27506011724472046,0.12446882575750351,0.28165045380592346,0.3171049952507019,0.14148172736167908
at,0.1569909006357193,0.17915105819702148,0.38314947485923767,0.4402937591075897,0.25906258821487427,0.256734162569046,-0.08481216430664062,0.2535056173801422,0.23484356701374054,0.21806499361991882,0.3272069990634918,0.3500237762928009,0.4374977946281433,0.12392114847898483,0.42558613419532776,0.25252798199653625,0.21978627145290375
exactly,0.2901589870452881,0.2128581702709198,0.2190619707107544,0.35177111625671387,0.26177722215652466,0.12883125245571136,0.062135517597198486,0.15611889958381653,0.16919347643852234,0.11938992887735367,0.142637237906456,0.2687390148639679,0.19650237262248993,0.295138418674469,0.24229927361011505,0.2972713112831116,0.35508325695991516
