,were,the,tapes,able,to,be,restored,and,processed,without,destroying,historical,legitimacy,or,did,some,aspects,of,the,tapes,lose,legitimacy,?
the,0.3906462490558624,1.0,0.2105327844619751,0.3435857892036438,0.535392165184021,0.4248143136501312,0.29931989312171936,0.5171257257461548,0.23136241734027863,0.3270869255065918,0.29523634910583496,0.30835282802581787,0.22425152361392975,0.4174870550632477,0.34736719727516174,0.4566698372364044,0.2620294690132141,0.733189046382904,1.0,0.2105327844619751,0.29030492901802063,0.22425152361392975,0.22068053483963013
video,0.17028473317623138,0.2506899833679199,0.3953835666179657,0.1810002624988556,0.18658137321472168,0.20588204264640808,0.1651637703180313,0.22093096375465393,0.22077354788780212,0.15588438510894775,0.1888572871685028,0.12317659705877304,0.17088982462882996,0.18382734060287476,0.16985929012298584,0.19573962688446045,0.21867282688617706,0.20452004671096802,0.2506899833679199,0.3953835666179657,0.1146528497338295,0.17088982462882996,0.22771678864955902
was,0.590133786201477,0.48711544275283813,0.16740727424621582,0.19031302630901337,0.3636345863342285,0.42228707671165466,0.27928102016448975,0.3740963041782379,0.11998200416564941,0.18635936081409454,0.18658484518527985,0.18540561199188232,0.18267583847045898,0.2330796718597412,0.41399896144866943,0.21528802812099457,0.15950116515159607,0.4069072902202606,0.48711544275283813,0.16740727424621582,0.1366295963525772,0.18267583847045898,0.18412111699581146
processed,0.17015735805034637,0.23136241734027863,0.3055626451969147,0.24212674796581268,0.24999067187309265,0.3694058358669281,0.25061455368995667,0.20326650142669678,1.0,0.27479851245880127,0.24125245213508606,0.12533292174339294,0.11496112495660782,0.3390004634857178,0.1626400202512741,0.28451070189476013,0.2973600924015045,0.20755821466445923,0.23136241734027863,0.3055626451969147,0.14984920620918274,0.11496112495660782,0.2396588921546936
to,0.31913647055625916,0.535392165184021,0.26465630531311035,0.529755175113678,1.0,0.4972836375236511,0.2595904469490051,0.48971283435821533,0.24999067187309265,0.37970873713493347,0.20193879306316376,0.22193273901939392,0.20974260568618774,0.38921234011650085,0.4452643394470215,0.4636894166469574,0.23851177096366882,0.41548454761505127,0.535392165184021,0.26465630531311035,0.33073529601097107,0.20974260568618774,0.29463258385658264
remove,0.19405558705329895,0.28754451870918274,0.17548497021198273,0.3139001727104187,0.37910619378089905,0.3805224895477295,0.3275391459465027,0.24159342050552368,0.26678669452667236,0.3634043335914612,0.2733449637889862,0.11416073143482208,0.22122648358345032,0.33999931812286377,0.24351777136325836,0.3136674761772156,0.15010425448417664,0.24050778150558472,0.28754451870918274,0.17548497021198273,0.3930460512638092,0.22122648358345032,0.32355964183807373
random,0.15666955709457397,0.20769751071929932,0.3443552255630493,0.249763622879982,0.2618999183177948,0.2883860170841217,0.14771585166454315,0.22445151209831238,0.2712768018245697,0.27518942952156067,0.2101786732673645,0.14734624326229095,0.12041611224412918,0.2906387448310852,0.11462688446044922,0.23676538467407227,0.1688944697380066,0.25178858637809753,0.20769751071929932,0.3443552255630493,0.22231575846672058,0.12041611224412918,0.23617395758628845
noise,0.15847747027873993,0.2197163999080658,0.2974681258201599,0.2280433475971222,0.19895780086517334,0.2570509910583496,0.06524652987718582,0.19606049358844757,0.2048780769109726,0.2346516251564026,0.25974002480506897,0.062460463494062424,0.13283288478851318,0.25854945182800293,0.15751013159751892,0.22579652070999146,0.14743970334529877,0.1370127946138382,0.2197163999080658,0.2974681258201599,0.13890357315540314,0.13283288478851318,0.17705823481082916
and,0.42175528407096863,0.5171257257461548,0.2145281732082367,0.3303895890712738,0.48971283435821533,0.41766801476478577,0.25671181082725525,1.0,0.20326650142669678,0.35511502623558044,0.2887594699859619,0.21805961430072784,0.197220116853714,0.4713204801082611,0.34479495882987976,0.5337774157524109,0.2787165641784668,0.5116966962814331,0.5171257257461548,0.2145281732082367,0.3096105754375458,0.197220116853714,0.20544172823429108
camera,0.15861237049102783,0.20394366979599,0.3446289598941803,0.25066831707954407,0.19477353990077972,0.1711338758468628,0.16146531701087952,0.1635666936635971,0.225317120552063,0.15122686326503754,0.19675561785697937,0.1262255758047104,0.17672178149223328,0.1757884919643402,0.18171916902065277,0.23116594552993774,0.18462930619716644,0.14369241893291473,0.20394366979599,0.3446289598941803,0.13685964047908783,0.17672178149223328,0.13050545752048492
