,what,was,the,population,of,the,dutch,republic,before,this,emigration,?
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.20733799040317535,0.45148900151252747,0.6274310946464539,0.1736011654138565,0.15759612619876862,0.39637717604637146,0.9999999403953552,0.2942411005496979,0.3155723512172699
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.1935066133737564,0.4069072902202606,0.48711544275283813,0.2182149887084961,0.21385665237903595,0.38607707619667053,0.3638818562030792,0.2244795709848404,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2345738559961319,0.5052502155303955,0.5829201340675354,0.1946597695350647,0.12861405313014984,0.3583870828151703,0.5422310829162598,0.22660602629184723,0.23916715383529663
huge,0.2735622227191925,0.2334039807319641,0.3726782202720642,0.17490564286708832,0.3424051105976105,0.3726782202720642,0.048586998134851456,0.10702714323997498,0.21560457348823547,0.38019368052482605,0.23273687064647675,0.13631469011306763
influx,0.27311959862709045,0.23618091642856598,0.28336063027381897,0.2776494026184082,0.3199383020401001,0.28336063027381897,0.22826498746871948,0.14614026248455048,0.22247682511806488,0.38214901089668274,0.33804911375045776,0.20984752476215363
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.22002090513706207,0.3886612355709076,0.48381632566452026,0.20572681725025177,0.16572731733322144,0.3552539646625519,0.43993282318115234,0.18644748628139496,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,1.0,0.32044094800949097,0.733189046382904,1.0,0.1705695390701294,0.2862427830696106,0.45900648832321167,0.6274310946464539,0.33268171548843384,0.22068053483963013
entire,0.37562522292137146,0.2562327980995178,0.4870373010635376,0.25063297152519226,0.3766143023967743,0.4870373010635376,0.08500679582357407,0.17489968240261078,0.34321117401123047,0.47686314582824707,0.23074981570243835,0.17068447172641754
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,1.0,0.3060894012451172,0.32044094800949097,0.11812550574541092,0.23436875641345978,0.11052656173706055,0.20733799040317535,0.3602127134799957,0.14449454843997955
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3060894012451172,1.0,0.733189046382904,0.14408773183822632,0.2802940905094147,0.3282964527606964,0.45148900151252747,0.28587231040000916,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.32044094800949097,0.733189046382904,1.0,0.1705695390701294,0.2862427830696106,0.45900648832321167,0.6274310946464539,0.33268171548843384,0.22068053483963013
dutch,0.1643560230731964,0.2182149887084961,0.1705695390701294,0.11812550574541092,0.14408773183822632,0.1705695390701294,0.9999999403953552,0.21594777703285217,0.1447805017232895,0.1736011654138565,0.17033758759498596,0.1081366017460823
republic,0.18626701831817627,0.21385665237903595,0.2862427830696106,0.23436875641345978,0.2802940905094147,0.2862427830696106,0.21594777703285217,0.9999999403953552,0.1532094031572342,0.15759612619876862,0.24219952523708344,0.16880398988723755
amounted,0.18935327231884003,0.22358185052871704,0.34507474303245544,0.2499387264251709,0.2884308993816376,0.34507474303245544,0.12599702179431915,0.16639162600040436,0.19490918517112732,0.3338293135166168,0.2461981177330017,0.12520678341388702
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.19776633381843567,0.41548454761505127,0.535392165184021,0.1383991241455078,0.17235471308231354,0.4190867841243744,0.5759071707725525,0.2972380816936493,0.29463258385658264
ca,0.17557676136493683,0.15224440395832062,0.15812695026397705,0.19314579665660858,0.16882166266441345,0.15812695026397705,0.10500922054052353,0.10359302163124084,0.14715366065502167,0.1300790011882782,0.16660809516906738,0.1928514987230301
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26950228214263916,0.5352458953857422,0.5934505462646484,0.2196396291255951,0.23547469079494476,0.36693984270095825,0.500583827495575,0.29217660427093506,0.4130953550338745
