,if,the,apparant,force,of,two,fermions,is,repulsive,",",what,is,the,spin,function,?
electrons,0.33898746967315674,0.2109822928905487,0.22523336112499237,0.2974533140659332,0.1921376883983612,0.27902093529701233,0.6401180028915405,0.20416733622550964,0.3056277334690094,0.2110055536031723,0.23107858002185822,0.20416733622550964,0.2109822928905487,0.4019731283187866,0.2898680567741394,0.15516111254692078
),0.2878422141075134,0.3456730246543884,0.18483677506446838,0.19671578705310822,0.3680361211299896,0.24161455035209656,0.16863825917243958,0.37732169032096863,0.17356334626674652,0.63033527135849,0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1157236322760582,0.24718981981277466,0.42300865054130554
have,0.48852935433387756,0.40389683842658997,0.32547152042388916,0.17953111231327057,0.3802283704280853,0.4498785734176636,0.35145947337150574,0.3613572418689728,0.26408788561820984,0.3541618287563324,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.22386278212070465,0.2885133922100067,0.32991164922714233
a,0.41272827982902527,0.5829201340675354,0.35066720843315125,0.2451154738664627,0.5052502155303955,0.3289857804775238,0.22818009555339813,0.658733606338501,0.22494706511497498,0.427140474319458,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2491714507341385,0.20934805274009705,0.23916715383529663
symmetric,0.28436464071273804,0.19091804325580597,0.2297881543636322,0.23693890869617462,0.21945500373840332,0.28072014451026917,0.4030359089374542,0.20811855792999268,0.2749177813529968,0.14555411040782928,0.23639118671417236,0.20811855792999268,0.19091804325580597,0.25140535831451416,0.3671969771385193,0.16586486995220184
spin,0.21929828822612762,0.22827482223510742,0.12540528178215027,0.27443912625312805,0.1442040354013443,0.2192729413509369,0.4436461925506592,0.17025168240070343,0.16926880180835724,0.21235895156860352,0.1801164597272873,0.17025168240070343,0.22827482223510742,1.0000001192092896,0.12533028423786163,0.10766658186912537
function,0.4055565595626831,0.2037137746810913,0.280316561460495,0.1733032464981079,0.16667552292346954,0.16746540367603302,0.27031823992729187,0.17586156725883484,0.20793063938617706,0.18487244844436646,0.22155974805355072,0.17586156725883484,0.2037137746810913,0.12533028423786163,1.0,0.20672395825386047
(,0.26899856328964233,0.33289089798927307,0.18866685032844543,0.17529799044132233,0.35032153129577637,0.2169162482023239,0.16838988661766052,0.35393038392066956,0.18541555106639862,0.6363511681556702,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.11182379722595215,0.25402042269706726,0.40561532974243164
e.g,0.0028317489195615053,0.08954983949661255,-0.02296357788145542,-0.019040172919631004,0.017287904396653175,0.07562107592821121,0.04250777140259743,0.02077377215027809,0.01707891933619976,-0.1017751693725586,0.044121697545051575,0.02077377215027809,0.08954983949661255,0.122115857899189,-0.04341528192162514,-0.03681480139493942
.,0.421799898147583,0.5934505462646484,0.3091103732585907,0.2783275842666626,0.5352458953857422,0.3524959683418274,0.2509286403656006,0.4569662809371948,0.18300119042396545,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2699195146560669,0.253307044506073,0.4130953550338745
