,when,was,warsaw,completely,razed,to,the,ground,by,bombing,raids,?
warsaw,0.1615014374256134,0.2614976763725281,1.0,0.148403599858284,0.1540178507566452,0.1953994333744049,0.23137180507183075,0.19688445329666138,0.15291538834571838,0.25312286615371704,0.24604369699954987,0.09769917279481888
's,-0.03368149697780609,0.008974763564765453,0.02839025668799877,0.07467102259397507,0.0005327131948433816,0.03782717138528824,-0.01540423184633255,0.002188320504501462,-0.010884488001465797,-0.007629131432622671,0.01074194349348545,-0.023395681753754616
mixture,0.2316603809595108,0.19169344007968903,0.07589977234601974,0.23032832145690918,0.2090764343738556,0.2140398621559143,0.1835496872663498,0.2425583153963089,0.1752292662858963,0.09691151231527328,0.1438307762145996,0.17455407977104187
of,0.3757161796092987,0.4069072902202606,0.19253842532634735,0.25305259227752686,0.18167026340961456,0.41548454761505127,0.733189046382904,0.22660790383815765,0.3646814823150635,0.21663789451122284,0.19479797780513763,0.1826142966747284
architectural,0.11113786697387695,0.22371706366539001,0.18325236439704895,0.16626861691474915,0.19765035808086395,0.21768918633460999,0.22612835466861725,0.11418289691209793,0.1675952970981598,0.1721520572900772,0.09246000647544861,0.13917183876037598
styles,0.18473206460475922,0.13449566066265106,0.08955260366201401,0.18309392035007477,0.19452396035194397,0.2217324674129486,0.18202731013298035,0.04936906695365906,0.20417560636997223,0.10239856690168381,0.08194895088672638,0.22563885152339935
reflects,0.21831895411014557,0.13429376482963562,0.11123961955308914,0.24143202602863312,0.1470852941274643,0.18416354060173035,0.31027597188949585,0.16400906443595886,0.24578072130680084,0.08407822251319885,0.11777931451797485,0.13998140394687653
the,0.5091903209686279,0.48711544275283813,0.23137180507183075,0.342624306678772,0.20936115086078644,0.535392165184021,1.0,0.25776049494743347,0.4408751428127289,0.25177767872810364,0.30156177282333374,0.22068053483963013
turbulent,0.3086129426956177,0.2386719286441803,0.15576821565628052,0.2726283073425293,0.2547803521156311,0.2569705545902252,0.26291099190711975,0.2826414108276367,0.23166261613368988,0.16313152015209198,0.22480109333992004,0.18949764966964722
history,0.24001719057559967,0.25589004158973694,0.14789769053459167,0.1419384479522705,0.09583389014005661,0.24226762354373932,0.33215048909187317,0.10703910887241364,0.17996156215667725,0.19665323197841644,0.13660357892513275,0.2501974403858185
