,what,is,warsaw,'s,name,in,the,polish,language,?
warsaw,0.10373849421739578,0.09741193056106567,1.0,0.02839025668799877,0.07886209338903427,0.22642600536346436,0.23137180507183075,0.6311136484146118,0.14154331386089325,0.09769917279481888
's,0.02692362666130066,0.02396530658006668,0.02839025668799877,0.9999999403953552,0.08507627248764038,-0.037580832839012146,-0.01540423184633255,0.047667719423770905,-0.03558342531323433,-0.023395681753754616
name,0.18623162806034088,0.3359788954257965,0.07886209338903427,0.08507627248764038,1.0,0.2459065467119217,0.3171212375164032,0.14126770198345184,0.24100416898727417,0.15381577610969543
in,0.30808621644973755,0.5394441485404968,0.22642600536346436,-0.037580832839012146,0.2459065467119217,1.0,0.6662389636039734,0.1896398365497589,0.23268210887908936,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.23137180507183075,-0.01540423184633255,0.3171212375164032,0.6662389636039734,1.0,0.17708231508731842,0.30198320746421814,0.22068053483963013
polish,0.08233486860990524,0.14989061653614044,0.6311136484146118,0.047667719423770905,0.14126770198345184,0.1896398365497589,0.17708231508731842,1.0,0.18849898874759674,0.14012759923934937
language,0.28220435976982117,0.270936518907547,0.14154331386089325,-0.03558342531323433,0.24100416898727417,0.23268210887908936,0.30198320746421814,0.18849898874759674,0.9999998807907104,0.25349316000938416
is,0.28837618231773376,1.0,0.09741193056106567,0.02396530658006668,0.3359788954257965,0.5394441485404968,0.5823672413825989,0.14989061653614044,0.270936518907547,0.22961433231830597
warszawa,0.10578237473964691,0.14272388815879822,0.5773555040359497,0.005772850941866636,0.16953648626804352,0.21249134838581085,0.20702846348285675,0.4174444079399109,0.20533989369869232,0.16275280714035034
",",0.3087472915649414,0.4691906273365021,0.25300899147987366,-0.0016132977325469255,0.28145334124565125,0.5201468467712402,0.4933079481124878,0.2655222415924072,0.2694627344608307,0.31091248989105225
approximately,0.21610312163829803,0.2724578380584717,0.1847381591796875,0.017990030348300934,0.07034071534872055,0.3145860731601715,0.33137547969818115,0.16094088554382324,0.18755531311035156,0.10237617790699005
/vɑːrˈʃɑːvə/,0.1926191747188568,0.074786476790905,0.248965322971344,-0.08470857888460159,0.048754531890153885,0.18870094418525696,0.1408877819776535,0.19782327115535736,0.22085484862327576,0.159733846783638
(,0.2411840260028839,0.35393038392066956,0.1835584193468094,0.0012731997994706035,0.2706909477710724,0.3087427020072937,0.33289089798927307,0.19593769311904907,0.19353517889976501,0.40561532974243164
also,0.42747777700424194,0.5012649297714233,0.16331592202186584,-0.0014726108638569713,0.34663957357406616,0.5073733329772949,0.6021018624305725,0.1757330447435379,0.29006239771842957,0.21848613023757935
formerly,0.1585959643125534,0.3130042850971222,0.1490187793970108,0.015445336699485779,0.29912957549095154,0.25645580887794495,0.2854805290699005,0.13430634140968323,0.18292784690856934,0.0843876302242279
spelled,0.15883488953113556,0.2914513647556305,0.061184436082839966,0.016944941133260727,0.38674718141555786,0.22594206035137177,0.2190741002559662,0.11737572401762009,0.2721412777900696,0.13924984633922577
warszewa,0.14544449746608734,0.19569571316242218,0.6103598475456238,0.03782446309924126,0.22648343443870544,0.27662786841392517,0.2712683379650116,0.4901088774204254,0.2813013195991516,0.20756083726882935
