,in,what,city,did,the,last,super,bowl,in,california,occur,?
it,0.5130809545516968,0.45803478360176086,0.3001909852027893,0.2993364930152893,0.6251175999641418,0.23236626386642456,0.19638319313526154,0.1748591959476471,0.5130809545516968,0.1883031278848648,0.2618412375450134,0.25732165575027466
is,0.5394441485404968,0.28837618231773376,0.3186660706996918,0.19247472286224365,0.5823672413825989,0.2445172220468521,0.15390309691429138,0.14233897626399994,0.5394441485404968,0.20727038383483887,0.24761207401752472,0.22961433231830597
the,0.6662389636039734,0.42745697498321533,0.35769423842430115,0.34736719727516174,1.0,0.3698786795139313,0.21959073841571808,0.21576224267482758,0.6662389636039734,0.2750805914402008,0.26611819863319397,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.20456640422344208,0.33691170811653137,0.49448907375335693,0.5431418418884277,0.2717077434062958,0.20817767083644867,0.4127444326877594,0.20105555653572083,0.16797398030757904,0.18701928853988647
super,0.18576006591320038,0.13651713728904724,0.14329007267951965,0.16038043797016144,0.21959073841571808,0.17231976985931396,1.0000001192092896,0.4848237931728363,0.18576006591320038,0.15213294327259064,0.11359338462352753,0.166326642036438
bowl,0.17236235737800598,0.15942467749118805,0.18699099123477936,0.18569406867027283,0.21576224267482758,0.20327796041965485,0.4848237931728363,1.0,0.17236235737800598,0.22235432267189026,0.11763250827789307,0.21118052303791046
held,0.3127288818359375,0.0974166989326477,0.21825216710567474,0.18607917428016663,0.32185450196266174,0.20021413266658783,0.1602509617805481,0.1913566142320633,0.3127288818359375,0.17937809228897095,0.22969286143779755,0.14103956520557404
in,1.0,0.30808621644973755,0.3911624252796173,0.2593238651752472,0.6662389636039734,0.30714505910873413,0.18576006591320038,0.17236235737800598,1.0,0.2772824168205261,0.26916563510894775,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.35769423842430115,0.34736719727516174,1.0,0.3698786795139313,0.21959073841571808,0.21576224267482758,0.6662389636039734,0.2750805914402008,0.26611819863319397,0.22068053483963013
san,0.2617562413215637,0.19375550746917725,0.32193511724472046,0.1785750538110733,0.2858080565929413,0.15585462749004364,0.15279507637023926,0.18508543074131012,0.2617562413215637,0.5170050263404846,0.03446132689714432,0.10952327400445938
francisco,0.21278683841228485,0.17887917160987854,0.26995041966438293,0.1959451586008072,0.25086042284965515,0.16255201399326324,0.1658499836921692,0.20152677595615387,0.21278683841228485,0.5200812816619873,0.04481927677989006,0.1020219698548317
bay,0.1926257163286209,0.20251236855983734,0.23851460218429565,0.05503932014107704,0.2441686987876892,0.1800021380186081,0.12241406738758087,0.1972428411245346,0.1926257163286209,0.272103875875473,0.09354530274868011,0.10773546993732452
