,what,rates,of,health,and,social,problems,are,in,countries,with,high,inequality,?
british,0.19255435466766357,0.1188189908862114,0.23701532185077667,0.1578681468963623,0.325880765914917,0.17898200452327728,0.12868154048919678,0.12250547111034393,0.23084034025669098,0.2192615270614624,0.1637800633907318,0.10205645859241486,0.1219332367181778,0.09711728990077972
researchers,0.29493099451065063,0.30384811758995056,0.23457743227481842,0.3263973891735077,0.2865251898765564,0.25659921765327454,0.2729051411151886,0.33773449063301086,0.23347842693328857,0.27062323689460754,0.20172381401062012,0.15547659993171692,0.26202505826950073,0.14480042457580566
richard,0.19329693913459778,0.08292075991630554,0.2227524220943451,0.10134519636631012,0.22443673014640808,0.05272114649415016,0.09825029969215393,0.12684200704097748,0.23321768641471863,0.12045405805110931,0.16466177999973297,0.07592549175024033,0.07163546234369278,0.15003317594528198
g.,0.07836534082889557,0.00045350228901952505,0.08489017188549042,0.08543162047863007,0.036207571625709534,0.07893407344818115,0.06472210586071014,0.0444214902818203,0.060942068696022034,0.03131594881415367,0.04308202117681503,-0.07028907537460327,0.11615269631147385,0.1585112065076828
wilkinson,0.19103412330150604,0.1519581526517868,0.21511130034923553,0.2323635369539261,0.32041966915130615,0.1871601790189743,0.1660344898700714,0.14260241389274597,0.2663007378578186,0.0318184532225132,0.2344539612531662,0.14274780452251434,0.21465228497982025,0.16808927059173584
and,0.31309178471565247,0.2589600086212158,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.48576638102531433,0.4954058527946472,0.37200918793678284,0.5477725267410278,0.2911888659000397,0.2590520679950714,0.20544172823429108
kate,0.1822696328163147,0.12285072356462479,0.08729267120361328,0.09731198847293854,0.2076733410358429,0.1802108734846115,0.12195709347724915,0.15677955746650696,0.1955506056547165,0.07216330617666245,0.18139097094535828,0.11723728477954865,0.05884441360831261,0.13810789585113525
pickett,0.21149326860904694,0.10206524282693863,0.17273010313510895,0.1474691778421402,0.24974514544010162,0.10927283763885498,0.1314532458782196,0.13519151508808136,0.15635621547698975,0.07149326056241989,0.1623300164937973,0.13727447390556335,0.2089521437883377,0.19584017992019653
have,0.39808809757232666,0.28337380290031433,0.3802283704280853,0.2750714123249054,0.4711785912513733,0.2098868191242218,0.35452309250831604,0.6577680706977844,0.36843645572662354,0.3603367507457733,0.48046383261680603,0.2406233847141266,0.2617298364639282,0.32991164922714233
found,0.1796332150697708,0.1947016417980194,0.2982911467552185,0.16176854074001312,0.27978911995887756,0.17261944711208344,0.1616072952747345,0.2740558087825775,0.39141854643821716,0.16627737879753113,0.2364431470632553,0.16688138246536255,0.11657499521970749,0.16790300607681274
higher,0.2538340389728546,0.4424194395542145,0.3096220791339874,0.21500584483146667,0.3147866129875183,0.26766929030418396,0.2454357147216797,0.2964613437652588,0.23285751044750214,0.22563675045967102,0.20294103026390076,0.5695294737815857,0.3147837817668915,0.15679465234279633
rates,0.2148645967245102,1.0,0.2585311233997345,0.3469219505786896,0.2589600086212158,0.23757560551166534,0.29856279492378235,0.2806459367275238,0.26258307695388794,0.3451427221298218,0.19053985178470612,0.36107149720191956,0.3752773702144623,0.13808594644069672
