,what,type,of,rally,was,held,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.16509126126766205,0.45514053106307983,0.3127288818359375,0.20430970191955566
addition,0.20643717050552368,0.1775611788034439,0.27503931522369385,0.1414058655500412,0.2078816294670105,0.16432170569896698,0.19187232851982117
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19103999435901642,0.45456063747406006,0.2880980372428894,0.31091248989105225
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.10248187929391861,0.24909798800945282,0.26702648401260376,0.29405656456947327
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.13035930693149567,0.3076191842556,0.18270234763622284,0.24591213464736938
$,0.24858909845352173,0.13750937581062317,0.11268499493598938,0.1486259251832962,0.23838669061660767,0.09212309867143631,0.2786129117012024
2,-0.049862053245306015,-0.05958043411374092,-0.013777675107121468,0.08680324256420135,-0.013097384944558144,-0.007922939956188202,0.001977203879505396
million,0.22197039425373077,0.11320874094963074,0.21686489880084991,0.15780416131019592,0.24203833937644958,0.13986122608184814,0.23092924058437347
worth,0.319988876581192,0.12736614048480988,0.19252154231071472,0.08540696650743484,0.20631952583789825,0.09522043913602829,0.3282513916492462
of,0.33290785551071167,0.18112817406654358,1.0,0.1540035754442215,0.4069072902202606,0.28960686922073364,0.1826142966747284
other,0.341873437166214,0.2522227168083191,0.38583824038505554,0.08192127197980881,0.14651623368263245,0.19326095283031464,0.24682199954986572
ancillary,0.24446424841880798,0.2014879435300827,0.28705137968063354,0.21945032477378845,0.22525140643119812,0.20331615209579468,0.24259690940380096
events,0.269866019487381,0.17553694546222687,0.20782610774040222,0.18765810132026672,0.19392384588718414,0.34972846508026123,0.09835197776556015
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19103999435901642,0.45456063747406006,0.2880980372428894,0.31091248989105225
including,0.18328791856765747,0.12051080167293549,0.44195112586021423,0.1365104615688324,0.21884717047214508,0.2145828902721405,0.1633303165435791
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1852307766675949,0.4508470594882965,0.22326228022575378,0.23916715383529663
week-long,0.31365126371383667,0.20958489179611206,0.29825520515441895,0.18845374882221222,0.30538347363471985,0.32776471972465515,0.32830461859703064
event,0.26981404423713684,0.1950307935476303,0.19878064095973969,0.2854289710521698,0.28341150283813477,0.45807647705078125,0.16076280176639557
at,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.17603710293769836,0.36707764863967896,0.3822793960571289,0.21978627145290375
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2156708985567093,0.48711544275283813,0.32185450196266174,0.22068053483963013
santa,0.23841293156147003,0.06276990473270416,0.2417823076248169,0.005172354634851217,0.21287554502487183,0.07573947310447693,0.17321589589118958
clara,0.23403491079807281,0.07481680810451508,0.2643791139125824,0.050950974225997925,0.20408111810684204,0.078465536236763,0.11961202323436737
convention,0.17446810007095337,0.09901113063097,0.2509908974170685,0.2889370322227478,0.21512652933597565,0.2670374810695648,0.1647067815065384
center,0.1908310204744339,0.19124923646450043,0.24526838958263397,0.19000089168548584,0.19517986476421356,0.2514551877975464,0.12538520991802216
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19103999435901642,0.45456063747406006,0.2880980372428894,0.31091248989105225
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1852307766675949,0.4508470594882965,0.22326228022575378,0.23916715383529663
