,what,art,forms,did,luther,use,to,connect,his,hymns,?
luther,0.2134782373905182,0.09293907880783081,0.10918404906988144,0.23667675256729126,1.0,0.10849796235561371,0.18029534816741943,0.09784329682588577,0.27093374729156494,0.30894896388053894,0.1732746809720993
connected,0.21880124509334564,0.12145132571458817,0.275170236825943,0.11103025823831558,0.07627678662538528,0.25811538100242615,0.2315610647201538,0.8147191405296326,0.1034051924943924,0.13578736782073975,0.11086785048246384
high,0.20466077327728271,0.18495027720928192,0.1335030198097229,0.15957149863243103,0.09557987749576569,0.1721765547990799,0.28947713971138,0.14514745771884918,0.14233462512493134,0.1276388019323349,0.11137914657592773
art,0.19292277097702026,1.0,0.20076106488704681,0.1711656004190445,0.09293907880783081,0.1492377519607544,0.22068513929843903,0.11932219564914703,0.19784432649612427,0.18837173283100128,0.138971745967865
and,0.31309178471565247,0.2631918787956238,0.31425848603248596,0.34479495882987976,0.20796556770801544,0.34145063161849976,0.48971283435821533,0.24899420142173767,0.4234102666378021,0.2313949018716812,0.20544172823429108
folk,0.20571109652519226,0.3207985758781433,0.23202380537986755,0.15914921462535858,0.17607775330543518,0.125850111246109,0.19333121180534363,0.14134037494659424,0.20083589851856232,0.36777085065841675,0.16659963130950928
music,0.23070453107357025,0.38070565462112427,0.18312542140483856,0.21389511227607727,0.15799546241760254,0.18190506100654602,0.24181292951107025,0.13542036712169647,0.2327934056520462,0.440464586019516,0.18264494836330414
",",0.3087472915649414,0.2700960636138916,0.2570338547229767,0.3015086054801941,0.23255878686904907,0.3276674151420593,0.44245919585227966,0.21849390864372253,0.3378419280052185,0.2567901313304901,0.31091248989105225
also,0.42747777700424194,0.1955799013376236,0.3271316885948181,0.39334940910339355,0.22154976427555084,0.3900981843471527,0.5348826050758362,0.2592231333255768,0.38173818588256836,0.22101804614067078,0.21848613023757935
all,0.41981086134910583,0.20042236149311066,0.24997323751449585,0.33943864703178406,0.1917443871498108,0.38276857137680054,0.42520734667778015,0.21484579145908356,0.30359330773353577,0.16958795487880707,0.29575422406196594
classes,0.20746955275535583,0.22175395488739014,0.29589396715164185,0.19076485931873322,0.1962915062904358,0.26617372035980225,0.2503586411476135,0.20044535398483276,0.15382510423660278,0.20756977796554565,0.14397528767585754
",",0.3087472915649414,0.2700960636138916,0.2570338547229767,0.3015086054801941,0.23255878686904907,0.3276674151420593,0.44245919585227966,0.21849390864372253,0.3378419280052185,0.2567901313304901,0.31091248989105225
clergy,0.21005667746067047,0.16994039714336395,0.1717427670955658,0.2231728881597519,0.2769649922847748,0.19702419638633728,0.19316771626472473,0.005946955643594265,0.19145633280277252,0.3637893497943878,0.14422976970672607
and,0.31309178471565247,0.2631918787956238,0.31425848603248596,0.34479495882987976,0.20796556770801544,0.34145063161849976,0.48971283435821533,0.24899420142173767,0.4234102666378021,0.2313949018716812,0.20544172823429108
laity,0.2758471965789795,0.23556940257549286,0.21182851493358612,0.1575513482093811,0.21022078394889832,0.21180360019207,0.2048047035932541,0.1174905076622963,0.15005171298980713,0.268680214881897,0.2055709958076477
",",0.3087472915649414,0.2700960636138916,0.2570338547229767,0.3015086054801941,0.23255878686904907,0.3276674151420593,0.44245919585227966,0.21849390864372253,0.3378419280052185,0.2567901313304901,0.31091248989105225
men,0.18620994687080383,0.06765332072973251,0.1097775399684906,0.284831702709198,0.1650136560201645,0.15242132544517517,0.24045762419700623,0.10103333741426468,0.26189124584198,0.17821389436721802,0.1408759206533432
",",0.3087472915649414,0.2700960636138916,0.2570338547229767,0.3015086054801941,0.23255878686904907,0.3276674151420593,0.44245919585227966,0.21849390864372253,0.3378419280052185,0.2567901313304901,0.31091248989105225
women,0.14828920364379883,0.1392425298690796,0.14030520617961884,0.24222777783870697,0.14094139635562897,0.19532392919063568,0.24881750345230103,0.0753360390663147,0.17814773321151733,0.15799599885940552,0.1616753786802292
and,0.31309178471565247,0.2631918787956238,0.31425848603248596,0.34479495882987976,0.20796556770801544,0.34145063161849976,0.48971283435821533,0.24899420142173767,0.4234102666378021,0.2313949018716812,0.20544172823429108
