,at,what,address,did,goldenson,secure,a,new,headquarters,for,abc,?
as,0.28092536330223083,0.31749409437179565,0.22702953219413757,0.3596470057964325,0.21473665535449982,0.2524382472038269,0.39550232887268066,0.24585270881652832,0.15809518098831177,0.44774648547172546,0.2286096066236496,0.27043893933296204
abc,0.12953892350196838,0.1317344456911087,0.19657523930072784,0.13353709876537323,0.29072654247283936,0.11469191312789917,0.21331243216991425,0.20663127303123474,0.1725265085697174,0.22510288655757904,1.0000001192092896,0.19065172970294952
began,0.2547261416912079,0.1665823757648468,0.08786679059267044,0.4415510594844818,0.19033123552799225,0.07022561877965927,0.21651826798915863,0.22779060900211334,0.20526926219463348,0.29047009348869324,0.2686883211135864,0.1370266228914261
to,0.36524343490600586,0.455847829580307,0.29989638924598694,0.4452643394470215,0.18715453147888184,0.3605278432369232,0.45503583550453186,0.33159172534942627,0.1959306001663208,0.4451248347759247,0.1762417107820511,0.29463258385658264
outgrow,0.2619945704936981,0.35129299759864807,0.30356210470199585,0.25995171070098877,0.36950650811195374,0.24836458265781403,0.2802228629589081,0.29062843322753906,0.1712011843919754,0.29380151629447937,0.28404301404953003,0.2573668658733368
its,0.2685394287109375,0.30393704771995544,0.1790943294763565,0.19922670722007751,0.19882462918758392,0.1476680040359497,0.4424409866333008,0.2215755134820938,0.3472451865673065,0.2992613911628723,0.19045390188694,0.15103481709957123
facilities,0.26887303590774536,0.137315571308136,0.15767396986484528,0.18648985028266907,0.13798323273658752,0.24277764558792114,0.21037288010120392,0.16431653499603271,0.407265305519104,0.29732993245124817,0.11960670351982117,0.10624271631240845
at,1.0,0.2838611304759979,0.20600129663944244,0.28390252590179443,0.22172950208187103,0.23531629145145416,0.3095070421695709,0.1898733228445053,0.2440321147441864,0.34237727522850037,0.12953892350196838,0.21978627145290375
7,-0.0963708683848381,-0.1699475795030594,-0.16078823804855347,-0.147744283080101,-0.14984449744224548,-0.08616680651903152,-0.06565704196691513,-0.02597120590507984,0.08684617280960083,-0.11536749452352524,-0.025838254019618034,-0.15092156827449799
west,0.24495752155780792,0.1946573108434677,0.1436772495508194,0.16852347552776337,0.2242220789194107,0.11195481568574905,0.2258862406015396,0.20932024717330933,0.2802004814147949,0.17698325216770172,0.18391461670398712,0.12088293582201004
66th,0.11980113387107849,0.0851837620139122,0.09419994801282883,0.10173880308866501,0.1552399843931198,0.1475941240787506,0.2415577471256256,0.15113785862922668,0.12950290739536285,0.1386292725801468,0.12258153408765793,0.043651532381772995
street,0.17524904012680054,0.14271703362464905,0.2069445550441742,0.13786788284778595,0.2762407958507538,0.10150168836116791,0.18956080079078674,0.19142328202724457,0.2670469880104065,0.24031898379325867,0.1996762454509735,0.07315441966056824
",",0.38314947485923767,0.3087472915649414,0.20406076312065125,0.3015086054801941,0.3194567561149597,0.14117449522018433,0.427140474319458,0.36073189973831177,0.23055404424667358,0.4464869201183319,0.2097204476594925,0.31091248989105225
