,what,does,the,united,methodist,church,use,in,the,sacrament,of,the,holy,communion,?
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.3938477039337158,0.24702993035316467,0.2493300437927246,0.2715643048286438,1.0,0.6662389636039734,0.17677049338817596,0.5696388483047485,0.6662389636039734,0.2163282334804535,0.19935038685798645,0.20430970191955566
fact,0.4454877972602844,0.36687952280044556,0.32878658175468445,0.19883987307548523,0.08848539739847183,0.14312304556369781,0.3223443627357483,0.25253036618232727,0.32878658175468445,0.17202706634998322,0.3007645010948181,0.32878658175468445,0.15191294252872467,0.272282212972641,0.2798655927181244
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.3053959608078003,0.2960420250892639,0.2707274258136749,0.3276674151420593,0.5201468467712402,0.4933079481124878,0.2308664321899414,0.4946078956127167,0.4933079481124878,0.2074567973613739,0.2828352153301239,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.34342584013938904,0.6662389636039734,1.0,0.2597883939743042,0.733189046382904,1.0,0.2778179347515106,0.2783570885658264,0.22068053483963013
united,0.20036718249320984,0.1650896966457367,0.34367692470550537,1.0000001192092896,0.3283560872077942,0.19284281134605408,0.21465958654880524,0.3938477039337158,0.34367692470550537,0.14813894033432007,0.3187655806541443,0.34367692470550537,0.19265316426753998,0.21131259202957153,0.17266890406608582
methodist,0.17637217044830322,0.13836076855659485,0.21922016143798828,0.3283560872077942,1.0,0.6119816899299622,0.17572921514511108,0.24702993035316467,0.21922016143798828,0.36772432923316956,0.28458893299102783,0.21922016143798828,0.334758460521698,0.4576609432697296,0.1436992734670639
church,0.1944202184677124,0.16385334730148315,0.23846197128295898,0.19284281134605408,0.6119816899299622,0.9999999403953552,0.15512630343437195,0.2493300437927246,0.23846197128295898,0.45027050375938416,0.3079429268836975,0.23846197128295898,0.4132955074310303,0.553836464881897,0.18081501126289368
uses,0.1933930367231369,0.45398131012916565,0.2830192744731903,0.17507030069828033,0.14469867944717407,0.12183862179517746,0.6821471452713013,0.2516363263130188,0.2830192744731903,0.1706833690404892,0.2738003432750702,0.2830192744731903,0.08149701356887817,0.17616711556911469,0.18407079577445984
unfermented,0.25609537959098816,0.2465478777885437,0.31804829835891724,0.251924604177475,0.30491021275520325,0.2286681979894638,0.2688019275665283,0.2980959415435791,0.31804829835891724,0.2464313954114914,0.3398897647857666,0.31804829835891724,0.25406643748283386,0.27468135952949524,0.20539169013500214
grape,0.22643062472343445,0.0906619057059288,0.23076355457305908,0.14367474615573883,0.13059918582439423,0.11630826443433762,0.2151077538728714,0.20923826098442078,0.23076355457305908,0.18642385303974152,0.24118000268936157,0.23076355457305908,0.1729724407196045,0.1475348323583603,0.1320798248052597
juice,0.21268455684185028,0.18221646547317505,0.1732996702194214,0.24073249101638794,0.18687723577022552,0.09985241293907166,0.20048950612545013,0.1939820647239685,0.1732996702194214,0.17604368925094604,0.1595626026391983,0.1732996702194214,0.15818758308887482,0.17124415934085846,0.1877238154411316
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.3938477039337158,0.24702993035316467,0.2493300437927246,0.2715643048286438,1.0,0.6662389636039734,0.17677049338817596,0.5696388483047485,0.6662389636039734,0.2163282334804535,0.19935038685798645,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.34342584013938904,0.6662389636039734,1.0,0.2597883939743042,0.733189046382904,1.0,0.2778179347515106,0.2783570885658264,0.22068053483963013
sacrament,0.26787394285202026,0.20508384704589844,0.2597883939743042,0.14813894033432007,0.36772432923316956,0.45027050375938416,0.1873990297317505,0.17677049338817596,0.2597883939743042,1.0000001192092896,0.22873786091804504,0.2597883939743042,0.4391757845878601,0.5419337749481201,0.1619669646024704
