,what,type,of,system,did,tesla,suggest,to,adams,?
tesla,0.23221199214458466,0.17444045841693878,0.18837453424930573,0.18243813514709473,0.09757418930530548,0.9999999403953552,0.1012415662407875,0.17548894882202148,0.10032384842634201,0.10250775516033173
advised,0.26456019282341003,0.14239509403705597,0.25745081901550293,0.16324572265148163,0.3517385721206665,0.0035599679686129093,0.3813156187534332,0.3607461154460907,0.11584628373384476,0.18871766328811646
adams,0.15051817893981934,0.14258988201618195,0.20551997423171997,0.13849171996116638,0.20335952937602997,0.10032384842634201,0.09266089648008347,0.23368042707443237,1.0,0.11037187278270721
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3088737428188324,0.47518548369407654,0.22102725505828857,0.4803828001022339,0.5436353087425232,0.2111240029335022,0.32716336846351624
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2589043080806732,0.2552328109741211,0.2211925983428955,0.26818621158599854,0.45503583550453186,0.21372254192829132,0.23916715383529663
two-phased,0.24758248031139374,0.1592288315296173,0.33405598998069763,0.25952208042144775,0.21445585787296295,0.1665947288274765,0.29842719435691833,0.25387245416641235,0.07265353947877884,0.1768016815185547
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,1.0000001192092896,0.1967303454875946,0.18243813514709473,0.19187848269939423,0.26662686467170715,0.13849171996116638,0.15556083619594574
would,0.45766422152519226,0.13977667689323425,0.3353942930698395,0.22481384873390198,0.6268245577812195,0.14290116727352142,0.46449169516563416,0.5965728163719177,0.19389432668685913,0.37178951501846313
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.24878063797950745,0.22657383978366852,0.15180771052837372,0.3926500082015991,0.4972836375236511,0.15320391952991486,0.3324260413646698
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3233085572719574,0.34736719727516174,0.1324402391910553,0.2682655155658722,0.535392165184021,0.22482158243656158,0.22068053483963013
most,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.1998981088399887,0.2822507321834564,0.09699761122465134,0.26623523235321045,0.321603000164032,0.17180843651294708,0.2107497900724411
reliable,0.3740312159061432,0.18888641893863678,0.13514703512191772,0.1462056040763855,0.24264174699783325,0.22648504376411438,0.30541306734085083,0.2514159083366394,0.15220089256763458,0.36605745553970337
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.231138214468956,0.34479495882987976,0.19560420513153076,0.30183184146881104,0.48971283435821533,0.252859890460968,0.20544172823429108
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3088737428188324,0.47518548369407654,0.22102725505828857,0.4803828001022339,0.5436353087425232,0.2111240029335022,0.32716336846351624
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.19495093822479248,0.29736605286598206,0.16046448051929474,0.3171917796134949,0.40669289231300354,0.19429601728916168,0.29405656456947327
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.2147521674633026,0.41399896144866943,0.16455206274986267,0.17307642102241516,0.3636345863342285,0.2270916998386383,0.18412111699581146
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2589043080806732,0.2552328109741211,0.2211925983428955,0.26818621158599854,0.45503583550453186,0.21372254192829132,0.23916715383529663
westinghouse,0.16126319766044617,0.1995045244693756,0.28119996190071106,0.22073955833911896,0.1608617752790451,0.35764777660369873,0.11806805431842804,0.22176946699619293,0.3038557171821594,0.17307911813259125
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,1.0000001192092896,0.1967303454875946,0.18243813514709473,0.19187848269939423,0.26662686467170715,0.13849171996116638,0.15556083619594574
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.26662686467170715,0.4452643394470215,0.17548894882202148,0.3512662351131439,1.0,0.23368042707443237,0.29463258385658264
light,0.22953972220420837,0.21801303327083588,0.18257063627243042,0.1838860958814621,0.18105649948120117,0.15772268176078796,0.20509164035320282,0.22474321722984314,0.16817480325698853,0.17429810762405396
incandescent,0.24808262288570404,0.21463565528392792,0.25759440660476685,0.21750853955745697,0.20370808243751526,0.3088763654232025,0.23438359797000885,0.28692182898521423,0.10247505456209183,0.17212344706058502
bulbs,0.18802985548973083,0.22501172125339508,0.22310738265514374,0.3102019429206848,0.13165637850761414,0.29695576429367065,0.20219621062278748,0.2421916425228119,0.12191295623779297,0.07054978609085083
using,0.27984681725502014,0.26539579033851624,0.24298200011253357,0.31511810421943665,0.25429773330688477,0.24952489137649536,0.3252652883529663,0.3678804934024811,0.10635709017515182,0.2804589569568634
two-phase,0.2211930900812149,0.24436892569065094,0.32683250308036804,0.2639247179031372,0.14847029745578766,0.16256971657276154,0.37273871898651123,0.2710607349872589,0.10148927569389343,0.17403897643089294
alternating,0.10095972567796707,0.26131370663642883,0.28741198778152466,0.25607529282569885,0.023347359150648117,0.20965251326560974,0.24286828935146332,0.23102223873138428,0.10937291383743286,0.13878576457500458
current,0.18294453620910645,0.0784337967634201,0.31470298767089844,0.17151163518428802,0.07635620981454849,0.19374153017997742,0.1871221661567688,0.30630946159362793,0.12587247788906097,0.12074550241231918
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2277725487947464,0.35288307070732117,0.17949827015399933,0.23171280324459076,0.4645031690597534,0.27795812487602234,0.4130953550338745
