,what,is,beta,carotene,?
β-carotene,0.15884004533290863,0.3056502938270569,0.3591932952404022,0.9609604477882385,0.10875461250543594
is,0.28837618231773376,1.0,0.18818753957748413,0.30201777815818787,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.24422228336334229,0.30024364590644836,0.23916715383529663
bright,0.22715561091899872,0.2728571891784668,0.2694167494773865,0.3451041579246521,0.18864305317401886
red-orange,0.2910417914390564,0.2997189462184906,0.2178676277399063,0.4247552752494812,0.1827872097492218
carotenoid,0.2417978197336197,0.298306405544281,0.3074662983417511,0.847312331199646,0.19019073247909546
found,0.1796332150697708,0.3526395261287689,0.18539701402187347,0.24078676104545593,0.16790300607681274
in,0.30808621644973755,0.5394441485404968,0.1952218860387802,0.260705828666687,0.20430970191955566
nearly,0.21304303407669067,0.268917441368103,0.10136878490447998,0.1855413168668747,0.11670064926147461
all,0.41981086134910583,0.2553904056549072,0.2076428234577179,0.1776202917098999,0.29575422406196594
chloroplasts,0.2524593770503998,0.22550933063030243,0.27021878957748413,0.5838360786437988,0.13049766421318054
",",0.3087472915649414,0.4691906273365021,0.19482214748859406,0.3020928204059601,0.31091248989105225
like,0.4320242702960968,0.29710376262664795,0.22577232122421265,0.27710917592048645,0.3268813192844391
chlorophyll,0.23408083617687225,0.2015603631734848,0.21548208594322205,0.5819846391677856,0.1099696233868599
a.,-0.06772881746292114,-0.0016085113165900111,0.00269687338732183,-0.00933162122964859,0.04165230318903923
xanthophylls,0.1613224297761917,0.22056254744529724,0.2312619537115097,0.5851972699165344,0.17882108688354492
",",0.3087472915649414,0.4691906273365021,0.19482214748859406,0.3020928204059601,0.31091248989105225
especially,0.3590192496776581,0.32683345675468445,0.12745872139930725,0.24113020300865173,0.19751401245594025
the,0.42745697498321533,0.5823672413825989,0.20390360057353973,0.2713843286037445,0.22068053483963013
orange-red,0.21580719947814941,0.21403878927230835,0.15514618158340454,0.43243563175201416,0.19598974287509918
zeaxanthin,0.2029126137495041,0.2933884263038635,0.3311382234096527,0.5803899168968201,0.24184954166412354
",",0.3087472915649414,0.4691906273365021,0.19482214748859406,0.3020928204059601,0.31091248989105225
are,0.29724663496017456,0.5330929756164551,0.18267671763896942,0.3186981976032257,0.24591213464736938
also,0.42747777700424194,0.5012649297714233,0.226695254445076,0.3767198324203491,0.21848613023757935
common,0.19989867508411407,0.2952355444431305,0.16857072710990906,0.2702886462211609,0.20434872806072235
.,0.3567904531955719,0.4569662809371948,0.217173770070076,0.3314655125141144,0.4130953550338745
