,what,did,this,help,accomplish,?
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.30064165592193604,0.21775546669960022,0.22068053483963013
capture,0.20491331815719604,0.1035466119647026,0.22668886184692383,0.27056342363357544,0.19646736979484558,0.12945853173732758
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.22745388746261597,0.22183531522750854,0.1826142966747284
warũhiũ,0.1777505725622177,0.1897886097431183,0.1783410906791687,0.22128421068191528,0.059769406914711,0.15495353937149048
itote,0.33915549516677856,0.2314026802778244,0.38298970460891724,0.2543583810329437,0.250209242105484,0.30962395668029785
(,0.2411840260028839,0.18979617953300476,0.3388223350048065,0.23475761711597443,0.1699913740158081,0.40561532974243164
aka,0.11991072446107864,0.05653146281838417,0.17273519933223724,0.13249167799949646,0.03640776872634888,0.21979451179504395
general,0.24928055703639984,0.19499315321445465,0.24112297594547272,0.19230917096138,0.18862970173358917,0.1972234547138214
china,0.13832437992095947,0.16472692787647247,0.21708054840564728,0.14341475069522858,0.15209616720676422,0.18007943034172058
),0.26259949803352356,0.18584993481636047,0.3621573746204376,0.24308834969997406,0.18844234943389893,0.42300865054130554
on,0.34226128458976746,0.2670976221561432,0.4193967580795288,0.24844828248023987,0.19086870551109314,0.2714994251728058
15,-0.01077192835509777,0.03605250269174576,-0.07070626318454742,-0.06057489663362503,0.008231974206864834,-0.010706285014748573
january,0.19257698953151703,0.23508968949317932,0.24210384488105774,0.1805051565170288,0.14478740096092224,0.28608936071395874
1954,-0.028202006593346596,-0.09083899110555649,-0.00046697488869540393,0.09616384655237198,-0.05647719278931618,-0.028866952285170555
and,0.31309178471565247,0.34479495882987976,0.42353692650794983,0.34926167130470276,0.298940509557724,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.30064165592193604,0.21775546669960022,0.22068053483963013
subsequent,0.20167095959186554,0.27863436937332153,0.29201561212539673,0.16401419043540955,0.19117112457752228,0.13111010193824768
interrogation,0.3255242109298706,0.22887510061264038,0.3335908353328705,0.2523603141307831,0.37060099840164185,0.24190327525138855
led,0.12112844735383987,0.3213953971862793,0.2688283920288086,0.18973740935325623,0.2649853825569153,0.09273858368396759
to,0.455847829580307,0.4452643394470215,0.5759071707725525,0.46191298961639404,0.36618009209632874,0.29463258385658264
a,0.3320399522781372,0.2552328109741211,0.5422310829162598,0.23381464183330536,0.24860933423042297,0.23916715383529663
better,0.3551420271396637,0.30515921115875244,0.31487682461738586,0.41206344962120056,0.2970617115497589,0.32159438729286194
understanding,0.4748767614364624,0.3280439078807831,0.4483559727668762,0.3840472400188446,0.46846601366996765,0.3107462525367737
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.22745388746261597,0.22183531522750854,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.30064165592193604,0.21775546669960022,0.22068053483963013
mau,0.12832750380039215,0.12260053306818008,0.20032039284706116,0.1756860464811325,0.10883156955242157,0.12663695216178894
mau,0.12832750380039215,0.12260053306818008,0.20032039284706116,0.1756860464811325,0.10883156955242157,0.12663695216178894
command,0.22732043266296387,0.18186943233013153,0.24075260758399963,0.22259782254695892,0.2574922442436218,0.13402260839939117
structure,0.27351704239845276,0.1695220172405243,0.3268093764781952,0.20966176688671112,0.2710515260696411,0.1770772784948349
.,0.3567904531955719,0.35288307070732117,0.500583827495575,0.32205137610435486,0.21241043508052826,0.4130953550338745
