,who,introduced,plague,to,europe,?
plague,0.22886906564235687,0.16061443090438843,0.9999999403953552,0.21845681965351105,0.26059749722480774,0.11872942000627518
was,0.3318818509578705,0.32667654752731323,0.24312011897563934,0.3636345863342285,0.2931758761405945,0.18412111699581146
reportedly,0.335464745759964,0.1544523388147354,0.24973605573177338,0.23860850930213928,0.1332588791847229,0.14895299077033997
first,0.39065709710121155,0.32411283254623413,0.21400928497314453,0.3792489171028137,0.29071953892707825,0.18701928853988647
introduced,0.18349657952785492,1.0,0.16061443090438843,0.22615164518356323,0.31096044182777405,0.16386865079402924
to,0.42656609416007996,0.22615164518356323,0.21845681965351105,1.0,0.24889446794986725,0.29463258385658264
europe,0.21583974361419678,0.31096044182777405,0.26059749722480774,0.24889446794986725,1.0000001192092896,0.18278923630714417
via,0.12545354664325714,0.11727873980998993,0.14484107494354248,0.27847176790237427,0.2075822949409485,0.19443516433238983
genoese,0.329608678817749,0.1834457367658615,0.3038872182369232,0.21299678087234497,0.33044373989105225,0.09456944465637207
traders,0.3170608580112457,0.16538956761360168,0.2806728184223175,0.27600347995758057,0.3468233346939087,0.12585791945457458
at,0.22096660733222961,0.12144538760185242,0.14142930507659912,0.36524343490600586,0.17064395546913147,0.21978627145290375
the,0.3733934462070465,0.242969810962677,0.2537761330604553,0.535392165184021,0.34463706612586975,0.22068053483963013
port,0.10044681280851364,0.0683368369936943,0.24707429111003876,0.23759682476520538,0.15705451369285583,0.06519711017608643
city,0.21073515713214874,0.09395167976617813,0.24472329020500183,0.20300441980361938,0.1816747784614563,0.13423943519592285
of,0.2827862501144409,0.23328952491283417,0.27455615997314453,0.41548454761505127,0.29299741983413696,0.1826142966747284
kaffa,0.19093438982963562,0.21474842727184296,0.23974445462226868,0.19052590429782867,0.3317193388938904,0.16061149537563324
in,0.2792111933231354,0.2614979147911072,0.2488756626844406,0.45010748505592346,0.33061710000038147,0.20430970191955566
the,0.3733934462070465,0.242969810962677,0.2537761330604553,0.535392165184021,0.34463706612586975,0.22068053483963013
crimea,0.19179528951644897,0.07593760639429092,0.282225638628006,0.19297826290130615,0.30681949853897095,0.18828053772449493
in,0.2792111933231354,0.2614979147911072,0.2488756626844406,0.45010748505592346,0.33061710000038147,0.20430970191955566
1347,-0.04958043247461319,0.06730645149946213,0.02025306411087513,0.015021252445876598,0.2250228077173233,-0.038942355662584305
.,0.3541337847709656,0.2799728810787201,0.2547653317451477,0.4645031690597534,0.31984585523605347,0.4130953550338745
