,in,a,nuclear,power,plant,",",what,is,the,steam,turbine,connected,to,?
virtually,0.2896645963191986,0.24477672576904297,0.1679256558418274,0.21498849987983704,0.1669875681400299,0.19403667747974396,0.2943752110004425,0.2573077380657196,0.29132160544395447,0.1827792227268219,0.11946515738964081,0.18995389342308044,0.31376418471336365,0.18244148790836334
all,0.3335905969142914,0.2696802616119385,0.20804165303707123,0.23566703498363495,0.2260427474975586,0.425624817609787,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.19205103814601898,0.14948439598083496,0.22835172712802887,0.42520734667778015,0.29575422406196594
nuclear,0.2580479681491852,0.20050431787967682,1.0000001192092896,0.41085806488990784,0.45681560039520264,0.23752127587795258,0.23862333595752716,0.20016400516033173,0.23911187052726746,0.2956201434135437,0.3581116497516632,0.13802661001682281,0.21461482346057892,0.1865687519311905
power,0.16666220128536224,0.21580491960048676,0.41085806488990784,1.0000001192092896,0.3517554700374603,0.2231994867324829,0.22216427326202393,0.15234114229679108,0.2647338807582855,0.35972869396209717,0.4459681212902069,0.27442747354507446,0.27001675963401794,0.15304024517536163
plants,0.2697395086288452,0.21329157054424286,0.3942650556564331,0.3196038007736206,0.8344468474388123,0.2555769681930542,0.25144460797309875,0.2423158437013626,0.29499560594558716,0.30078837275505066,0.3171670138835907,0.2399887889623642,0.27162864804267883,0.1473488062620163
generate,0.20683743059635162,0.24484781920909882,0.32302334904670715,0.3050912320613861,0.33250197768211365,0.18701888620853424,0.26186254620552063,0.2641996741294861,0.264517217874527,0.2794671654701233,0.3921489417552948,0.28512123227119446,0.33432886004447937,0.28300654888153076
electricity,0.2437814176082611,0.24459154903888702,0.3968295454978943,0.5319902896881104,0.37518635392189026,0.2550862729549408,0.20851419866085052,0.22211486101150513,0.274786114692688,0.4412391483783722,0.5109224915504456,0.3815231919288635,0.31636500358581543,0.17856204509735107
by,0.370934396982193,0.32094135880470276,0.1500622183084488,0.21582826972007751,0.20213352143764496,0.3680937886238098,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.18134352564811707,0.22006140649318695,0.2168869525194168,0.33534231781959534,0.17966607213020325
heating,0.21192875504493713,0.24787577986717224,0.2623711824417114,0.33096328377723694,0.3171065151691437,0.2541029453277588,0.21489092707633972,0.25713056325912476,0.2242104858160019,0.45787307620048523,0.4576910138130188,0.2636526823043823,0.2369498759508133,0.1888689249753952
water,0.23966141045093536,0.2979097068309784,0.2238730639219284,0.2890745997428894,0.3316476047039032,0.26706066727638245,0.17456887662410736,0.2879090905189514,0.297396719455719,0.43059393763542175,0.431526243686676,0.26426956057548523,0.27858173847198486,0.14731885492801666
to,0.45010748505592346,0.45503583550453186,0.21461482346057892,0.27001675963401794,0.20493197441101074,0.44245919585227966,0.455847829580307,0.42745086550712585,0.535392165184021,0.22894427180290222,0.23140856623649597,0.2315610647201538,1.0,0.29463258385658264
provide,0.1910654902458191,0.26036545634269714,0.17766998708248138,0.1839965581893921,0.2430751919746399,0.20966707170009613,0.27049049735069275,0.23050084710121155,0.26373472809791565,0.2572251856327057,0.23451314866542816,0.2879289984703064,0.3479624092578888,0.22704634070396423
steam,0.19852672517299652,0.2141898274421692,0.2956201434135437,0.35972869396209717,0.2850067913532257,0.2264556586742401,0.15672586858272552,0.13029660284519196,0.23105813562870026,1.0000001192092896,0.5301763415336609,0.24853594601154327,0.22894427180290222,0.113324373960495
that,0.435920387506485,0.47537946701049805,0.19523723423480988,0.2680378556251526,0.23316219449043274,0.4137537479400635,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.24386391043663025,0.20084266364574432,0.29687508940696716,0.5436353087425232,0.32716336846351624
drives,0.14633353054523468,0.23937544226646423,0.1543004959821701,0.28598102927207947,0.22017280757427216,0.20152543485164642,0.23342765867710114,0.25821930170059204,0.20820994675159454,0.33622270822525024,0.3467789590358734,0.29202139377593994,0.27728408575057983,0.08974530547857285
a,0.539380669593811,1.0,0.20050431787967682,0.21580491960048676,0.2010895311832428,0.427140474319458,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2141898274421692,0.23364008963108063,0.24938417971134186,0.45503583550453186,0.23916715383529663
turbine,0.19420358538627625,0.23364008963108063,0.3581116497516632,0.4459681212902069,0.3337964713573456,0.21183495223522186,0.1404699683189392,0.20463748276233673,0.1799832284450531,0.5301763415336609,1.0000001192092896,0.2554021179676056,0.23140856623649597,0.16315746307373047
connected,0.28792381286621094,0.24938417971134186,0.13802661001682281,0.27442747354507446,0.2163107693195343,0.2201492041349411,0.21880124509334564,0.2791581451892853,0.31369513273239136,0.24853594601154327,0.2554021179676056,1.0,0.2315610647201538,0.11086785048246384
to,0.45010748505592346,0.45503583550453186,0.21461482346057892,0.27001675963401794,0.20493197441101074,0.44245919585227966,0.455847829580307,0.42745086550712585,0.535392165184021,0.22894427180290222,0.23140856623649597,0.2315610647201538,1.0,0.29463258385658264
an,0.2605783939361572,0.44552403688430786,0.19693629443645477,0.1744573563337326,0.22981685400009155,0.3581022024154663,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.13589277863502502,0.19293712079524994,0.14289559423923492,0.3138085603713989,0.19793890416622162
electrical,0.2146623730659485,0.2779098153114319,0.34418243169784546,0.39343613386154175,0.2737884223461151,0.24516360461711884,0.19961315393447876,0.20024892687797546,0.2523402273654938,0.33923619985580444,0.4181094169616699,0.4096642732620239,0.2649001479148865,0.10923371464014053
generator,0.20535583794116974,0.27703046798706055,0.38377949595451355,0.3954654633998871,0.3329155445098877,0.23691847920417786,0.1740121841430664,0.23755419254302979,0.25154173374176025,0.4620785117149353,0.5454463958740234,0.25089049339294434,0.2461346834897995,0.16160684823989868
