,hormones,released,during,sleep,support,the,interaction,of,t-cells,and,what,species,?
in,0.2270275205373764,0.2659924626350403,0.4627237319946289,0.23918524384498596,0.17618270218372345,0.6662389636039734,0.1950211375951767,0.5696388483047485,0.23342107236385345,0.4954058527946472,0.30808621644973755,0.2179255336523056,0.20430970191955566
addition,0.22659942507743835,0.16633376479148865,0.20398582518100739,0.11005724221467972,0.2848935127258301,0.32955414056777954,0.2927037477493286,0.27503931522369385,0.2721869647502899,0.3508087992668152,0.20643717050552368,0.21356117725372314,0.19187232851982117
to,0.25030994415283203,0.21765387058258057,0.2828781306743622,0.22335325181484222,0.2742273211479187,0.535392165184021,0.2510894238948822,0.41548454761505127,0.2682721018791199,0.48971283435821533,0.455847829580307,0.2193736732006073,0.29463258385658264
these,0.3753727674484253,0.19521038234233856,0.31969112157821655,0.2428281158208847,0.23549920320510864,0.49086877703666687,0.329867422580719,0.42684608697891235,0.3546663522720337,0.5314885973930359,0.4164220690727234,0.28756052255630493,0.2571668326854706
effects,0.3798522651195526,0.23019875586032867,0.2283550649881363,0.28045207262039185,0.1889803409576416,0.25316479802131653,0.38018661737442017,0.21244898438453674,0.23932525515556335,0.26666516065597534,0.22572848200798035,0.20432430505752563,0.16749060153961182
",",0.20446665585041046,0.2775750756263733,0.3225448727607727,0.22850069403648376,0.2733234167098999,0.4933079481124878,0.197831928730011,0.4946078956127167,0.2517903447151184,0.6633074283599854,0.3087472915649414,0.2223871648311615,0.31091248989105225
the,0.2688761353492737,0.24578391015529633,0.4838213622570038,0.20454104244709015,0.22984638810157776,1.0,0.25638753175735474,0.733189046382904,0.23944512009620667,0.5171257257461548,0.42745697498321533,0.2522439956665039,0.22068053483963013
milieu,0.1901864856481552,0.08914795517921448,0.21045945584774017,0.12635141611099243,0.2490340769290924,0.2414262890815735,0.14998507499694824,0.24304021894931793,0.1304481029510498,0.21640253067016602,0.1542757749557495,0.16532395780086517,0.16301631927490234
of,0.23877643048763275,0.17721395194530487,0.3869180977344513,0.20480428636074066,0.2307697981595993,0.733189046382904,0.25039973855018616,1.0,0.28892675042152405,0.5116966962814331,0.33290785551071167,0.23307405412197113,0.1826142966747284
hormones,1.0,0.28047919273376465,0.2575860023498535,0.29352644085884094,0.16733621060848236,0.2688761353492737,0.314970999956131,0.23877643048763275,0.5095889568328857,0.28229668736457825,0.23283596336841583,0.2753741443157196,0.17588594555854797
produced,0.2488292157649994,0.42076432704925537,0.20210334658622742,0.06130586564540863,0.04870868846774101,0.22045251727104187,0.2231709212064743,0.18961067497730255,0.2612578272819519,0.24455034732818604,0.1393624097108841,0.17600125074386597,0.1623450517654419
at,0.11068273335695267,0.14515292644500732,0.372769296169281,0.22943919897079468,0.17800305783748627,0.457212895154953,0.21218658983707428,0.42558613419532776,0.21661421656608582,0.3571503460407257,0.2838611304759979,0.15864497423171997,0.21978627145290375
this,0.2737180292606354,0.22735528647899628,0.34351885318756104,0.20745596289634705,0.3501984477043152,0.6274310946464539,0.33517441153526306,0.45148900151252747,0.2813929319381714,0.42353692650794983,0.5489566326141357,0.267168790102005,0.3155723512172699
time,0.21237178146839142,0.20604529976844788,0.49996283650398254,0.2873101532459259,0.2687140107154846,0.43061500787734985,0.25649094581604004,0.35127586126327515,0.16876660287380219,0.3025408685207367,0.36319252848625183,0.16826993227005005,0.27391523122787476
(,0.18426762521266937,0.20382565259933472,0.2139192670583725,0.23403185606002808,0.23303374648094177,0.33289089798927307,0.17519713938236237,0.35032153129577637,0.1902882605791092,0.4862271547317505,0.2411840260028839,0.18460895121097565,0.40561532974243164
